#x Curve1
-0.00477327 0.284494
0.00954654 0.260311
0.0238663 0.226443
0.0572792 0.205932
0.109785 0.206044
0.167064 0.218272
0.229117 0.219614
0.315036 0.218585
0.429594 0.197036
0.572792 0.168284
0.725537 0.140762
0.897375 0.114492
1.10263 0.0882925
1.26492 0.0753191
1.43675 0.062366
1.68974 0.0471635
1.93317 0.0307301
2.11933 0.0262819
2.31981 0.0170214
2.56802 0.00907268
2.99761 0.00271891
3.48926 0.000128578


