#x Curve1
-0.00306918 0.0984954
0.0352686 0.0668515
0.0566183 0.050125
0.0825447 0.0352037
0.143955 0.0157482
0.236838 -0.000558812
0.334433 -0.0128017
0.499361 -0.0201051
0.651043 -0.0246917
0.785036 -0.0261077
0.955107 -0.0221183
1.11635 -0.0163176
1.2508 -0.0100531
1.41669 -0.00109188
1.61377 0.006048
1.77932 0.00913585
1.97604 0.0104024
2.13687 0.00942611
2.28866 0.00664669
2.46272 0.00250178
2.64582 0.000160021


