#x Curve1
-0.0111265 0.446224
0.0308614 0.407053
0.0634093 0.372783
0.124523 0.332366
0.195428 0.299272
0.295215 0.271033
0.419094 0.247654
0.519127 0.227972
0.643147 0.209483
0.762341 0.189777
0.910382 0.173704
1.08223 0.152711
1.2637 0.132929
1.47384 0.110668
1.6601 0.0908801
1.85576 0.0649685
2.02772 0.0476434
2.18058 0.0327866
2.37181 0.0191054
2.52967 0.0115774
2.70191 0.00403189
2.90786 0.00255763
3.20006 0.00220041


