#r/D;U;u'
-0.4254;-0.000700018;0.023287158
-0.3722;0.06635332;0.021493396
-0.319;0.08000496;0.0174614
-0.2659;0.073766478;0.0190488
-0.2027;0.078862032;0.019255162
-0.1595;0.076369814;0.038684938
-0.1329;0.078703292;0.103847708
-0.1063;0.464616106;0.512301602
-0.0798;1.145531336;0.443741796
-0.0532;1.454963218;0.216711848
-0.0266;1.535619012;0.219886648
-0.0133;1.544667192;0.256349226
0;1.5874;0.087116512
0.0133;1.544524326;0.171137594
0.0266;1.505283798;0.153723816
0.0532;1.340940276;0.251856884
0.0798;0.776540206;0.547621252
0.1063;0.12588082;0.227331554
0.1329;0.07690953;0.018112234
0.1595;0.08302102;0.01198487
0.2027;0.086576796;0.01944565
0.2659;0.082830532;0.024223724
0.319;0.079163638;0.017572518
0.3722;0.070337694;0.022096608
0.4254;0.038605568;0.018397966
