#r/D;U;u'
-0.4254;-0.0001000028;0.019447695
-0.3722;0.003819834;0.015265395
-0.319;0.019684692;0.031980654
-0.2659;0.058566141;0.039536676
-0.2027;0.153351;0.107582697
-0.1595;0.370746954;0.172840518
-0.1329;0.512457219;0.201809916
-0.1063;0.700326135;0.239241501
-0.0798;0.88622937;0.247633983
-0.0532;1.089781911;0.259107426
-0.0266;1.302702804;0.216099441
0;1.3941;0.178458741
0.0266;1.319501709;0.212335371
0.0532;1.145796849;0.244260261
0.0798;0.918725841;0.26613369
0.1063;0.712538451;0.237192174
0.1329;0.538499007;0.208989531
0.1595;0.366494949;0.185289831
0.2027;0.164378331;0.109478673
0.2659;0.054467487;0.046758114
0.319;0.041251419;0.034197273
0.3722;0.022194072;0.032022477
0.4254;0.005562459;0.03638601
