#r/D;U;u'
-0.4254;-0.0006299914;0.021032704
-0.3722;0.006706304;0.02098624
-0.319;0.03732608;0.028513408
-0.2659;0.069045504;0.030325504
-0.2027;0.078663552;0.029086464
-0.1595;0.239847168;0.153935232
-0.1329;0.444071936;0.227472256
-0.1063;0.702427264;0.269444736
-0.0798;0.998759168;0.275330176
-0.0532;1.3052512;0.239428992
-0.0266;1.509259136;0.126258176
-0.0133;1.528247424;0.1978592
0;1.5488;0.10524096
0.0133;1.531933568;0.109840896
0.0266;1.479119488;0.162918272
0.0532;1.271549312;0.2485824
0.0798;0.9618048;0.277188736
0.1063;0.63787328;0.262490624
0.1329;0.417990144;0.202459136
0.1595;0.207508224;0.139562368
0.2027;0.082953728;0.026267648
0.2659;0.078710016;0.016092032
0.319;0.063175552;0.023572736
0.3722;0.046649856;0.026933632
0.4254;0.013722368;0.02230272
