#r/D;U;u'
-0.4254;-0.000700037;0.02934984
-0.3722;-0.002182424;0.03094903
-0.319;0.018578825;0.066347571
-0.2659;0.159881372;0.16575134
-0.2027;0.288192852;0.16612762
-0.1595;0.464442404;0.188647978
-0.1329;0.550883327;0.191009135
-0.1063;0.655818412;0.200049262
-0.0798;0.729917351;0.200632496
-0.0532;0.847316711;0.192796465
-0.0266;0.92536659;0.193116303
0;0.9407;0.189598085
0.0266;0.940060324;0.186324449
0.0532;0.874164289;0.204743355
0.0798;0.783734798;0.208938877
0.1063;0.685045961;0.211826826
0.1329;0.574523118;0.207847665
0.1595;0.494930491;0.185929355
0.2027;0.299311926;0.182204183
0.2659;0.172533787;0.15229933
0.319;0.075462954;0.105301958
0.3722;0.0005000263;0.089385314
0.4254;-0.010639317;0.069442474
