#r/D;U;u'
-0.4254;-0.0002700028;0.03283776
-0.3722;-0.0006000052;0.00809542
-0.319;0.01379642;0.04834448
-0.2659;0.077453786;0.097065226
-0.2027;0.23077648;0.146891966
-0.1595;0.418578822;0.197813298
-0.1329;0.535791382;0.195418878
-0.1063;0.677244594;0.224311546
-0.0798;0.830681308;0.216250332
-0.0532;0.97698037;0.221974136
-0.0266;1.069861062;0.21800624
0;1.1402;0.20780145
0.0266;1.106370266;0.216957256
0.0532;1.004710034;0.22695681
0.0798;0.871603086;0.237195806
0.1063;0.718109362;0.221757498
0.1329;0.581296764;0.212841134
0.1595;0.464186822;0.176240714
0.2027;0.228712718;0.157723866
0.2659;0.107395438;0.104818586
0.319;0.030010064;0.073896362
0.3722;0.014035862;0.053635008
0.4254;-0.004720428;0.051206382
