# longitudinal spacing
#   dz+         R_rr         R_tt         R_zz         R_pp
 0.00000E+00  0.10000E+01  0.10000E+01  0.10000E+01  0.10000E+01
 0.70312E+01  0.96844E+00  0.98020E+00  0.99498E+00  0.96567E+00
 0.14062E+02  0.88887E+00  0.92733E+00  0.98109E+00  0.87294E+00
 0.21094E+02  0.78934E+00  0.85492E+00  0.96072E+00  0.74501E+00
 0.28125E+02  0.68828E+00  0.77433E+00  0.93583E+00  0.60543E+00
 0.35156E+02  0.59404E+00  0.69257E+00  0.90788E+00  0.47152E+00
 0.42188E+02  0.51108E+00  0.61428E+00  0.87804E+00  0.35336E+00
 0.49219E+02  0.44085E+00  0.54253E+00  0.84731E+00  0.25521E+00
 0.56250E+02  0.38214E+00  0.47872E+00  0.81641E+00  0.17737E+00
 0.63281E+02  0.33303E+00  0.42298E+00  0.78583E+00  0.11786E+00
 0.70312E+02  0.29191E+00  0.37487E+00  0.75593E+00  0.73704E-01
 0.77344E+02  0.25737E+00  0.33364E+00  0.72694E+00  0.41806E-01
 0.84375E+02  0.22812E+00  0.29839E+00  0.69900E+00  0.19367E-01
 0.91406E+02  0.20313E+00  0.26816E+00  0.67219E+00  0.40401E-02
 0.98438E+02  0.18167E+00  0.24210E+00  0.64654E+00 -0.60608E-02
 0.10547E+03  0.16324E+00  0.21949E+00  0.62205E+00 -0.12408E-01
 0.11250E+03  0.14742E+00  0.19977E+00  0.59870E+00 -0.16130E-01
 0.11953E+03  0.13385E+00  0.18248E+00  0.57647E+00 -0.18078E-01
 0.12656E+03  0.12212E+00  0.16726E+00  0.55531E+00 -0.18859E-01
 0.13359E+03  0.11189E+00  0.15380E+00  0.53518E+00 -0.18888E-01
 0.14062E+03  0.10288E+00  0.14184E+00  0.51602E+00 -0.18439E-01
 0.14766E+03  0.94822E-01  0.13115E+00  0.49780E+00 -0.17689E-01
 0.15469E+03  0.87512E-01  0.12156E+00  0.48046E+00 -0.16746E-01
 0.16172E+03  0.80842E-01  0.11293E+00  0.46395E+00 -0.15679E-01
 0.16875E+03  0.74782E-01  0.10515E+00  0.44823E+00 -0.14547E-01
 0.17578E+03  0.69297E-01  0.98147E-01  0.43327E+00 -0.13401E-01
 0.18281E+03  0.64333E-01  0.91805E-01  0.41901E+00 -0.12272E-01
 0.18984E+03  0.59835E-01  0.86022E-01  0.40541E+00 -0.11179E-01
 0.19688E+03  0.55763E-01  0.80707E-01  0.39244E+00 -0.10142E-01
 0.20391E+03  0.52083E-01  0.75794E-01  0.38007E+00 -0.91974E-02
 0.21094E+03  0.48767E-01  0.71227E-01  0.36823E+00 -0.83717E-02
 0.21797E+03  0.45781E-01  0.66959E-01  0.35691E+00 -0.76702E-02
 0.22500E+03  0.43068E-01  0.62949E-01  0.34607E+00 -0.70713E-02
 0.23203E+03  0.40574E-01  0.59169E-01  0.33568E+00 -0.65417E-02
 0.23906E+03  0.38279E-01  0.55602E-01  0.32571E+00 -0.60519E-02
 0.24609E+03  0.36188E-01  0.52230E-01  0.31616E+00 -0.55843E-02
 0.25312E+03  0.34304E-01  0.49034E-01  0.30700E+00 -0.51374E-02
 0.26016E+03  0.32610E-01  0.45993E-01  0.29821E+00 -0.47273E-02
 0.26719E+03  0.31074E-01  0.43093E-01  0.28979E+00 -0.43804E-02
 0.27422E+03  0.29672E-01  0.40342E-01  0.28171E+00 -0.41187E-02
 0.28125E+03  0.28403E-01  0.37760E-01  0.27396E+00 -0.39468E-02
 0.28828E+03  0.27273E-01  0.35371E-01  0.26654E+00 -0.38447E-02
 0.29531E+03  0.26272E-01  0.33185E-01  0.25944E+00 -0.37682E-02
 0.30234E+03  0.25378E-01  0.31213E-01  0.25265E+00 -0.36574E-02
 0.30938E+03  0.24565E-01  0.29460E-01  0.24615E+00 -0.34560E-02
 0.31641E+03  0.23804E-01  0.27929E-01  0.23995E+00 -0.31324E-02
 0.32344E+03  0.23068E-01  0.26608E-01  0.23403E+00 -0.26928E-02
 0.33047E+03  0.22337E-01  0.25468E-01  0.22839E+00 -0.21791E-02
 0.33750E+03  0.21602E-01  0.24477E-01  0.22300E+00 -0.16536E-02
 0.34453E+03  0.20850E-01  0.23603E-01  0.21785E+00 -0.11813E-02
 0.35156E+03  0.20079E-01  0.22819E-01  0.21295E+00 -0.82308E-03
 0.35859E+03  0.19306E-01  0.22097E-01  0.20826E+00 -0.63558E-03
 0.36562E+03  0.18568E-01  0.21408E-01  0.20377E+00 -0.66488E-03
 0.37266E+03  0.17893E-01  0.20734E-01  0.19948E+00 -0.92921E-03
 0.37969E+03  0.17290E-01  0.20059E-01  0.19537E+00 -0.14064E-02
 0.38672E+03  0.16751E-01  0.19363E-01  0.19142E+00 -0.20435E-02
 0.39375E+03  0.16265E-01  0.18622E-01  0.18763E+00 -0.27853E-02
 0.40078E+03  0.15826E-01  0.17816E-01  0.18397E+00 -0.36025E-02
 0.40781E+03  0.15428E-01  0.16937E-01  0.18044E+00 -0.44978E-02
 0.41484E+03  0.15054E-01  0.15981E-01  0.17703E+00 -0.54911E-02
 0.42188E+03  0.14681E-01  0.14946E-01  0.17373E+00 -0.65986E-02
 0.42891E+03  0.14284E-01  0.13838E-01  0.17052E+00 -0.78185E-02
 0.43594E+03  0.13834E-01  0.12663E-01  0.16741E+00 -0.91259E-02
 0.44297E+03  0.13320E-01  0.11436E-01  0.16437E+00 -0.10472E-01
 0.45000E+03  0.12754E-01  0.10172E-01  0.16140E+00 -0.11792E-01
 0.45703E+03  0.12170E-01  0.88900E-02  0.15849E+00 -0.13019E-01
 0.46406E+03  0.11619E-01  0.76159E-02  0.15564E+00 -0.14109E-01
 0.47109E+03  0.11154E-01  0.63778E-02  0.15285E+00 -0.15046E-01
 0.47812E+03  0.10787E-01  0.52038E-02  0.15011E+00 -0.15846E-01
 0.48516E+03  0.10503E-01  0.41153E-02  0.14742E+00 -0.16551E-01
 0.49219E+03  0.10276E-01  0.31255E-02  0.14477E+00 -0.17219E-01
 0.49922E+03  0.10079E-01  0.22399E-02  0.14218E+00 -0.17921E-01
 0.50625E+03  0.98638E-02  0.14583E-02  0.13962E+00 -0.18723E-01
 0.51328E+03  0.95719E-02  0.77301E-03  0.13711E+00 -0.19675E-01
 0.52031E+03  0.91735E-02  0.17074E-03  0.13465E+00 -0.20808E-01
 0.52734E+03  0.86787E-02 -0.36421E-03  0.13224E+00 -0.22131E-01
 0.53438E+03  0.81193E-02 -0.84704E-03  0.12988E+00 -0.23632E-01
 0.54141E+03  0.75356E-02 -0.12889E-02  0.12757E+00 -0.25274E-01
 0.54844E+03  0.69753E-02 -0.16909E-02  0.12531E+00 -0.26996E-01
 0.55547E+03  0.64866E-02 -0.20424E-02  0.12310E+00 -0.28725E-01
 0.56250E+03  0.61100E-02 -0.23286E-02  0.12094E+00 -0.30400E-01
 0.56953E+03  0.58740E-02 -0.25407E-02  0.11881E+00 -0.31994E-01
 0.57656E+03  0.57856E-02 -0.26812E-02  0.11673E+00 -0.33531E-01
 0.58359E+03  0.58137E-02 -0.27619E-02  0.11467E+00 -0.35068E-01
 0.59062E+03  0.58905E-02 -0.28020E-02  0.11264E+00 -0.36662E-01
 0.59766E+03  0.59452E-02 -0.28266E-02  0.11061E+00 -0.38341E-01
 0.60469E+03  0.59357E-02 -0.28639E-02  0.10859E+00 -0.40101E-01
 0.61172E+03  0.58490E-02 -0.29392E-02  0.10658E+00 -0.41922E-01
 0.61875E+03  0.56798E-02 -0.30714E-02  0.10456E+00 -0.43777E-01
 0.62578E+03  0.54179E-02 -0.32726E-02  0.10254E+00 -0.45635E-01
 0.63281E+03  0.50576E-02 -0.35437E-02  0.10052E+00 -0.47454E-01
 0.63984E+03  0.46246E-02 -0.38725E-02  0.98503E-01 -0.49183E-01
 0.64688E+03  0.41807E-02 -0.42421E-02  0.96490E-01 -0.50784E-01
 0.65391E+03  0.37884E-02 -0.46424E-02  0.94491E-01 -0.52233E-01
 0.66094E+03  0.34734E-02 -0.50705E-02  0.92513E-01 -0.53532E-01
 0.66797E+03  0.32306E-02 -0.55229E-02  0.90562E-01 -0.54697E-01
 0.67500E+03  0.30564E-02 -0.59951E-02  0.88643E-01 -0.55752E-01
 0.68203E+03  0.29533E-02 -0.64857E-02  0.86760E-01 -0.56720E-01
 0.68906E+03  0.29091E-02 -0.69968E-02  0.84913E-01 -0.57620E-01
 0.69609E+03  0.29030E-02 -0.75289E-02  0.83102E-01 -0.58460E-01
 0.70312E+03  0.29279E-02 -0.80809E-02  0.81329E-01 -0.59224E-01
 0.71016E+03  0.29784E-02 -0.86542E-02  0.79594E-01 -0.59887E-01
 0.71719E+03  0.30295E-02 -0.92535E-02  0.77899E-01 -0.60435E-01
 0.72422E+03  0.30457E-02 -0.98846E-02  0.76247E-01 -0.60876E-01
 0.73125E+03  0.30110E-02 -0.10550E-01  0.74642E-01 -0.61240E-01
 0.73828E+03  0.29383E-02 -0.11246E-01  0.73090E-01 -0.61568E-01
 0.74531E+03  0.28518E-02 -0.11970E-01  0.71594E-01 -0.61904E-01
 0.75234E+03  0.27700E-02 -0.12719E-01  0.70158E-01 -0.62279E-01
 0.75938E+03  0.27049E-02 -0.13490E-01  0.68787E-01 -0.62707E-01
 0.76641E+03  0.26643E-02 -0.14278E-01  0.67483E-01 -0.63185E-01
 0.77344E+03  0.26549E-02 -0.15079E-01  0.66249E-01 -0.63691E-01
 0.78047E+03  0.26889E-02 -0.15889E-01  0.65087E-01 -0.64200E-01
 0.78750E+03  0.27765E-02 -0.16702E-01  0.63995E-01 -0.64685E-01
 0.79453E+03  0.29143E-02 -0.17507E-01  0.62973E-01 -0.65125E-01
 0.80156E+03  0.30837E-02 -0.18294E-01  0.62020E-01 -0.65507E-01
 0.80859E+03  0.32580E-02 -0.19051E-01  0.61137E-01 -0.65826E-01
 0.81562E+03  0.34092E-02 -0.19767E-01  0.60325E-01 -0.66087E-01
 0.82266E+03  0.35131E-02 -0.20429E-01  0.59582E-01 -0.66295E-01
 0.82969E+03  0.35565E-02 -0.21027E-01  0.58910E-01 -0.66463E-01
 0.83672E+03  0.35411E-02 -0.21548E-01  0.58307E-01 -0.66608E-01
 0.84375E+03  0.34808E-02 -0.21981E-01  0.57773E-01 -0.66741E-01
 0.85078E+03  0.33957E-02 -0.22320E-01  0.57309E-01 -0.66862E-01
 0.85781E+03  0.33054E-02 -0.22569E-01  0.56913E-01 -0.66962E-01
 0.86484E+03  0.32237E-02 -0.22740E-01  0.56584E-01 -0.67036E-01
 0.87188E+03  0.31575E-02 -0.22853E-01  0.56320E-01 -0.67086E-01
