# longitudinal spacing
#   dz+         R_rr         R_tt         R_zz         R_pp
 0.00000E+00  0.10000E+01  0.10000E+01  0.10000E+01  0.10000E+01
 0.70312E+01  0.95786E+00  0.96186E+00  0.98577E+00  0.96085E+00
 0.14062E+02  0.85003E+00  0.86276E+00  0.94822E+00  0.85704E+00
 0.21094E+02  0.71688E+00  0.73605E+00  0.89840E+00  0.71871E+00
 0.28125E+02  0.59201E+00  0.60994E+00  0.84549E+00  0.57475E+00
 0.35156E+02  0.48907E+00  0.49691E+00  0.79366E+00  0.44410E+00
 0.42188E+02  0.40762E+00  0.39874E+00  0.74398E+00  0.33526E+00
 0.49219E+02  0.34350E+00  0.31462E+00  0.69698E+00  0.24950E+00
 0.56250E+02  0.29325E+00  0.24410E+00  0.65327E+00  0.18441E+00
 0.63281E+02  0.25406E+00  0.18640E+00  0.61319E+00  0.13629E+00
 0.70312E+02  0.22336E+00  0.13990E+00  0.57668E+00  0.10131E+00
 0.77344E+02  0.19906E+00  0.10268E+00  0.54345E+00  0.76125E-01
 0.84375E+02  0.17965E+00  0.73017E-01  0.51323E+00  0.58019E-01
 0.91406E+02  0.16402E+00  0.49537E-01  0.48571E+00  0.44978E-01
 0.98438E+02  0.15128E+00  0.31101E-01  0.46059E+00  0.35581E-01
 0.10547E+03  0.14067E+00  0.16729E-01  0.43759E+00  0.28820E-01
 0.11250E+03  0.13161E+00  0.55591E-02  0.41645E+00  0.23937E-01
 0.11953E+03  0.12369E+00 -0.31614E-02  0.39692E+00  0.20329E-01
 0.12656E+03  0.11659E+00 -0.10057E-01  0.37884E+00  0.17507E-01
 0.13359E+03  0.11012E+00 -0.15614E-01  0.36204E+00  0.15105E-01
 0.14062E+03  0.10409E+00 -0.20190E-01  0.34641E+00  0.12898E-01
 0.14766E+03  0.98430E-01 -0.24041E-01  0.33185E+00  0.10789E-01
 0.15469E+03  0.93106E-01 -0.27344E-01  0.31827E+00  0.87912E-02
 0.16172E+03  0.88141E-01 -0.30220E-01  0.30561E+00  0.69897E-02
 0.16875E+03  0.83537E-01 -0.32745E-01  0.29379E+00  0.54843E-02
 0.17578E+03  0.79268E-01 -0.34955E-01  0.28273E+00  0.43342E-02
 0.18281E+03  0.75302E-01 -0.36851E-01  0.27238E+00  0.35298E-02
 0.18984E+03  0.71623E-01 -0.38421E-01  0.26267E+00  0.29871E-02
 0.19688E+03  0.68233E-01 -0.39655E-01  0.25357E+00  0.25793E-02
 0.20391E+03  0.65139E-01 -0.40562E-01  0.24503E+00  0.22089E-02
 0.21094E+03  0.62336E-01 -0.41173E-01  0.23704E+00  0.18650E-02
 0.21797E+03  0.59805E-01 -0.41538E-01  0.22956E+00  0.16139E-02
 0.22500E+03  0.57490E-01 -0.41722E-01  0.22256E+00  0.15410E-02
 0.23203E+03  0.55314E-01 -0.41788E-01  0.21599E+00  0.17054E-02
 0.23906E+03  0.53225E-01 -0.41783E-01  0.20984E+00  0.21205E-02
 0.24609E+03  0.51229E-01 -0.41709E-01  0.20406E+00  0.27391E-02
 0.25312E+03  0.49383E-01 -0.41524E-01  0.19863E+00  0.34533E-02
 0.26016E+03  0.47746E-01 -0.41171E-01  0.19352E+00  0.41233E-02
 0.26719E+03  0.46343E-01 -0.40624E-01  0.18868E+00  0.46170E-02
 0.27422E+03  0.45153E-01 -0.39905E-01  0.18409E+00  0.48460E-02
 0.28125E+03  0.44130E-01 -0.39071E-01  0.17974E+00  0.47929E-02
 0.28828E+03  0.43221E-01 -0.38190E-01  0.17560E+00  0.45144E-02
 0.29531E+03  0.42386E-01 -0.37324E-01  0.17165E+00  0.41197E-02
