# Skewness factors of velocity and pressure
#
# Nomenclature
# 	y+	Distance from the wall in wall unit 
#	S(ur)	Skewness factor of radial velocity
#	S(ut)	Skewness factor of azimuthal velocity
#	S(uz)	Skewness factor of longitudinal velocity
#	S(p)	Skewness factor of pressure
#
# y+           y+           S(ur)        S(ut)        S(uz)        S(p)
#           (for S(ur))
 0.35781E+02  0.34947E+02  0.84293E-01  0.28494E-01 -0.47634E+00 -0.40450E+00
 0.34133E+02  0.33319E+02  0.11032E+00  0.24870E-01 -0.46301E+00 -0.39910E+00
 0.32527E+02  0.31735E+02  0.13749E+00  0.21597E-01 -0.44843E+00 -0.39329E+00
 0.30964E+02  0.30193E+02  0.16565E+00  0.18731E-01 -0.43233E+00 -0.38712E+00
 0.29444E+02  0.28695E+02  0.19462E+00  0.16230E-01 -0.41445E+00 -0.38052E+00
 0.27968E+02  0.27240E+02  0.22425E+00  0.13910E-01 -0.39447E+00 -0.37317E+00
 0.26535E+02  0.25829E+02  0.25440E+00  0.11579E-01 -0.37210E+00 -0.36453E+00
 0.25146E+02  0.24462E+02  0.28500E+00  0.92203E-02 -0.34705E+00 -0.35406E+00
 0.23800E+02  0.23138E+02  0.31595E+00  0.70348E-02 -0.31916E+00 -0.34134E+00
 0.22498E+02  0.21858E+02  0.34719E+00  0.51673E-02 -0.28840E+00 -0.32610E+00
 0.21239E+02  0.20621E+02  0.37865E+00  0.36184E-02 -0.25468E+00 -0.30835E+00
 0.20024E+02  0.19427E+02  0.41022E+00  0.24044E-02 -0.21786E+00 -0.28810E+00
 0.18851E+02  0.18276E+02  0.44184E+00  0.15473E-02 -0.17777E+00 -0.26543E+00
 0.17722E+02  0.17167E+02  0.47343E+00  0.92096E-03 -0.13415E+00 -0.24053E+00
 0.16634E+02  0.16101E+02  0.50492E+00  0.25945E-03 -0.86800E-01 -0.21370E+00
 0.15588E+02  0.15075E+02  0.53621E+00 -0.63996E-03 -0.35510E-01 -0.18532E+00
 0.14582E+02  0.14090E+02  0.56717E+00 -0.18077E-02  0.19862E-01 -0.15578E+00
 0.13617E+02  0.13145E+02  0.59771E+00 -0.31559E-02  0.79422E-01 -0.12557E+00
 0.12691E+02  0.12238E+02  0.62778E+00 -0.45653E-02  0.14322E+00 -0.95178E-01
 0.11804E+02  0.11369E+02  0.65737E+00 -0.59647E-02  0.21124E+00 -0.65111E-01
 0.10953E+02  0.10537E+02  0.68652E+00 -0.73739E-02  0.28338E+00 -0.35836E-01
 0.10139E+02  0.97404E+01  0.71530E+00 -0.88675E-02  0.35943E+00 -0.77620E-02
 0.93591E+01  0.89778E+01  0.74375E+00 -0.10490E-01  0.43913E+00  0.18748E-01
 0.86128E+01  0.82478E+01  0.77187E+00 -0.12211E-01  0.52212E+00  0.43384E-01
 0.78985E+01  0.75491E+01  0.79950E+00 -0.13942E-01  0.60794E+00  0.65909E-01
 0.72145E+01  0.68800E+01  0.82624E+00 -0.15598E-01  0.69598E+00  0.86162E-01
 0.65593E+01  0.62387E+01  0.85141E+00 -0.17126E-01  0.78546E+00  0.10406E+00
 0.59312E+01  0.56236E+01  0.87406E+00 -0.18526E-01  0.87537E+00  0.11961E+00
 0.53281E+01  0.50327E+01  0.89313E+00 -0.19836E-01  0.96438E+00  0.13285E+00
 0.47484E+01  0.44641E+01  0.90749E+00 -0.21101E-01  0.10508E+01  0.14391E+00
 0.41900E+01  0.39159E+01  0.91582E+00 -0.22336E-01  0.11326E+01  0.15295E+00
 0.36508E+01  0.33858E+01  0.91675E+00 -0.23523E-01  0.12072E+01  0.16015E+00
 0.31288E+01  0.28719E+01  0.90979E+00 -0.24630E-01  0.12719E+01  0.16570E+00
 0.26218E+01  0.23718E+01  0.89572E+00 -0.25629E-01  0.13237E+01  0.16981E+00
 0.21275E+01  0.18833E+01  0.87557E+00 -0.26509E-01  0.13604E+01  0.17271E+00
 0.16438E+01  0.14043E+01  0.85094E+00 -0.27274E-01  0.13808E+01  0.17466E+00
 0.11683E+01  0.93224E+00  0.82483E+00 -0.27926E-01  0.13855E+01  0.17590E+00
 0.69860E+00  0.46494E+00  0.80135E+00 -0.28428E-01  0.13762E+01  0.17673E+00
 0.23247E+00  0.00000E+00          NaN -0.28648E-01  0.13511E+01  0.17741E+00
