# Mean and Reynolds shear stress
#
# Nomenclature
# 	y+	Distance from the wall in wall unit 
#	dUz+/dr+	Mean shear stress in wall unit 
#	(ur ut)^+	Reynolds stress, <u_r u_theta> in wall unit 
#	(ut uz)^+	Reynolds stress, <u_theta u_z> in wall unit 
#	(uz ur)^+	Reynolds stress, <u_z u_r> in wall unit 
#
# y+           y+          dUz+/dr+     (ur ut)+       (ut uz)+      (uz ur)+
#(for utuz)
 0.48469E+02  0.47493E+02 -0.61122E-01  0.21981E-02 -0.35877E-02  0.67203E+00
 0.46537E+02  0.45581E+02 -0.64231E-01  0.23154E-02 -0.50008E-02  0.67971E+00
 0.44644E+02  0.43707E+02 -0.67813E-01  0.23886E-02 -0.70450E-02  0.68670E+00
 0.42790E+02  0.41873E+02 -0.71939E-01  0.24330E-02 -0.95945E-02  0.69292E+00
 0.40977E+02  0.40080E+02 -0.76653E-01  0.24562E-02 -0.12416E-01  0.69832E+00
 0.39204E+02  0.38327E+02 -0.82006E-01  0.24494E-02 -0.15311E-01  0.70285E+00
 0.37472E+02  0.36616E+02 -0.88035E-01  0.23960E-02 -0.18189E-01  0.70646E+00
 0.35781E+02  0.34947E+02 -0.94838E-01  0.22874E-02 -0.20977E-01  0.70905E+00
 0.34133E+02  0.33319E+02 -0.10255E+00  0.21282E-02 -0.23528E-01  0.71049E+00
 0.32527E+02  0.31735E+02 -0.11129E+00  0.19276E-02 -0.25624E-01  0.71065E+00
 0.30964E+02  0.30193E+02 -0.12119E+00  0.16945E-02 -0.27091E-01  0.70940E+00
 0.29444E+02  0.28695E+02 -0.13239E+00  0.14405E-02 -0.27883E-01  0.70659E+00
 0.27968E+02  0.27240E+02 -0.14508E+00  0.11792E-02 -0.28068E-01  0.70204E+00
 0.26535E+02  0.25829E+02 -0.15942E+00  0.92252E-03 -0.27763E-01  0.69558E+00
 0.25146E+02  0.24462E+02 -0.17555E+00  0.67922E-03 -0.27063E-01  0.68707E+00
 0.23800E+02  0.23138E+02 -0.19363E+00  0.45447E-03 -0.26034E-01  0.67636E+00
 0.22498E+02  0.21858E+02 -0.21377E+00  0.25041E-03 -0.24709E-01  0.66333E+00
 0.21239E+02  0.20621E+02 -0.23613E+00  0.66173E-04 -0.23111E-01  0.64784E+00
 0.20024E+02  0.19427E+02 -0.26080E+00 -0.10062E-03 -0.21278E-01  0.62979E+00
 0.18851E+02  0.18276E+02 -0.28788E+00 -0.25009E-03 -0.19272E-01  0.60908E+00
 0.17722E+02  0.17167E+02 -0.31741E+00 -0.37863E-03 -0.17169E-01  0.58568E+00
 0.16634E+02  0.16101E+02 -0.34942E+00 -0.48159E-03 -0.15050E-01  0.55956E+00
 0.15588E+02  0.15075E+02 -0.38387E+00 -0.55592E-03 -0.13003E-01  0.53078E+00
 0.14582E+02  0.14090E+02 -0.42062E+00 -0.60061E-03 -0.11106E-01  0.49946E+00
 0.13617E+02  0.13145E+02 -0.45950E+00 -0.61602E-03 -0.94279E-02  0.46580E+00
 0.12691E+02  0.12238E+02 -0.50019E+00 -0.60318E-03 -0.80184E-02  0.43010E+00
 0.11804E+02  0.11369E+02 -0.54231E+00 -0.56401E-03 -0.69051E-02  0.39277E+00
 0.10953E+02  0.10537E+02 -0.58536E+00 -0.50214E-03 -0.60901E-02  0.35430E+00
 0.10139E+02  0.97404E+01 -0.62875E+00 -0.42347E-03 -0.55486E-02  0.31529E+00
 0.93591E+01  0.89778E+01 -0.67184E+00 -0.33579E-03 -0.52313E-02  0.27638E+00
 0.86128E+01  0.82478E+01 -0.71400E+00 -0.24743E-03 -0.50709E-02  0.23825E+00
 0.78985E+01  0.75491E+01 -0.75450E+00 -0.16582E-03 -0.49919E-02  0.20159E+00
 0.72145E+01  0.68800E+01 -0.79270E+00 -0.96440E-04 -0.49224E-02  0.16706E+00
 0.65593E+01  0.62387E+01 -0.82808E+00 -0.42357E-04 -0.48043E-02  0.13523E+00
 0.59312E+01  0.56236E+01 -0.86011E+00 -0.43027E-05 -0.45997E-02  0.10657E+00
 0.53281E+01  0.50327E+01 -0.88851E+00  0.18930E-04 -0.42921E-02  0.81440E-01
 0.47484E+01  0.44641E+01 -0.91308E+00  0.29900E-04 -0.38843E-02  0.60023E-01
 0.41900E+01  0.39159E+01 -0.93377E+00  0.31848E-04 -0.33941E-02  0.42364E-01
 0.36508E+01  0.33858E+01 -0.95068E+00  0.28078E-04 -0.28490E-02  0.28351E-01
 0.31288E+01  0.28719E+01 -0.96416E+00  0.21501E-04 -0.22811E-02  0.17734E-01
 0.26218E+01  0.23718E+01 -0.97453E+00  0.14374E-04 -0.17238E-02  0.10141E-01
 0.21275E+01  0.18833E+01 -0.98228E+00  0.82083E-05 -0.12080E-02  0.51077E-02
 0.16438E+01  0.14043E+01 -0.98793E+00  0.37786E-05 -0.76013E-03  0.21133E-02
 0.11683E+01  0.93224E+00 -0.99206E+00  0.12185E-05 -0.40167E-03  0.61374E-03
 0.69860E+00  0.46494E+00 -0.99517E+00  0.17689E-06 -0.14950E-03  0.75727E-04
 0.23247E+00  0.00000E+00 -0.99785E+00  0.00000E+00 -0.17294E-04  0.00000E+00
