# azimuthal spacing
#  (rdt)+      (rdt)+        R_rr         R_tt         R_zz         R_pp
#            (for R_rr)
 0.00000E+00  0.00000E+00  0.10000E+01  0.10000E+01  0.10000E+01  0.10000E+01
 0.85742E+01  0.85887E+01  0.44110E+00  0.81579E+00  0.79182E+00  0.93934E+00
 0.17148E+02  0.17177E+02 -0.11345E+00  0.47038E+00  0.42830E+00  0.80738E+00
 0.25723E+02  0.25766E+02 -0.22902E+00  0.16857E+00  0.13505E+00  0.67088E+00
 0.34297E+02  0.34355E+02 -0.15855E+00 -0.20819E-01 -0.38962E-01  0.55854E+00
 0.42871E+02  0.42943E+02 -0.83835E-01 -0.11258E+00 -0.12074E+00  0.47331E+00
 0.51445E+02  0.51532E+02 -0.35545E-01 -0.14036E+00 -0.14322E+00  0.41051E+00
 0.60019E+02  0.60121E+02 -0.93940E-02 -0.13290E+00 -0.13306E+00  0.36462E+00
 0.68593E+02  0.68709E+02  0.36130E-02 -0.11026E+00 -0.10951E+00  0.33097E+00
 0.77168E+02  0.77298E+02  0.11698E-01 -0.84708E-01 -0.83167E-01  0.30595E+00
 0.85742E+02  0.85887E+02  0.14375E-01 -0.63066E-01 -0.59237E-01  0.28679E+00
 0.94316E+02  0.94476E+02  0.11657E-01 -0.47688E-01 -0.39289E-01  0.27162E+00
 0.10289E+03  0.10306E+03  0.79751E-02 -0.37760E-01 -0.23003E-01  0.25932E+00
 0.11146E+03  0.11165E+03  0.58198E-02 -0.31510E-01 -0.97510E-02  0.24917E+00
 0.12004E+03  0.12024E+03  0.43361E-02 -0.27335E-01  0.62400E-03  0.24061E+00
 0.12861E+03  0.12883E+03  0.96226E-03 -0.24152E-01  0.73289E-02  0.23325E+00
 0.13719E+03  0.13742E+03 -0.26810E-02 -0.21386E-01  0.94979E-02  0.22691E+00
 0.14576E+03  0.14601E+03 -0.39649E-02 -0.18462E-01  0.83885E-02  0.22148E+00
 0.15434E+03  0.15460E+03 -0.15796E-02 -0.14997E-01  0.69007E-02  0.21676E+00
 0.16291E+03  0.16319E+03  0.93653E-03 -0.11441E-01  0.63346E-02  0.21244E+00
 0.17148E+03  0.17177E+03  0.10971E-02 -0.84943E-02  0.64242E-02  0.20815E+00
 0.18006E+03  0.18036E+03  0.10199E-02 -0.67497E-02  0.66426E-02  0.20369E+00
 0.18863E+03  0.18895E+03  0.14674E-02 -0.62239E-02  0.60251E-02  0.19905E+00
 0.19721E+03  0.19754E+03  0.39912E-02 -0.62381E-02  0.46333E-02  0.19441E+00
 0.20578E+03  0.20613E+03  0.46181E-02 -0.71891E-02  0.19194E-02  0.18996E+00
 0.21435E+03  0.21472E+03  0.12886E-02 -0.91154E-02 -0.19712E-02  0.18586E+00
 0.22293E+03  0.22331E+03  0.59518E-04 -0.11310E-01 -0.66410E-02  0.18226E+00
 0.23150E+03  0.23189E+03  0.10332E-02 -0.13356E-01 -0.13254E-01  0.17914E+00
 0.24008E+03  0.24048E+03  0.71277E-03 -0.15506E-01 -0.22260E-01  0.17633E+00
