# azimuthal spacing
#  (rdt)+      (rdt)+        R_rr         R_tt         R_zz         R_pp
#            (for R_rr)
 0.24865E+03  0.24907E+03 -0.18018E-02 -0.17644E-01 -0.31435E-01  0.17369E+00
 0.25723E+03  0.25766E+03 -0.55125E-02 -0.19084E-01 -0.37789E-01  0.17123E+00
 0.26580E+03  0.26625E+03 -0.80308E-02 -0.18933E-01 -0.38529E-01  0.16897E+00
 0.27437E+03  0.27484E+03 -0.61116E-02 -0.16305E-01 -0.31787E-01  0.16691E+00
 0.28295E+03  0.28343E+03 -0.34057E-04 -0.11649E-01 -0.19122E-01  0.16496E+00
 0.29152E+03  0.29202E+03  0.39093E-02 -0.65189E-02 -0.51634E-02  0.16295E+00
 0.30010E+03  0.30060E+03  0.60124E-02 -0.20549E-02  0.69764E-02  0.16086E+00
 0.30867E+03  0.30919E+03  0.52904E-02  0.68190E-03  0.15691E-01  0.15881E+00
 0.31724E+03  0.31778E+03  0.24164E-02  0.11700E-02  0.19895E-01  0.15697E+00
 0.32582E+03  0.32637E+03  0.18494E-03 -0.92182E-04  0.19279E-01  0.15548E+00
 0.33439E+03  0.33496E+03  0.81239E-03 -0.20740E-02  0.15083E-01  0.15437E+00
 0.34297E+03  0.34355E+03  0.97066E-05 -0.43569E-02  0.95175E-02  0.15358E+00
 0.35154E+03  0.35214E+03 -0.56176E-03 -0.62960E-02  0.48096E-02  0.15302E+00
 0.36012E+03  0.36072E+03  0.15357E-03 -0.73277E-02  0.16839E-02  0.15254E+00
 0.36869E+03  0.36931E+03  0.71003E-03 -0.75806E-02  0.43145E-04  0.15202E+00
 0.37726E+03  0.37790E+03 -0.50708E-03 -0.73776E-02 -0.43265E-03  0.15141E+00
 0.38584E+03  0.38649E+03 -0.10660E-02 -0.66790E-02 -0.15606E-03  0.15064E+00
 0.39441E+03  0.39508E+03  0.10015E-02 -0.59011E-02  0.97009E-04  0.14962E+00
 0.40299E+03  0.40367E+03  0.21023E-02 -0.58652E-02 -0.10097E-02  0.14838E+00
 0.41156E+03  0.41226E+03  0.10356E-02 -0.65808E-02 -0.30609E-02  0.14696E+00
 0.42014E+03  0.42085E+03 -0.71817E-03 -0.75395E-02 -0.44010E-02  0.14545E+00
 0.42871E+03  0.42943E+03 -0.17501E-02 -0.82324E-02 -0.34336E-02  0.14390E+00
 0.43728E+03  0.43802E+03 -0.19603E-02 -0.85825E-02  0.26973E-03  0.14229E+00
 0.44586E+03  0.44661E+03 -0.24190E-02 -0.85493E-02  0.49802E-02  0.14065E+00
 0.45443E+03  0.45520E+03 -0.11320E-02 -0.80770E-02  0.77357E-02  0.13921E+00
 0.46301E+03  0.46379E+03  0.23287E-02 -0.76552E-02  0.66365E-02  0.13812E+00
 0.47158E+03  0.47238E+03  0.54870E-02 -0.83046E-02  0.31044E-02  0.13717E+00
 0.48015E+03  0.48097E+03  0.52854E-02 -0.10681E-01 -0.56143E-03  0.13611E+00
 0.48873E+03  0.48956E+03  0.23754E-02 -0.13990E-01 -0.29339E-02  0.13496E+00
 0.49730E+03  0.49814E+03 -0.32290E-03 -0.16562E-01 -0.34962E-02  0.13394E+00
 0.50588E+03  0.50673E+03 -0.25034E-02 -0.17419E-01 -0.26088E-02  0.13325E+00
 0.51445E+03  0.51532E+03 -0.39871E-02 -0.16370E-01 -0.57168E-03  0.13307E+00
 0.52303E+03  0.52391E+03 -0.35253E-02 -0.13791E-01  0.26587E-02  0.13338E+00
 0.53160E+03  0.53250E+03 -0.13037E-02 -0.10579E-01  0.66140E-02  0.13398E+00
 0.54017E+03  0.54109E+03  0.15228E-02 -0.79694E-02  0.98343E-02  0.13456E+00
 0.54875E+03  0.54968E+03  0.28260E-02 -0.69711E-02  0.11136E-01  0.13481E+00
 0.55732E+03  0.55826E+03  0.15228E-02 -0.79694E-02  0.98343E-02  0.13456E+00
