# Flatness factors of velocity and pressure
#
# Nomenclature
# 	y+	Distance from the wall in wall unit 
#	F(ur)	Flatness factor of radial velocity
#	F(ut)	Flatness factor of azimuthal velocity
#	F(uz)	Flatness factor of longitudinal velocity
#	F(p)	Flatness factor of pressure
#
# y+           y+           F(ur)        F(ut)        F(uz)        F(p)
#           (for F(ur))
 0.29444E+02  0.28695E+02  0.38975E+01  0.35424E+01  0.26335E+01  0.53199E+01
 0.27968E+02  0.27240E+02  0.40194E+01  0.35585E+01  0.25815E+01  0.54019E+01
 0.26535E+02  0.25829E+02  0.41578E+01  0.35787E+01  0.25300E+01  0.54826E+01
 0.25146E+02  0.24462E+02  0.43140E+01  0.36036E+01  0.24793E+01  0.55598E+01
 0.23800E+02  0.23138E+02  0.44893E+01  0.36336E+01  0.24299E+01  0.56323E+01
 0.22498E+02  0.21858E+02  0.46857E+01  0.36691E+01  0.23825E+01  0.56992E+01
 0.21239E+02  0.20621E+02  0.49055E+01  0.37105E+01  0.23378E+01  0.57608E+01
 0.20024E+02  0.19427E+02  0.51514E+01  0.37586E+01  0.22969E+01  0.58166E+01
 0.18851E+02  0.18276E+02  0.54264E+01  0.38140E+01  0.22609E+01  0.58650E+01
 0.17722E+02  0.17167E+02  0.57342E+01  0.38761E+01  0.22310E+01  0.59049E+01
 0.16634E+02  0.16101E+02  0.60783E+01  0.39439E+01  0.22086E+01  0.59354E+01
 0.15588E+02  0.15075E+02  0.64623E+01  0.40182E+01  0.21953E+01  0.59558E+01
 0.14582E+02  0.14090E+02  0.68899E+01  0.41007E+01  0.21930E+01  0.59654E+01
 0.13617E+02  0.13145E+02  0.73651E+01  0.41933E+01  0.22037E+01  0.59640E+01
 0.12691E+02  0.12238E+02  0.78925E+01  0.42968E+01  0.22299E+01  0.59520E+01
 0.11804E+02  0.11369E+02  0.84775E+01  0.44115E+01  0.22742E+01  0.59303E+01
 0.10953E+02  0.10537E+02  0.91276E+01  0.45373E+01  0.23396E+01  0.58995E+01
 0.10139E+02  0.97404E+01  0.98518E+01  0.46748E+01  0.24290E+01  0.58606E+01
 0.93591E+01  0.89778E+01  0.10660E+02  0.48246E+01  0.25459E+01  0.58148E+01
 0.86128E+01  0.82478E+01  0.11562E+02  0.49875E+01  0.26937E+01  0.57636E+01
 0.78985E+01  0.75491E+01  0.12569E+02  0.51646E+01  0.28759E+01  0.57087E+01
 0.72145E+01  0.68800E+01  0.13685E+02  0.53574E+01  0.30959E+01  0.56517E+01
 0.65593E+01  0.62387E+01  0.14911E+02  0.55687E+01  0.33564E+01  0.55943E+01
 0.59312E+01  0.56236E+01  0.16239E+02  0.58016E+01  0.36592E+01  0.55379E+01
 0.53281E+01  0.50327E+01  0.17661E+02  0.60605E+01  0.40044E+01  0.54838E+01
 0.47484E+01  0.44641E+01  0.19165E+02  0.63499E+01  0.43890E+01  0.54332E+01
 0.41900E+01  0.39159E+01  0.20707E+02  0.66744E+01  0.48056E+01  0.53869E+01
 0.36508E+01  0.33858E+01  0.22200E+02  0.70374E+01  0.52401E+01  0.53458E+01
 0.31288E+01  0.28719E+01  0.23614E+02  0.74402E+01  0.56700E+01  0.53106E+01
 0.26218E+01  0.23718E+01  0.24990E+02  0.78804E+01  0.60643E+01  0.52817E+01
 0.21275E+01  0.18833E+01  0.26308E+02  0.83511E+01  0.63878E+01  0.52597E+01
 0.16438E+01  0.14043E+01  0.27561E+02  0.88420E+01  0.66104E+01  0.52447E+01
 0.11683E+01  0.93224E+00  0.28931E+02  0.93437E+01  0.67189E+01  0.52371E+01
 0.69860E+00  0.46494E+00  0.31043E+02  0.98580E+01  0.67234E+01  0.52373E+01
 0.23247E+00  0.00000E+00          NaN  0.10490E+02  0.66406E+01  0.52456E+01
