# Mean velocities and pressure
#
# Nomenclature
# 	y+	Distance from the wall in wall unit 
#	Ur+	Mean radial velocity in wall unit 
#	Ut+	Mean azimuthal velocity in wall unit 
#	Uz+	Mean longitudinal velocity in wall unit 
#	P+	Mean pressure in wall unit 
#	dUz+/dr+	Mean shear stress in wall unit 
#
# y+           y+           Ur+          Ut+          Uz+          P+           dUz+/dr+
#            (for Ur+)
 0.50438E+02  0.49444E+02 -0.30165E-17 -0.19097E-01  0.16005E+02 -0.82948E+00 -0.57151E-01
 0.48469E+02  0.47493E+02  0.28527E-17 -0.16896E-01  0.15890E+02 -0.81570E+00 -0.59752E-01
 0.46537E+02  0.45581E+02 -0.86910E-18 -0.14382E-01  0.15772E+02 -0.80004E+00 -0.62676E-01
 0.44644E+02  0.43707E+02 -0.24484E-17 -0.11668E-01  0.15650E+02 -0.78249E+00 -0.66022E-01
 0.42790E+02  0.41873E+02 -0.45120E-18 -0.88352E-02  0.15525E+02 -0.76304E+00 -0.69876E-01
 0.40977E+02  0.40080E+02  0.27391E-17 -0.59375E-02  0.15394E+02 -0.74169E+00 -0.74296E-01
 0.39204E+02  0.38327E+02  0.23253E-17 -0.30127E-02  0.15258E+02 -0.71849E+00 -0.79330E-01
 0.37472E+02  0.36616E+02  0.25620E-17 -0.11427E-03  0.15116E+02 -0.69351E+00 -0.85021E-01
 0.35781E+02  0.34947E+02 -0.38182E-18  0.26783E-02  0.14967E+02 -0.66687E+00 -0.91437E-01
 0.34133E+02  0.33319E+02  0.25404E-17  0.52747E-02  0.14811E+02 -0.63870E+00 -0.98696E-01
 0.32527E+02  0.31735E+02 -0.76960E-18  0.75964E-02  0.14646E+02 -0.60917E+00 -0.10692E+00
 0.30964E+02  0.30193E+02 -0.21185E-17  0.95838E-02  0.14472E+02 -0.57849E+00 -0.11624E+00
 0.29444E+02  0.28695E+02  0.23392E-17  0.11196E-01  0.14288E+02 -0.54686E+00 -0.12679E+00
 0.27968E+02  0.27240E+02 -0.24863E-17  0.12413E-01  0.14093E+02 -0.51451E+00 -0.13874E+00
 0.26535E+02  0.25829E+02 -0.18965E-17  0.13239E-01  0.13885E+02 -0.48168E+00 -0.15225E+00
 0.25146E+02  0.24462E+02  0.24086E-18  0.13699E-01  0.13663E+02 -0.44864E+00 -0.16749E+00
 0.23800E+02  0.23138E+02  0.25892E-17  0.13827E-01  0.13427E+02 -0.41564E+00 -0.18459E+00
 0.22498E+02  0.21858E+02  0.19137E-17  0.13668E-01  0.13175E+02 -0.38293E+00 -0.20370E+00
 0.21239E+02  0.20621E+02  0.66073E-18  0.13265E-01  0.12906E+02 -0.35078E+00 -0.22495E+00
 0.20024E+02  0.19427E+02  0.91141E-20  0.12658E-01  0.12619E+02 -0.31939E+00 -0.24846E+00
 0.18851E+02  0.18276E+02  0.84642E-18  0.11884E-01  0.12313E+02 -0.28900E+00 -0.27434E+00
 0.17722E+02  0.17167E+02  0.71294E-18  0.10979E-01  0.11988E+02 -0.25979E+00 -0.30264E+00
 0.16634E+02  0.16101E+02  0.29684E-18  0.99793E-02  0.11643E+02 -0.23195E+00 -0.33341E+00
 0.15588E+02  0.15075E+02  0.33816E-18  0.89239E-02  0.11277E+02 -0.20562E+00 -0.36665E+00
 0.14582E+02  0.14090E+02 -0.30870E-18  0.78515E-02  0.10891E+02 -0.18092E+00 -0.40225E+00
 0.13617E+02  0.13145E+02  0.17413E-18  0.67974E-02  0.10485E+02 -0.15793E+00 -0.44006E+00
 0.12691E+02  0.12238E+02  0.74017E-18  0.57921E-02  0.10060E+02 -0.13672E+00 -0.47984E+00
 0.11804E+02  0.11369E+02  0.15808E-18  0.48609E-02  0.96158E+01 -0.11730E+00 -0.52125E+00
 0.10953E+02  0.10537E+02  0.49914E-18  0.40235E-02  0.91546E+01 -0.99679E-01 -0.56383E+00
 0.10139E+02  0.97404E+01  0.59218E-18  0.32931E-02  0.86778E+01 -0.83823E-01 -0.60705E+00
 0.93591E+01  0.89778E+01  0.34150E-18  0.26755E-02  0.81876E+01 -0.69688E-01 -0.65029E+00
 0.86128E+01  0.82478E+01 -0.12854E-18  0.21687E-02  0.76862E+01 -0.57208E-01 -0.69292E+00
 0.78985E+01  0.75491E+01 -0.11408E-18  0.17643E-02  0.71762E+01 -0.46303E-01 -0.73425E+00
 0.72145E+01  0.68800E+01  0.34278E-18  0.14486E-02  0.66602E+01 -0.36881E-01 -0.77360E+00
 0.65593E+01  0.62387E+01 -0.88638E-19  0.12057E-02  0.61408E+01 -0.28842E-01 -0.81039E+00
 0.59312E+01  0.56236E+01  0.11861E-18  0.10192E-02  0.56206E+01 -0.22078E-01 -0.84409E+00
 0.53281E+01  0.50327E+01 -0.43442E-19  0.87364E-03  0.51020E+01 -0.16479E-01 -0.87431E+00
 0.47484E+01  0.44641E+01 -0.13398E-18  0.75630E-03  0.45869E+01 -0.11934E-01 -0.90079E+00
 0.41900E+01  0.39159E+01 -0.10671E-19  0.65708E-03  0.40770E+01 -0.83283E-02 -0.92342E+00
 0.36508E+01  0.33858E+01  0.48489E-20  0.56874E-03  0.35736E+01 -0.55492E-02 -0.94223E+00
 0.31288E+01  0.28719E+01  0.14930E-19  0.48655E-03  0.30773E+01 -0.34840E-02 -0.95742E+00
 0.26218E+01  0.23718E+01 -0.24078E-19  0.40769E-03  0.25884E+01 -0.20210E-02 -0.96934E+00
 0.21275E+01  0.18833E+01  0.58436E-20  0.33077E-03  0.21068E+01 -0.10501E-02 -0.97840E+00
 0.16438E+01  0.14043E+01  0.52818E-20  0.25524E-03  0.16316E+01 -0.46340E-03 -0.98510E+00
 0.11683E+01  0.93224E+00  0.91877E-20  0.18094E-03  0.11618E+01 -0.15640E-03 -0.99000E+00
 0.69860E+00  0.46494E+00 -0.20736E-20  0.10785E-03  0.69585E+00 -0.31100E-04 -0.99362E+00
 0.23247E+00  0.00000E+00  0.00000E+00  0.35773E-04  0.23197E+00  0.00000E+00 -0.99651E+00
