# azimuthal spacing
#  (rdt)+      (rdt)+        R_rr         R_tt         R_zz         R_pp
#            (for R_rr)
 0.00000E+00  0.00000E+00  0.10000E+01  0.10000E+01  0.10000E+01  0.10000E+01
 0.83380E+01  0.83576E+01  0.52976E+00  0.85403E+00  0.81321E+00  0.92722E+00
 0.16676E+02  0.16715E+02 -0.19862E-01  0.58072E+00  0.46052E+00  0.77409E+00
 0.25014E+02  0.25073E+02 -0.21208E+00  0.31577E+00  0.15461E+00  0.62598E+00
 0.33352E+02  0.33430E+02 -0.20054E+00  0.11928E+00 -0.41787E-01  0.51229E+00
 0.41690E+02  0.41788E+02 -0.13760E+00 -0.23263E-02 -0.14300E+00  0.43017E+00
 0.50028E+02  0.50146E+02 -0.77207E-01 -0.64069E-01 -0.17845E+00  0.37151E+00
 0.58366E+02  0.58503E+02 -0.32951E-01 -0.85740E-01 -0.17501E+00  0.32952E+00
 0.66704E+02  0.66861E+02 -0.55110E-02 -0.85050E-01 -0.15268E+00  0.29916E+00
 0.75042E+02  0.75218E+02  0.98039E-02 -0.74734E-01 -0.12368E+00  0.27674E+00
 0.83380E+02  0.83576E+02  0.15434E-01 -0.62344E-01 -0.94574E-01  0.25960E+00
 0.91718E+02  0.91934E+02  0.14643E-01 -0.51368E-01 -0.68232E-01  0.24598E+00
 0.10006E+03  0.10029E+03  0.11409E-01 -0.42898E-01 -0.45432E-01  0.23488E+00
 0.10839E+03  0.10865E+03  0.74337E-02 -0.36837E-01 -0.26499E-01  0.22573E+00
 0.11673E+03  0.11701E+03  0.39044E-02 -0.32248E-01 -0.11552E-01  0.21802E+00
 0.12507E+03  0.12536E+03  0.13838E-02 -0.28191E-01 -0.67364E-03  0.21135E+00
 0.13341E+03  0.13372E+03 -0.98924E-03 -0.24322E-01  0.57553E-02  0.20564E+00
 0.14175E+03  0.14208E+03 -0.24877E-02 -0.20759E-01  0.83284E-02  0.20084E+00
 0.15008E+03  0.15044E+03 -0.20423E-02 -0.17312E-01  0.93422E-02  0.19679E+00
 0.15842E+03  0.15879E+03 -0.11638E-02 -0.13900E-01  0.10317E-01  0.19311E+00
 0.16676E+03  0.16715E+03  0.16226E-03 -0.10765E-01  0.10890E-01  0.18931E+00
 0.17510E+03  0.17551E+03  0.17666E-02 -0.84698E-02  0.10491E-01  0.18510E+00
 0.18344E+03  0.18387E+03  0.30106E-02 -0.76444E-02  0.85717E-02  0.18054E+00
 0.19178E+03  0.19222E+03  0.59661E-02 -0.80986E-02  0.51514E-02  0.17601E+00
 0.20011E+03  0.20058E+03  0.67304E-02 -0.97309E-02  0.32543E-03  0.17182E+00
 0.20845E+03  0.20894E+03  0.39299E-02 -0.12350E-01 -0.54724E-02  0.16809E+00
 0.21679E+03  0.21730E+03  0.18172E-02 -0.15498E-01 -0.12256E-01  0.16486E+00
 0.22513E+03  0.22566E+03  0.57516E-03 -0.18641E-01 -0.20448E-01  0.16209E+00
 0.23347E+03  0.23401E+03 -0.18500E-02 -0.21445E-01 -0.29715E-01  0.15963E+00
 0.24180E+03  0.24237E+03 -0.52676E-02 -0.23439E-01 -0.38025E-01  0.15733E+00
 0.25014E+03  0.25073E+03 -0.83224E-02 -0.24054E-01 -0.42862E-01  0.15521E+00
 0.25848E+03  0.25909E+03 -0.10467E-01 -0.23245E-01 -0.42103E-01  0.15326E+00
 0.26682E+03  0.26744E+03 -0.84512E-02 -0.20882E-01 -0.34725E-01  0.15147E+00
 0.27516E+03  0.27580E+03 -0.25925E-02 -0.16948E-01 -0.22529E-01  0.14973E+00
 0.28349E+03  0.28416E+03  0.22263E-02 -0.11882E-01 -0.90143E-02  0.14787E+00
 0.29183E+03  0.29252E+03  0.64777E-02 -0.64942E-02  0.32016E-02  0.14586E+00
 0.30017E+03  0.30087E+03  0.90113E-02 -0.19291E-02  0.13016E-01  0.14387E+00
 0.30851E+03  0.30923E+03  0.72155E-02  0.87833E-03  0.19352E-01  0.14215E+00
 0.31685E+03  0.31759E+03  0.36444E-02  0.16807E-02  0.21268E-01  0.14090E+00
 0.32518E+03  0.32595E+03  0.17029E-02  0.12600E-02  0.18844E-01  0.14006E+00
 0.33352E+03  0.33430E+03  0.13118E-03  0.33173E-03  0.14198E-01  0.13947E+00
 0.34186E+03  0.34266E+03 -0.61334E-03 -0.70070E-03  0.95306E-02  0.13907E+00
 0.35020E+03  0.35102E+03 -0.25351E-05 -0.15936E-02  0.60019E-02  0.13874E+00
 0.35854E+03  0.35938E+03  0.51347E-03 -0.21827E-02  0.40344E-02  0.13836E+00
 0.36687E+03  0.36773E+03  0.19963E-03 -0.26930E-02  0.28179E-02  0.13782E+00
 0.37521E+03  0.37609E+03  0.72816E-03 -0.34222E-02  0.13597E-02  0.13703E+00
 0.38355E+03  0.38445E+03  0.29100E-02 -0.47993E-02 -0.60698E-03  0.13599E+00
 0.39189E+03  0.39281E+03  0.30368E-02 -0.67747E-02 -0.33364E-02  0.13475E+00
 0.40023E+03  0.40116E+03  0.77257E-03 -0.89342E-02 -0.59550E-02  0.13336E+00
 0.40856E+03  0.40952E+03 -0.17493E-02 -0.10846E-01 -0.68367E-02  0.13190E+00
 0.41690E+03  0.41788E+03 -0.30017E-02 -0.11953E-01 -0.50934E-02  0.13045E+00
 0.42524E+03  0.42624E+03 -0.28818E-02 -0.12364E-01 -0.11066E-02  0.12891E+00
 0.43358E+03  0.43460E+03 -0.17320E-02 -0.12564E-01  0.34870E-02  0.12729E+00
 0.44192E+03  0.44295E+03  0.61526E-03 -0.12917E-01  0.59812E-02  0.12589E+00
 0.45025E+03  0.45131E+03  0.35847E-02 -0.13718E-01  0.47214E-02  0.12493E+00
 0.45859E+03  0.45967E+03  0.54043E-02 -0.15344E-01  0.90368E-03  0.12412E+00
 0.46693E+03  0.46803E+03  0.47677E-02 -0.17759E-01 -0.29183E-02  0.12310E+00
 0.47527E+03  0.47638E+03  0.17860E-02 -0.20547E-01 -0.47657E-02  0.12189E+00
 0.48361E+03  0.48474E+03 -0.14186E-02 -0.22656E-01 -0.39202E-02  0.12076E+00
 0.49194E+03  0.49310E+03 -0.38177E-02 -0.23286E-01 -0.75981E-03  0.12003E+00
 0.50028E+03  0.50146E+03 -0.52538E-02 -0.22599E-01  0.33467E-02  0.11989E+00
 0.50862E+03  0.50981E+03 -0.46347E-02 -0.21163E-01  0.71439E-02  0.12031E+00
 0.51696E+03  0.51817E+03 -0.11432E-02 -0.19469E-01  0.98208E-02  0.12105E+00
 0.52530E+03  0.52653E+03  0.26736E-02 -0.18011E-01  0.11193E-01  0.12176E+00
 0.53363E+03  0.53489E+03  0.41695E-02 -0.17448E-01  0.11569E-01  0.12206E+00
 0.54197E+03  0.54324E+03  0.26736E-02 -0.18011E-01  0.11193E-01  0.12176E+00
