# azimuthal spacing
#  (rdt)+      (rdt)+        R_rr         R_tt         R_zz         R_pp
#            (for R_rr)
 0.25118E+03  0.25429E+03 -0.34418E-02 -0.81789E-02 -0.15205E-01  0.16100E+00
 0.25601E+03  0.25918E+03 -0.39792E-02 -0.87739E-02 -0.12042E-01  0.15973E+00
 0.26084E+03  0.26407E+03 -0.43732E-02 -0.93318E-02 -0.86308E-02  0.15852E+00
 0.26567E+03  0.26896E+03 -0.45615E-02 -0.97675E-02 -0.49525E-02  0.15738E+00
 0.27050E+03  0.27385E+03 -0.44895E-02 -0.10011E-01 -0.10734E-02  0.15634E+00
 0.27533E+03  0.27874E+03 -0.41733E-02 -0.10025E-01  0.29058E-02  0.15539E+00
 0.28016E+03  0.28363E+03 -0.37049E-02 -0.98150E-02  0.68705E-02  0.15453E+00
 0.28499E+03  0.28852E+03 -0.32143E-02 -0.94350E-02  0.10686E-01  0.15377E+00
 0.28982E+03  0.29341E+03 -0.28306E-02 -0.89734E-02  0.14195E-01  0.15310E+00
 0.29465E+03  0.29830E+03 -0.26384E-02 -0.85293E-02  0.17217E-01  0.15256E+00
 0.29948E+03  0.30319E+03 -0.26228E-02 -0.81820E-02  0.19557E-01  0.15215E+00
 0.30431E+03  0.30808E+03 -0.26845E-02 -0.79708E-02  0.21038E-01  0.15190E+00
 0.30914E+03  0.31297E+03 -0.27193E-02 -0.79014E-02  0.21544E-01  0.15182E+00
 0.31397E+03  0.31786E+03 -0.26845E-02 -0.79708E-02  0.21038E-01  0.15190E+00
