# azimuthal spacing
#  (rdt)+      (rdt)+        R_rr         R_tt         R_zz         R_pp
#            (for R_rr)
 0.00000E+00  0.00000E+00  0.10000E+01  0.10000E+01  0.10000E+01  0.10000E+01
 0.48304E+01  0.48902E+01  0.94730E+00  0.97673E+00  0.96682E+00  0.98152E+00
 0.96607E+01  0.97804E+01  0.81360E+00  0.91385E+00  0.88084E+00  0.93096E+00
 0.14491E+02  0.14671E+02  0.64482E+00  0.82587E+00  0.76718E+00  0.85968E+00
 0.19321E+02  0.19561E+02  0.47640E+00  0.72682E+00  0.64518E+00  0.77961E+00
 0.24152E+02  0.24451E+02  0.32699E+00  0.62690E+00  0.52583E+00  0.69976E+00
 0.28982E+02  0.29341E+02  0.20363E+00  0.53242E+00  0.41474E+00  0.62562E+00
 0.33813E+02  0.34231E+02  0.10697E+00  0.44677E+00  0.31464E+00  0.55983E+00
 0.38643E+02  0.39121E+02  0.34501E-01  0.37134E+00  0.22665E+00  0.50325E+00
 0.43473E+02  0.44012E+02 -0.17474E-01  0.30630E+00  0.15097E+00  0.45559E+00
 0.48304E+02  0.48902E+02 -0.52807E-01  0.25113E+00  0.87209E-01  0.41603E+00
 0.53134E+02  0.53792E+02 -0.75007E-01  0.20490E+00  0.34633E-01  0.38346E+00
 0.57964E+02  0.58682E+02 -0.87115E-01  0.16656E+00 -0.77583E-02  0.35677E+00
 0.62795E+02  0.63572E+02 -0.91679E-01  0.13500E+00 -0.41113E-01  0.33486E+00
 0.67625E+02  0.68463E+02 -0.90797E-01  0.10916E+00 -0.66642E-01  0.31681E+00
 0.72456E+02  0.73353E+02 -0.86176E-01  0.88041E-01 -0.85545E-01  0.30179E+00
 0.77286E+02  0.78243E+02 -0.79206E-01  0.70778E-01 -0.98958E-01  0.28917E+00
 0.82116E+02  0.83133E+02 -0.71034E-01  0.56611E-01 -0.10796E+00  0.27842E+00
 0.86947E+02  0.88023E+02 -0.62578E-01  0.44905E-01 -0.11354E+00  0.26913E+00
 0.91777E+02  0.92914E+02 -0.54499E-01  0.35149E-01 -0.11661E+00  0.26098E+00
 0.96607E+02  0.97804E+02 -0.47218E-01  0.26945E-01 -0.11794E+00  0.25372E+00
 0.10144E+03  0.10269E+03 -0.40957E-01  0.19996E-01 -0.11819E+00  0.24716E+00
 0.10627E+03  0.10758E+03 -0.35800E-01  0.14078E-01 -0.11786E+00  0.24114E+00
 0.11110E+03  0.11247E+03 -0.31762E-01  0.90108E-02 -0.11728E+00  0.23555E+00
 0.11593E+03  0.11736E+03 -0.28785E-01  0.46525E-02 -0.11661E+00  0.23032E+00
 0.12076E+03  0.12225E+03 -0.26714E-01  0.88455E-03 -0.11589E+00  0.22540E+00
 0.12559E+03  0.12714E+03 -0.25330E-01 -0.23953E-02 -0.11511E+00  0.22072E+00
 0.13042E+03  0.13204E+03 -0.24404E-01 -0.52771E-02 -0.11424E+00  0.21625E+00
 0.13525E+03  0.13693E+03 -0.23708E-01 -0.78373E-02 -0.11322E+00  0.21199E+00
 0.14008E+03  0.14182E+03 -0.23040E-01 -0.10132E-01 -0.11201E+00  0.20795E+00
 0.14491E+03  0.14671E+03 -0.22238E-01 -0.12183E-01 -0.11052E+00  0.20414E+00
 0.14974E+03  0.15160E+03 -0.21153E-01 -0.13980E-01 -0.10864E+00  0.20061E+00
 0.15457E+03  0.15649E+03 -0.19635E-01 -0.15477E-01 -0.10623E+00  0.19734E+00
 0.15940E+03  0.16138E+03 -0.17560E-01 -0.16619E-01 -0.10320E+00  0.19434E+00
 0.16423E+03  0.16627E+03 -0.14905E-01 -0.17362E-01 -0.99507E-01  0.19159E+00
 0.16906E+03  0.17116E+03 -0.11797E-01 -0.17697E-01 -0.95151E-01  0.18909E+00
 0.17389E+03  0.17605E+03 -0.84803E-02 -0.17655E-01 -0.90172E-01  0.18680E+00
 0.17872E+03  0.18094E+03 -0.52559E-02 -0.17294E-01 -0.84658E-01  0.18470E+00
 0.18355E+03  0.18583E+03 -0.23982E-02 -0.16666E-01 -0.78766E-01  0.18274E+00
 0.18838E+03  0.19072E+03 -0.98741E-04 -0.15808E-01 -0.72681E-01  0.18090E+00
 0.19321E+03  0.19561E+03  0.15674E-02 -0.14751E-01 -0.66579E-01  0.17914E+00
 0.19805E+03  0.20050E+03  0.26284E-02 -0.13540E-01 -0.60611E-01  0.17743E+00
 0.20288E+03  0.20539E+03  0.31491E-02 -0.12243E-01 -0.54914E-01  0.17575E+00
 0.20771E+03  0.21028E+03  0.31769E-02 -0.10946E-01 -0.49582E-01  0.17408E+00
 0.21254E+03  0.21517E+03  0.27795E-02 -0.97367E-02 -0.44639E-01  0.17243E+00
 0.21737E+03  0.22006E+03  0.20993E-02 -0.86909E-02 -0.40051E-01  0.17080E+00
 0.22220E+03  0.22495E+03  0.12958E-02 -0.78662E-02 -0.35763E-01  0.16922E+00
 0.22703E+03  0.22984E+03  0.45840E-03 -0.73003E-02 -0.31744E-01  0.16772E+00
 0.23186E+03  0.23473E+03 -0.38517E-03 -0.70087E-02 -0.27995E-01  0.16630E+00
 0.23669E+03  0.23962E+03 -0.12227E-02 -0.69874E-02 -0.24518E-01  0.16494E+00
 0.24152E+03  0.24451E+03 -0.20351E-02 -0.72117E-02 -0.21290E-01  0.16361E+00
 0.24635E+03  0.24940E+03 -0.27874E-02 -0.76318E-02 -0.18233E-01  0.16230E+00
