# Flatness factors of vorticity
#
# Nomenclature
# 	y+	Distance from the wall in wall unit 
#	F(wr)	Flatness factor of radial vorticity
#	F(wt)	Flatness factor of azimuthal vorticity
#	F(wz)	Flatness factor of longitudinal vorticity
#
# y+           y+           F(wr)        F(wt)        F(wz)
# (for F(wr))
 0.13617E+02  0.13145E+02  0.39240E+01  0.45130E+01  0.96566E+01
 0.12691E+02  0.12238E+02  0.39126E+01  0.44710E+01  0.10090E+02
 0.11804E+02  0.11369E+02  0.39251E+01  0.44380E+01  0.10591E+02
 0.10953E+02  0.10537E+02  0.39664E+01  0.44061E+01  0.11174E+02
 0.10139E+02  0.97404E+01  0.40418E+01  0.43668E+01  0.11836E+02
 0.93591E+01  0.89778E+01  0.41569E+01  0.43158E+01  0.12555E+02
 0.86128E+01  0.82478E+01  0.43180E+01  0.42563E+01  0.13317E+02
 0.78985E+01  0.75491E+01  0.45327E+01  0.41960E+01  0.14087E+02
 0.72145E+01  0.68800E+01  0.48097E+01  0.41496E+01  0.14763E+02
 0.65593E+01  0.62387E+01  0.51593E+01  0.41284E+01  0.15166E+02
 0.59312E+01  0.56236E+01  0.55924E+01  0.41451E+01  0.15012E+02
 0.53281E+01  0.50327E+01  0.61198E+01  0.42126E+01  0.13989E+02
 0.47484E+01  0.44641E+01  0.67497E+01  0.43410E+01  0.12064E+02
 0.41900E+01  0.39159E+01  0.74849E+01  0.45407E+01  0.97105E+01
 0.36508E+01  0.33858E+01  0.83176E+01  0.48195E+01  0.77213E+01
 0.31288E+01  0.28719E+01  0.92205E+01  0.51853E+01  0.66500E+01
 0.26218E+01  0.23718E+01  0.10139E+02  0.56261E+01  0.64321E+01
 0.21275E+01  0.18833E+01  0.10991E+02  0.60978E+01  0.67848E+01
 0.16438E+01  0.14043E+01  0.11682E+02  0.65064E+01  0.75132E+01
 0.11683E+01  0.93224E+00  0.12142E+02  0.67436E+01  0.84708E+01
 0.69860E+00  0.46494E+00  0.12364E+02  0.67653E+01  0.95014E+01
 0.23247E+00  0.00000E+00  0.12420E+02  0.66406E+01  0.10490E+02
