# Mean vorticities
#
# Nomenclature
# 	y+	Distance from the wall in wall unit 
#	Wr+	Mean radial vorticity in wall unit 
#	Wt+	Mean azimuthal vorticity in wall unit 
#	Wz+	Mean longitudinal vorticity in wall unit 
#
# y+           y+           Wr+          Wt+          Wz+           
# (for Wr+)
 0.15588E+02  0.15075E+02  0.13541E-18  0.38386E+00 -0.10159E-02
 0.14582E+02  0.14090E+02 -0.60730E-18  0.42062E+00 -0.10480E-02
 0.13617E+02  0.13145E+02  0.71974E-18  0.45950E+00 -0.10480E-02
 0.12691E+02  0.12238E+02 -0.28609E-18  0.50019E+00 -0.10173E-02
 0.11804E+02  0.11369E+02  0.29174E-18  0.54231E+00 -0.95827E-03
 0.10953E+02  0.10537E+02 -0.39109E-18  0.58535E+00 -0.87523E-03
 0.10139E+02  0.97404E+01 -0.23531E-19  0.62875E+00 -0.77465E-03
 0.93591E+01  0.89778E+01 -0.61507E-20  0.67185E+00 -0.66488E-03
 0.86128E+01  0.82478E+01 -0.16346E-18  0.71400E+00 -0.55477E-03
 0.78985E+01  0.75491E+01 -0.49029E-18  0.75450E+00 -0.45220E-03
 0.72145E+01  0.68800E+01  0.31280E-18  0.79271E+00 -0.36303E-03
 0.65593E+01  0.62387E+01  0.21219E-18  0.82808E+00 -0.29061E-03
 0.59312E+01  0.56236E+01  0.13121E-18  0.86012E+00 -0.23589E-03
 0.53281E+01  0.50327E+01 -0.20550E-18  0.88851E+00 -0.19774E-03
 0.47484E+01  0.44641E+01  0.23479E-18  0.91307E+00 -0.17366E-03
 0.41900E+01  0.39159E+01 -0.22216E-18  0.93376E+00 -0.16036E-03
 0.36508E+01  0.33858E+01  0.16562E-18  0.95070E+00 -0.15448E-03
 0.31288E+01  0.28719E+01  0.12722E-20  0.96416E+00 -0.15300E-03
 0.26218E+01  0.23718E+01 -0.10820E-19  0.97453E+00 -0.15355E-03
 0.21275E+01  0.18833E+01 -0.18439E-18  0.98227E+00 -0.15451E-03
 0.16438E+01  0.14043E+01 -0.21919E-18  0.98792E+00 -0.15500E-03
 0.11683E+01  0.93224E+00 -0.10640E-18  0.99205E+00 -0.15482E-03
 0.69860E+00  0.46494E+00 -0.27715E-19  0.99518E+00 -0.15424E-03
 0.23247E+00  0.00000E+00  0.24081E-19  0.99785E+00 -0.15388E-03
