# longitudinal spacing
#   dz+         R_rr         R_tt         R_zz         R_pp
 0.62578E+03  0.93195E-02  0.50162E-02  0.58321E-01 -0.55013E-01
 0.63281E+03  0.10213E-01  0.64957E-02  0.59003E-01 -0.56244E-01
 0.63984E+03  0.10698E-01  0.78325E-02  0.59725E-01 -0.57619E-01
 0.64688E+03  0.10761E-01  0.89524E-02  0.60418E-01 -0.59121E-01
 0.65391E+03  0.10471E-01  0.98322E-02  0.61020E-01 -0.60705E-01
 0.66094E+03  0.99470E-02  0.10484E-01  0.61483E-01 -0.62322E-01
 0.66797E+03  0.93100E-02  0.10909E-01  0.61778E-01 -0.63935E-01
 0.67500E+03  0.86430E-02  0.11066E-01  0.61892E-01 -0.65530E-01
 0.68203E+03  0.79874E-02  0.10885E-01  0.61828E-01 -0.67126E-01
 0.68906E+03  0.73662E-02  0.10313E-01  0.61595E-01 -0.68756E-01
 0.69609E+03  0.68134E-02  0.93626E-02  0.61201E-01 -0.70434E-01
 0.70312E+03  0.63809E-02  0.81072E-02  0.60653E-01 -0.72138E-01
 0.71016E+03  0.61106E-02  0.66426E-02  0.59956E-01 -0.73820E-01
 0.71719E+03  0.59957E-02  0.50390E-02  0.59116E-01 -0.75423E-01
 0.72422E+03  0.59606E-02  0.33218E-02  0.58148E-01 -0.76908E-01
 0.73125E+03  0.58779E-02  0.14853E-02  0.57078E-01 -0.78288E-01
 0.73828E+03  0.56118E-02 -0.48144E-03  0.55943E-01 -0.79614E-01
 0.74531E+03  0.50674E-02 -0.25746E-02  0.54784E-01 -0.80942E-01
 0.75234E+03  0.42307E-02 -0.47675E-02  0.53636E-01 -0.82284E-01
 0.75938E+03  0.31843E-02 -0.70070E-02  0.52520E-01 -0.83595E-01
 0.76641E+03  0.20864E-02 -0.92095E-02  0.51447E-01 -0.84783E-01
 0.77344E+03  0.11119E-02 -0.11265E-01  0.50430E-01 -0.85747E-01
 0.78047E+03  0.38378E-03 -0.13059E-01  0.49498E-01 -0.86418E-01
 0.78750E+03 -0.63911E-04 -0.14513E-01  0.48696E-01 -0.86794E-01
 0.79453E+03 -0.26864E-03 -0.15608E-01  0.48076E-01 -0.86935E-01
 0.80156E+03 -0.29167E-03 -0.16385E-01  0.47673E-01 -0.86911E-01
 0.80859E+03 -0.18463E-03 -0.16911E-01  0.47494E-01 -0.86757E-01
 0.81562E+03  0.12490E-04 -0.17243E-01  0.47514E-01 -0.86458E-01
 0.82266E+03  0.26524E-03 -0.17418E-01  0.47692E-01 -0.85978E-01
 0.82969E+03  0.55607E-03 -0.17474E-01  0.47985E-01 -0.85308E-01
 0.83672E+03  0.90514E-03 -0.17477E-01  0.48358E-01 -0.84490E-01
 0.84375E+03  0.13715E-02 -0.17510E-01  0.48780E-01 -0.83620E-01
 0.85078E+03  0.20222E-02 -0.17634E-01  0.49220E-01 -0.82816E-01
 0.85781E+03  0.28891E-02 -0.17830E-01  0.49653E-01 -0.82180E-01
 0.86484E+03  0.39397E-02 -0.18002E-01  0.50066E-01 -0.81770E-01
 0.87188E+03  0.50781E-02 -0.18028E-01  0.50457E-01 -0.81582E-01
 0.87891E+03  0.61682E-02 -0.17856E-01  0.50823E-01 -0.81559E-01
 0.88594E+03  0.70675E-02 -0.17548E-01  0.51139E-01 -0.81617E-01
 0.89297E+03  0.76575E-02 -0.17257E-01  0.51361E-01 -0.81683E-01
 0.90000E+03  0.78627E-02 -0.17138E-01  0.51442E-01 -0.81710E-01
 0.90703E+03  0.76575E-02 -0.17257E-01  0.51361E-01 -0.81683E-01
