# longitudinal spacing
#   dz+         R_rr         R_tt         R_zz         R_pp
 0.00000E+00  0.10000E+01  0.10000E+01  0.10000E+01  0.10000E+01
 0.70312E+01  0.95438E+00  0.95804E+00  0.98397E+00  0.96581E+00
 0.14062E+02  0.83442E+00  0.84660E+00  0.94057E+00  0.87365E+00
 0.21094E+02  0.68007E+00  0.70012E+00  0.88099E+00  0.74806E+00
 0.28125E+02  0.53108E+00  0.55394E+00  0.81668E+00  0.61460E+00
 0.35156E+02  0.40970E+00  0.42942E+00  0.75487E+00  0.49114E+00
 0.42188E+02  0.31870E+00  0.33142E+00  0.69807E+00  0.38636E+00
 0.49219E+02  0.25047E+00  0.25516E+00  0.64613E+00  0.30212E+00
 0.56250E+02  0.19669E+00  0.19411E+00  0.59839E+00  0.23660E+00
 0.63281E+02  0.15261E+00  0.14398E+00  0.55447E+00  0.18660E+00
 0.70312E+02  0.11643E+00  0.10273E+00  0.51422E+00  0.14894E+00
 0.77344E+02  0.87330E-01  0.69217E-01  0.47747E+00  0.12081E+00
 0.84375E+02  0.64433E-01  0.42376E-01  0.44399E+00  0.99930E-01
 0.91406E+02  0.46692E-01  0.21079E-01  0.41349E+00  0.84439E-01
 0.98438E+02  0.33123E-01  0.43210E-02  0.38569E+00  0.72876E-01
 0.10547E+03  0.22910E-01 -0.87117E-02  0.36034E+00  0.64134E-01
 0.11250E+03  0.15382E-01 -0.18680E-01  0.33719E+00  0.57412E-01
 0.11953E+03  0.99712E-02 -0.26166E-01  0.31603E+00  0.52144E-01
 0.12656E+03  0.61725E-02 -0.31699E-01  0.29664E+00  0.47932E-01
 0.13359E+03  0.35172E-02 -0.35765E-01  0.27887E+00  0.44493E-01
 0.14062E+03  0.15811E-02 -0.38806E-01  0.26257E+00  0.41627E-01
 0.14766E+03  0.23755E-04 -0.41227E-01  0.24765E+00  0.39205E-01
 0.15469E+03 -0.13687E-02 -0.43367E-01  0.23399E+00  0.37160E-01
 0.16172E+03 -0.26748E-02 -0.45446E-01  0.22153E+00  0.35477E-01
 0.16875E+03 -0.38725E-02 -0.47505E-01  0.21015E+00  0.34160E-01
 0.17578E+03 -0.48980E-02 -0.49407E-01  0.19976E+00  0.33187E-01
 0.18281E+03 -0.57072E-02 -0.50913E-01  0.19025E+00  0.32467E-01
 0.18984E+03 -0.63153E-02 -0.51813E-01  0.18155E+00  0.31837E-01
 0.19688E+03 -0.67957E-02 -0.52035E-01  0.17356E+00  0.31113E-01
 0.20391E+03 -0.72294E-02 -0.51689E-01  0.16622E+00  0.30162E-01
 0.21094E+03 -0.76342E-02 -0.51015E-01  0.15948E+00  0.28938E-01
 0.21797E+03 -0.79340E-02 -0.50275E-01  0.15329E+00  0.27491E-01
 0.22500E+03 -0.80112E-02 -0.49636E-01  0.14761E+00  0.25932E-01
 0.23203E+03 -0.78149E-02 -0.49113E-01  0.14242E+00  0.24398E-01
 0.23906E+03 -0.74430E-02 -0.48581E-01  0.13768E+00  0.23003E-01
 0.24609E+03 -0.71200E-02 -0.47844E-01  0.13334E+00  0.21815E-01
 0.25312E+03 -0.70712E-02 -0.46717E-01  0.12934E+00  0.20853E-01
 0.26016E+03 -0.73751E-02 -0.45086E-01  0.12563E+00  0.20102E-01
 0.26719E+03 -0.78981E-02 -0.42935E-01  0.12220E+00  0.19531E-01
 0.27422E+03 -0.83593E-02 -0.40333E-01  0.11904E+00  0.19108E-01
 0.28125E+03 -0.84799E-02 -0.37409E-01  0.11615E+00  0.18794E-01
 0.28828E+03 -0.81113E-02 -0.34324E-01  0.11353E+00  0.18542E-01
 0.29531E+03 -0.72660E-02 -0.31239E-01  0.11116E+00  0.18297E-01
 0.30234E+03 -0.60590E-02 -0.28290E-01  0.10899E+00  0.18014E-01
 0.30938E+03 -0.46276E-02 -0.25556E-01  0.10697E+00  0.17671E-01
 0.31641E+03 -0.30955E-02 -0.23055E-01  0.10508E+00  0.17261E-01
 0.32344E+03 -0.15833E-02 -0.20750E-01  0.10328E+00  0.16787E-01
 0.33047E+03 -0.22265E-03 -0.18579E-01  0.10157E+00  0.16235E-01
 0.33750E+03  0.86602E-03 -0.16481E-01  0.99942E-01  0.15566E-01
 0.34453E+03  0.16304E-02 -0.14425E-01  0.98387E-01  0.14725E-01
 0.35156E+03  0.21341E-02 -0.12411E-01  0.96902E-01  0.13647E-01
 0.35859E+03  0.25531E-02 -0.10459E-01  0.95479E-01  0.12276E-01
 0.36562E+03  0.31104E-02 -0.85707E-02  0.94112E-01  0.10571E-01
 0.37266E+03  0.39764E-02 -0.66958E-02  0.92796E-01  0.85240E-02
 0.37969E+03  0.51865E-02 -0.47431E-02  0.91526E-01  0.61807E-02
 0.38672E+03  0.66252E-02 -0.26331E-02  0.90296E-01  0.36551E-02
 0.39375E+03  0.80908E-02 -0.36674E-03  0.89102E-01  0.11210E-02
 0.40078E+03  0.94008E-02  0.19428E-02  0.87934E-01 -0.12214E-02
 0.40781E+03  0.10469E-01  0.41042E-02  0.86777E-01 -0.31935E-02
 0.41484E+03  0.11305E-01  0.59254E-02  0.85606E-01 -0.46884E-02
 0.42188E+03  0.11947E-01  0.72821E-02  0.84390E-01 -0.57164E-02
 0.42891E+03  0.12394E-01  0.81374E-02  0.83096E-01 -0.64212E-02
 0.43594E+03  0.12585E-01  0.85071E-02  0.81695E-01 -0.70497E-02
 0.44297E+03  0.12434E-01  0.84050E-02  0.80177E-01 -0.78781E-02
 0.45000E+03  0.11887E-01  0.78067E-02  0.78559E-01 -0.91229E-02
 0.45703E+03  0.10960E-01  0.66608E-02  0.76893E-01 -0.10874E-01
 0.46406E+03  0.97439E-02  0.49369E-02  0.75246E-01 -0.13080E-01
 0.47109E+03  0.83765E-02  0.26839E-02  0.73679E-01 -0.15580E-01
 0.47812E+03  0.70004E-02  0.60404E-04  0.72225E-01 -0.18181E-01
 0.48516E+03  0.57158E-02 -0.26767E-02  0.70885E-01 -0.20716E-01
 0.49219E+03  0.45539E-02 -0.52276E-02  0.69640E-01 -0.23080E-01
 0.49922E+03  0.34862E-02 -0.73309E-02  0.68462E-01 -0.25230E-01
 0.50625E+03  0.24617E-02 -0.88414E-02  0.67327E-01 -0.27180E-01
 0.51328E+03  0.14483E-02 -0.97687E-02  0.66218E-01 -0.28996E-01
 0.52031E+03  0.45284E-03 -0.10251E-01  0.65129E-01 -0.30772E-01
 0.52734E+03 -0.48523E-03 -0.10472E-01  0.64068E-01 -0.32600E-01
 0.53438E+03 -0.13116E-02 -0.10560E-01  0.63055E-01 -0.34539E-01
 0.54141E+03 -0.19648E-02 -0.10529E-01  0.62115E-01 -0.36602E-01
 0.54844E+03 -0.23707E-02 -0.10289E-01  0.61266E-01 -0.38739E-01
 0.55547E+03 -0.24430E-02 -0.97189E-02  0.60504E-01 -0.40857E-01
 0.56250E+03 -0.21085E-02 -0.87479E-02  0.59814E-01 -0.42854E-01
 0.56953E+03 -0.13530E-02 -0.74060E-02  0.59176E-01 -0.44672E-01
 0.57656E+03 -0.24835E-03 -0.58138E-02  0.58580E-01 -0.46311E-01
 0.58359E+03  0.10710E-02 -0.41303E-02  0.58040E-01 -0.47812E-01
 0.59062E+03  0.24746E-02 -0.24861E-02  0.57597E-01 -0.49211E-01
 0.59766E+03  0.38925E-02 -0.93811E-03  0.57308E-01 -0.50515E-01
 0.60469E+03  0.53157E-02  0.53477E-03  0.57224E-01 -0.51717E-01
 0.61172E+03  0.67418E-02  0.19954E-02  0.57376E-01 -0.52827E-01
 0.61875E+03  0.81159E-02  0.34923E-02  0.57756E-01 -0.53898E-01
