# RMS velocities and pressure
#
# Nomenclature
# 	y+	Distance from the wall in wall unit 
#	ur+,rms	RMS radial velocity in wall unit 
#	ut+,rms	RMS azimuthal velocity in wall unit 
#	uz+,rms	RMS longitudinal velocity in wall unit 
#	p+,rms	RMS pressure in wall unit 
#
# y+           y+           ur+,rms      ut+,rms      uz+,rms      p+,rms
#           (for ur+,rms)
 0.29444E+02  0.28695E+02  0.66976E+00  0.10061E+01  0.22917E+01  0.18536E+01
 0.27968E+02  0.27240E+02  0.64895E+00  0.10008E+01  0.23413E+01  0.18525E+01
 0.26535E+02  0.25829E+02  0.62711E+00  0.99460E+00  0.23901E+01  0.18499E+01
 0.25146E+02  0.24462E+02  0.60435E+00  0.98758E+00  0.24375E+01  0.18459E+01
 0.23800E+02  0.23138E+02  0.58075E+00  0.97961E+00  0.24830E+01  0.18406E+01
 0.22498E+02  0.21858E+02  0.55643E+00  0.97062E+00  0.25260E+01  0.18339E+01
 0.21239E+02  0.20621E+02  0.53148E+00  0.96055E+00  0.25658E+01  0.18261E+01
 0.20024E+02  0.19427E+02  0.50602E+00  0.94933E+00  0.26016E+01  0.18172E+01
 0.18851E+02  0.18276E+02  0.48017E+00  0.93691E+00  0.26326E+01  0.18074E+01
 0.17722E+02  0.17167E+02  0.45405E+00  0.92322E+00  0.26581E+01  0.17968E+01
 0.16634E+02  0.16101E+02  0.42779E+00  0.90820E+00  0.26769E+01  0.17856E+01
 0.15588E+02  0.15075E+02  0.40151E+00  0.89182E+00  0.26882E+01  0.17739E+01
 0.14582E+02  0.14090E+02  0.37533E+00  0.87406E+00  0.26908E+01  0.17619E+01
 0.13617E+02  0.13145E+02  0.34936E+00  0.85493E+00  0.26838E+01  0.17497E+01
 0.12691E+02  0.12238E+02  0.32371E+00  0.83445E+00  0.26662E+01  0.17375E+01
 0.11804E+02  0.11369E+02  0.29847E+00  0.81265E+00  0.26368E+01  0.17254E+01
 0.10953E+02  0.10537E+02  0.27375E+00  0.78956E+00  0.25950E+01  0.17134E+01
 0.10139E+02  0.97404E+01  0.24962E+00  0.76522E+00  0.25398E+01  0.17018E+01
 0.93591E+01  0.89778E+01  0.22616E+00  0.73963E+00  0.24709E+01  0.16906E+01
 0.86128E+01  0.82478E+01  0.20345E+00  0.71278E+00  0.23878E+01  0.16798E+01
 0.78985E+01  0.75491E+01  0.18155E+00  0.68463E+00  0.22908E+01  0.16697E+01
 0.72145E+01  0.68800E+01  0.16052E+00  0.65510E+00  0.21801E+01  0.16602E+01
 0.65593E+01  0.62387E+01  0.14042E+00  0.62408E+00  0.20565E+01  0.16514E+01
 0.59312E+01  0.56236E+01  0.12130E+00  0.59140E+00  0.19209E+01  0.16434E+01
 0.53281E+01  0.50327E+01  0.10322E+00  0.55688E+00  0.17749E+01  0.16362E+01
 0.47484E+01  0.44641E+01  0.86232E-01  0.52028E+00  0.16198E+01  0.16299E+01
 0.41900E+01  0.39159E+01  0.70416E-01  0.48133E+00  0.14575E+01  0.16244E+01
 0.36508E+01  0.33858E+01  0.55846E-01  0.43971E+00  0.12897E+01  0.16198E+01
 0.31288E+01  0.28719E+01  0.42616E-01  0.39510E+00  0.11183E+01  0.16161E+01
 0.26218E+01  0.23718E+01  0.30837E-01  0.34712E+00  0.94489E+00  0.16132E+01
 0.21275E+01  0.18833E+01  0.20645E-01  0.29537E+00  0.77093E+00  0.16113E+01
 0.16438E+01  0.14043E+01  0.12213E-01  0.23940E+00  0.59755E+00  0.16102E+01
 0.11683E+01  0.93224E+00  0.57592E-02  0.17866E+00  0.42542E+00  0.16100E+01
 0.69860E+00  0.46494E+00  0.15661E-02  0.11249E+00  0.25469E+00  0.16107E+01
 0.23247E+00  0.00000E+00  0.00000E+00  0.40019E-01  0.84932E-01  0.16123E+01
