# <u_t u_t> budget
#
# y+          P+(NC)       TD+          TCR+         PD+(NC)      PCR+         PS+          VD+         VCR+         D+            balance
 0.96672E+02  0.00000E+00  0.66286E-04  0.52003E-03  0.00000E+00 -0.58289E-03  0.10396E-01  0.20067E-03 -0.52367E-04 -0.10470E-01  0.77468E-04
 0.94100E+02  0.00000E+00  0.13791E-03  0.49545E-03  0.00000E+00 -0.58924E-03  0.10793E-01  0.21770E-03 -0.52098E-04 -0.10918E-01  0.84963E-04
 0.91550E+02  0.00000E+00  0.23796E-03  0.47828E-03  0.00000E+00 -0.59948E-03  0.11214E-01  0.21048E-03 -0.52014E-04 -0.11393E-01  0.95650E-04
 0.89025E+02  0.00000E+00  0.33355E-03  0.46848E-03  0.00000E+00 -0.61263E-03  0.11679E-01  0.18772E-03 -0.52069E-04 -0.11897E-01  0.10649E-03
 0.86523E+02  0.00000E+00  0.39149E-03  0.46397E-03  0.00000E+00 -0.62709E-03  0.12206E-01  0.16219E-03 -0.52214E-04 -0.12429E-01  0.11544E-03
 0.84047E+02  0.00000E+00  0.40144E-03  0.46165E-03  0.00000E+00 -0.64122E-03  0.12811E-01  0.12592E-03 -0.52414E-04 -0.12983E-01  0.12345E-03
 0.81597E+02  0.00000E+00  0.36936E-03  0.45901E-03  0.00000E+00 -0.65366E-03  0.13495E-01  0.66936E-04 -0.52631E-04 -0.13552E-01  0.13116E-03
 0.79173E+02  0.00000E+00  0.30047E-03  0.45394E-03  0.00000E+00 -0.66327E-03  0.14238E-01  0.78823E-06 -0.52812E-04 -0.14138E-01  0.13912E-03
 0.76776E+02  0.00000E+00  0.22618E-03  0.44540E-03  0.00000E+00 -0.66922E-03  0.15001E-01 -0.72529E-04 -0.52910E-04 -0.14733E-01  0.14498E-03
 0.74408E+02  0.00000E+00  0.17805E-03  0.43456E-03  0.00000E+00 -0.67130E-03  0.15742E-01 -0.15011E-03 -0.52881E-04 -0.15332E-01  0.14876E-03
 0.72069E+02  0.00000E+00  0.15703E-03  0.42309E-03  0.00000E+00 -0.67012E-03  0.16433E-01 -0.20671E-03 -0.52694E-04 -0.15933E-01  0.15077E-03
 0.69759E+02  0.00000E+00  0.13896E-03  0.41185E-03  0.00000E+00 -0.66695E-03  0.17069E-01 -0.21101E-03 -0.52350E-04 -0.16538E-01  0.15130E-03
 0.67480E+02  0.00000E+00  0.10774E-03  0.40042E-03  0.00000E+00 -0.66296E-03  0.17675E-01 -0.16135E-03 -0.51900E-04 -0.17153E-01  0.15348E-03
 0.65232E+02  0.00000E+00  0.84242E-04  0.38866E-03  0.00000E+00 -0.65868E-03  0.18282E-01 -0.11577E-03 -0.51430E-04 -0.17772E-01  0.15725E-03
 0.63016E+02  0.00000E+00  0.79173E-04  0.37730E-03  0.00000E+00 -0.65393E-03  0.18916E-01 -0.11341E-03 -0.51011E-04 -0.18392E-01  0.16227E-03
