# k=(1/2)<u_i u_i> budget
#
# y+           P+           TD+          TCR+         PD+          PCR+         PS+          VD+          VCR+         D+           balance
 0.29444E+02  0.90385E-01 -0.69505E-02  0.13459E-04 -0.16082E-02  0.40970E-05 -0.18531E-03  0.19151E-02 -0.47759E-05 -0.83240E-01  0.32883E-03
 0.27968E+02  0.98231E-01 -0.10499E-01  0.11973E-04 -0.18505E-02  0.77367E-05 -0.19029E-03  0.14851E-02 -0.46858E-05 -0.86832E-01  0.35979E-03
 0.26535E+02  0.10684E+00 -0.14632E-01  0.10390E-04 -0.20443E-02  0.11578E-04 -0.19316E-03  0.90938E-03 -0.45830E-05 -0.90487E-01  0.40543E-03
 0.25146E+02  0.11616E+00 -0.19328E-01  0.87149E-05 -0.21680E-02  0.15557E-04 -0.19226E-03  0.16356E-03 -0.44676E-05 -0.94193E-01  0.46692E-03
 0.23800E+02  0.12615E+00 -0.24476E-01  0.69936E-05 -0.22083E-02  0.19614E-04 -0.18678E-03 -0.85353E-03 -0.43403E-05 -0.97908E-01  0.54469E-03
 0.22498E+02  0.13671E+00 -0.29926E-01  0.53022E-05 -0.21624E-02  0.23691E-04 -0.17758E-03 -0.22451E-02 -0.42019E-05 -0.10158E+00  0.63880E-03
 0.21239E+02  0.14768E+00 -0.35519E-01  0.36624E-05 -0.20357E-02  0.27723E-04 -0.16586E-03 -0.40742E-02 -0.40532E-05 -0.10516E+00  0.75052E-03
 0.20024E+02  0.15888E+00 -0.41033E-01  0.20836E-05 -0.18361E-02  0.31628E-04 -0.15247E-03 -0.64211E-02 -0.38955E-05 -0.10859E+00  0.87715E-03
 0.18851E+02  0.17006E+00 -0.46187E-01  0.57411E-06 -0.15718E-02  0.35313E-04 -0.13767E-03 -0.93650E-02 -0.37300E-05 -0.11181E+00  0.10184E-02
 0.17722E+02  0.18090E+00 -0.50655E-01 -0.87625E-06 -0.12505E-02  0.38688E-04 -0.12132E-03 -0.12975E-01 -0.35577E-05 -0.11476E+00  0.11730E-02
 0.16634E+02  0.19101E+00 -0.54044E-01 -0.22829E-05 -0.88211E-03  0.41666E-04 -0.10381E-03 -0.17325E-01 -0.33796E-05 -0.11735E+00  0.13409E-02
 0.15588E+02  0.19997E+00 -0.55936E-01 -0.36429E-05 -0.47821E-03  0.44178E-04 -0.85863E-04 -0.22462E-01 -0.31972E-05 -0.11952E+00  0.15210E-02
 0.14582E+02  0.20728E+00 -0.55919E-01 -0.49380E-05 -0.50112E-04  0.46169E-04 -0.68173E-04 -0.28382E-01 -0.30121E-05 -0.12119E+00  0.17065E-02
 0.13617E+02  0.21244E+00 -0.53623E-01 -0.61372E-05  0.39298E-03  0.47604E-04 -0.51171E-04 -0.34998E-01 -0.28259E-05 -0.12231E+00  0.18919E-02
 0.12691E+02  0.21497E+00 -0.48776E-01 -0.72045E-05  0.84435E-03  0.48464E-04 -0.35156E-04 -0.42117E-01 -0.26405E-05 -0.12285E+00  0.20700E-02
 0.11804E+02  0.21443E+00 -0.41271E-01 -0.81232E-05  0.12999E-02  0.48749E-04 -0.20312E-04 -0.49406E-01 -0.24572E-05 -0.12285E+00  0.22255E-02
 0.10953E+02  0.21052E+00 -0.31216E-01 -0.88990E-05  0.17583E-02  0.48475E-04 -0.64901E-05 -0.56368E-01 -0.22776E-05 -0.12238E+00  0.23460E-02
 0.10139E+02  0.20306E+00 -0.18975E-01 -0.95376E-05  0.22207E-02  0.47669E-04  0.65672E-05 -0.62347E-01 -0.21030E-05 -0.12158E+00  0.24230E-02
 0.93591E+01  0.19212E+00 -0.51985E-02 -0.10032E-04  0.26897E-02  0.46372E-04  0.19128E-04 -0.66549E-01 -0.19346E-05 -0.12067E+00  0.24471E-02
 0.86128E+01  0.17795E+00  0.92096E-02 -0.10369E-04  0.31690E-02  0.44628E-04  0.31475E-04 -0.68103E-01 -0.17732E-05 -0.11988E+00  0.24125E-02
 0.78985E+01  0.16104E+00  0.23169E-01 -0.10536E-04  0.36625E-02  0.42484E-04  0.43860E-04 -0.66168E-01 -0.16191E-05 -0.11946E+00  0.23183E-02
 0.72145E+01  0.14209E+00  0.35536E-01 -0.10517E-04  0.41732E-02  0.39990E-04  0.56460E-04 -0.60054E-01 -0.14724E-05 -0.11966E+00  0.21683E-02
 0.65593E+01  0.12193E+00  0.45250E-01 -0.10290E-04  0.47021E-02  0.37192E-04  0.69381E-04 -0.49341E-01 -0.13327E-05 -0.12066E+00  0.19756E-02
 0.59312E+01  0.10147E+00  0.51476E-01 -0.98300E-05  0.52468E-02  0.34136E-04  0.82664E-04 -0.33994E-01 -0.11991E-05 -0.12255E+00  0.17577E-02
 0.53281E+01  0.81614E-01  0.53737E-01 -0.91134E-05  0.57996E-02  0.30870E-04  0.96225E-04 -0.14433E-01 -0.10703E-05 -0.12530E+00  0.15312E-02
 0.47484E+01  0.63159E-01  0.52008E-01 -0.81316E-05  0.63462E-02  0.27440E-04  0.10983E-03  0.84431E-02 -0.94508E-06 -0.12877E+00  0.13107E-02
 0.41900E+01  0.46759E-01  0.46752E-01 -0.69082E-05  0.68632E-02  0.23895E-04  0.12323E-03  0.33311E-01 -0.82181E-06 -0.13272E+00  0.11069E-02
 0.36508E+01  0.32858E-01  0.38879E-01 -0.55125E-05  0.73171E-02  0.20289E-04  0.13634E-03  0.58547E-01 -0.69929E-06 -0.13682E+00  0.92964E-03
 0.31288E+01  0.21671E-01  0.29622E-01 -0.40593E-05  0.76610E-02  0.16680E-04  0.14933E-03  0.82433E-01 -0.57692E-06 -0.14077E+00  0.78325E-03
 0.26218E+01  0.13191E-01  0.20335E-01 -0.26925E-05  0.78304E-02  0.13134E-04  0.16284E-03  0.10343E+00 -0.45500E-06 -0.14430E+00  0.66280E-03
 0.21275E+01  0.72121E-02  0.12239E-01 -0.15532E-05  0.77376E-02  0.97310E-05  0.17840E-03  0.12049E+00 -0.33518E-06 -0.14731E+00  0.56112E-03
 0.16438E+01  0.33777E-02  0.61627E-02 -0.73622E-06  0.72644E-02  0.65774E-05  0.19874E-03  0.13335E+00 -0.22068E-06 -0.14989E+00  0.47015E-03
 0.11683E+01  0.12326E-02  0.23677E-02 -0.25849E-06  0.62514E-02  0.38164E-05  0.22815E-03  0.14272E+00 -0.11660E-06 -0.15242E+00  0.38336E-03
 0.69860E+00  0.27852E-03  0.55508E-03 -0.53817E-07  0.44855E-02  0.16511E-05  0.27293E-03  0.15024E+00 -0.30276E-07 -0.15552E+00  0.31852E-03
 0.23247E+00  0.17980E-04  0.37421E-04 -0.35749E-08  0.27077E-02  0.37298E-06 -0.67911E-03  0.15834E+00  0.27966E-07 -0.16019E+00  0.23564E-03
