# longitudinal spacing
#   dz+         R_rr         R_tt         R_zz         R_pp
 0.52734E+03  0.32035E-02 -0.83906E-03  0.10985E+00 -0.24400E-01
 0.53438E+03  0.30742E-02 -0.13266E-02  0.10759E+00 -0.26018E-01
 0.54141E+03  0.29604E-02 -0.17309E-02  0.10538E+00 -0.27768E-01
 0.54844E+03  0.28656E-02 -0.20458E-02  0.10322E+00 -0.29588E-01
 0.55547E+03  0.27937E-02 -0.22669E-02  0.10111E+00 -0.31412E-01
 0.56250E+03  0.27579E-02 -0.23938E-02  0.99055E-01 -0.33191E-01
 0.56953E+03  0.27683E-02 -0.24323E-02  0.97038E-01 -0.34909E-01
 0.57656E+03  0.28116E-02 -0.23950E-02  0.95058E-01 -0.36585E-01
 0.58359E+03  0.28510E-02 -0.22994E-02  0.93110E-01 -0.38267E-01
 0.59062E+03  0.28460E-02 -0.21662E-02  0.91189E-01 -0.40003E-01
 0.59766E+03  0.27757E-02 -0.20154E-02  0.89288E-01 -0.41820E-01
 0.60469E+03  0.26419E-02 -0.18661E-02  0.87402E-01 -0.43721E-01
 0.61172E+03  0.24495E-02 -0.17359E-02  0.85529E-01 -0.45690E-01
 0.61875E+03  0.21916E-02 -0.16413E-02  0.83666E-01 -0.47701E-01
 0.62578E+03  0.18590E-02 -0.15957E-02  0.81813E-01 -0.49728E-01
 0.63281E+03  0.14615E-02 -0.16063E-02  0.79969E-01 -0.51732E-01
 0.63984E+03  0.10402E-02 -0.16726E-02  0.78136E-01 -0.53666E-01
 0.64688E+03  0.65318E-03 -0.17889E-02  0.76316E-01 -0.55485E-01
 0.65391E+03  0.34901E-03 -0.19492E-02  0.74512E-01 -0.57159E-01
 0.66094E+03  0.16028E-03 -0.21503E-02  0.72727E-01 -0.58683E-01
 0.66797E+03  0.10408E-03 -0.23898E-02  0.70962E-01 -0.60074E-01
 0.67500E+03  0.17189E-03 -0.26645E-02  0.69220E-01 -0.61358E-01
 0.68203E+03  0.32556E-03 -0.29715E-02  0.67502E-01 -0.62558E-01
 0.68906E+03  0.50967E-03 -0.33081E-02  0.65808E-01 -0.63685E-01
 0.69609E+03  0.68172E-03 -0.36686E-02  0.64139E-01 -0.64737E-01
 0.70312E+03  0.83784E-03 -0.40461E-02  0.62492E-01 -0.65690E-01
 0.71016E+03  0.99776E-03 -0.44353E-02  0.60869E-01 -0.66518E-01
 0.71719E+03  0.11700E-02 -0.48352E-02  0.59268E-01 -0.67211E-01
 0.72422E+03  0.13404E-02 -0.52492E-02  0.57691E-01 -0.67786E-01
 0.73125E+03  0.14852E-02 -0.56832E-02  0.56141E-01 -0.68276E-01
 0.73828E+03  0.15949E-02 -0.61391E-02  0.54622E-01 -0.68718E-01
 0.74531E+03  0.16828E-02 -0.66079E-02  0.53141E-01 -0.69145E-01
 0.75234E+03  0.17715E-02 -0.70743E-02  0.51704E-01 -0.69586E-01
 0.75938E+03  0.18813E-02 -0.75262E-02  0.50318E-01 -0.70061E-01
 0.76641E+03  0.20241E-02 -0.79555E-02  0.48989E-01 -0.70574E-01
 0.77344E+03  0.22016E-02 -0.83567E-02  0.47720E-01 -0.71112E-01
 0.78047E+03  0.24056E-02 -0.87276E-02  0.46513E-01 -0.71649E-01
 0.78750E+03  0.26160E-02 -0.90717E-02  0.45368E-01 -0.72154E-01
 0.79453E+03  0.28095E-02 -0.93980E-02  0.44286E-01 -0.72604E-01
 0.80156E+03  0.29700E-02 -0.97183E-02  0.43267E-01 -0.72989E-01
 0.80859E+03  0.30887E-02 -0.10043E-01  0.42310E-01 -0.73308E-01
 0.81562E+03  0.31597E-02 -0.10375E-01  0.41418E-01 -0.73568E-01
 0.82266E+03  0.31800E-02 -0.10714E-01  0.40590E-01 -0.73776E-01
 0.82969E+03  0.31502E-02 -0.11050E-01  0.39828E-01 -0.73947E-01
 0.83672E+03  0.30717E-02 -0.11372E-01  0.39133E-01 -0.74096E-01
 0.84375E+03  0.29461E-02 -0.11667E-01  0.38506E-01 -0.74236E-01
 0.85078E+03  0.27811E-02 -0.11924E-01  0.37948E-01 -0.74372E-01
 0.85781E+03  0.25930E-02 -0.12136E-01  0.37460E-01 -0.74501E-01
 0.86484E+03  0.24002E-02 -0.12307E-01  0.37044E-01 -0.74619E-01
 0.87188E+03  0.22219E-02 -0.12440E-01  0.36701E-01 -0.74725E-01
 0.87891E+03  0.20797E-02 -0.12545E-01  0.36434E-01 -0.74818E-01
 0.88594E+03  0.19874E-02 -0.12623E-01  0.36243E-01 -0.74894E-01
 0.89297E+03  0.19410E-02 -0.12672E-01  0.36128E-01 -0.74944E-01
 0.90000E+03  0.19277E-02 -0.12689E-01  0.36090E-01 -0.74962E-01
 0.90703E+03  0.19410E-02 -0.12672E-01  0.36128E-01 -0.74944E-01
