# longitudinal spacing
#   dz+         R_rr         R_tt         R_zz         R_pp
 0.00000E+00  0.10000E+01  0.10000E+01  0.10000E+01  0.10000E+01
 0.70312E+01  0.96498E+00  0.97244E+00  0.99231E+00  0.96210E+00
 0.14062E+02  0.87660E+00  0.90079E+00  0.97167E+00  0.86150E+00
 0.21094E+02  0.76814E+00  0.80738E+00  0.94296E+00  0.72629E+00
 0.28125E+02  0.66359E+00  0.70902E+00  0.90998E+00  0.58289E+00
 0.35156E+02  0.57199E+00  0.61337E+00  0.87470E+00  0.44921E+00
 0.42188E+02  0.49517E+00  0.52439E+00  0.83843E+00  0.33450E+00
 0.49219E+02  0.43254E+00  0.44507E+00  0.80230E+00  0.24156E+00
 0.56250E+02  0.38194E+00  0.37683E+00  0.76710E+00  0.16937E+00
 0.63281E+02  0.34069E+00  0.31930E+00  0.73331E+00  0.11506E+00
 0.70312E+02  0.30668E+00  0.27138E+00  0.70118E+00  0.75139E-01
 0.77344E+02  0.27841E+00  0.23185E+00  0.67083E+00  0.46340E-01
 0.84375E+02  0.25455E+00  0.19940E+00  0.64229E+00  0.25967E-01
 0.91406E+02  0.23399E+00  0.17277E+00  0.61551E+00  0.11890E-01
 0.98438E+02  0.21601E+00  0.15081E+00  0.59042E+00  0.24438E-02
 0.10547E+03  0.20011E+00  0.13260E+00  0.56694E+00 -0.36834E-02
 0.11250E+03  0.18594E+00  0.11739E+00  0.54494E+00 -0.75146E-02
 0.11953E+03  0.17321E+00  0.10459E+00  0.52433E+00 -0.98035E-02
 0.12656E+03  0.16170E+00  0.93760E-01  0.50499E+00 -0.11067E-01
 0.13359E+03  0.15128E+00  0.84516E-01  0.48682E+00 -0.11653E-01
 0.14062E+03  0.14180E+00  0.76526E-01  0.46973E+00 -0.11811E-01
 0.14766E+03  0.13310E+00  0.69487E-01  0.45364E+00 -0.11720E-01
 0.15469E+03  0.12508E+00  0.63172E-01  0.43845E+00 -0.11495E-01
 0.16172E+03  0.11769E+00  0.57445E-01  0.42410E+00 -0.11194E-01
 0.16875E+03  0.11088E+00  0.52252E-01  0.41052E+00 -0.10842E-01
 0.17578E+03  0.10461E+00  0.47574E-01  0.39766E+00 -0.10434E-01
 0.18281E+03  0.98826E-01  0.43388E-01  0.38546E+00 -0.99438E-02
 0.18984E+03  0.93509E-01  0.39659E-01  0.37388E+00 -0.93487E-02
 0.19688E+03  0.88617E-01  0.36330E-01  0.36288E+00 -0.86556E-02
 0.20391E+03  0.84080E-01  0.33334E-01  0.35243E+00 -0.79143E-02
 0.21094E+03  0.79837E-01  0.30610E-01  0.34248E+00 -0.72067E-02
 0.21797E+03  0.75871E-01  0.28123E-01  0.33301E+00 -0.66091E-02
 0.22500E+03  0.72190E-01  0.25849E-01  0.32399E+00 -0.61565E-02
 0.23203E+03  0.68798E-01  0.23751E-01  0.31539E+00 -0.58272E-02
 0.23906E+03  0.65671E-01  0.21779E-01  0.30719E+00 -0.55511E-02
 0.24609E+03  0.62750E-01  0.19891E-01  0.29935E+00 -0.52467E-02
 0.25312E+03  0.59969E-01  0.18069E-01  0.29185E+00 -0.48728E-02
 0.26016E+03  0.57280E-01  0.16313E-01  0.28469E+00 -0.44508E-02
 0.26719E+03  0.54673E-01  0.14637E-01  0.27784E+00 -0.40445E-02
 0.27422E+03  0.52171E-01  0.13075E-01  0.27129E+00 -0.37135E-02
 0.28125E+03  0.49813E-01  0.11677E-01  0.26503E+00 -0.34764E-02
 0.28828E+03  0.47641E-01  0.10487E-01  0.25906E+00 -0.33069E-02
 0.29531E+03  0.45707E-01  0.95274E-02  0.25338E+00 -0.31545E-02
 0.30234E+03  0.44056E-01  0.87966E-02  0.24796E+00 -0.29684E-02
 0.30938E+03  0.42717E-01  0.82824E-02  0.24280E+00 -0.27116E-02
 0.31641E+03  0.41667E-01  0.79654E-02  0.23789E+00 -0.23670E-02
 0.32344E+03  0.40838E-01  0.78130E-02  0.23323E+00 -0.19414E-02
 0.33047E+03  0.40137E-01  0.77814E-02  0.22879E+00 -0.14607E-02
 0.33750E+03  0.39477E-01  0.78283E-02  0.22457E+00 -0.96082E-03
 0.34453E+03  0.38800E-01  0.79174E-02  0.22056E+00 -0.48060E-03
 0.35156E+03  0.38085E-01  0.80093E-02  0.21672E+00 -0.65178E-04
 0.35859E+03  0.37335E-01  0.80542E-02  0.21306E+00  0.23221E-03
 0.36562E+03  0.36576E-01  0.80017E-02  0.20955E+00  0.36286E-03
 0.37266E+03  0.35837E-01  0.78173E-02  0.20619E+00  0.30400E-03
 0.37969E+03  0.35136E-01  0.74916E-02  0.20296E+00  0.69968E-04
 0.38672E+03  0.34478E-01  0.70343E-02  0.19984E+00 -0.29944E-03
 0.39375E+03  0.33854E-01  0.64613E-02  0.19683E+00 -0.76773E-03
 0.40078E+03  0.33253E-01  0.57839E-02  0.19392E+00 -0.13205E-02
