# Skewness factors of vorticity
#
# Nomenclature
# 	y+	Distance from the wall in wall unit 
#	S(wr)	Skewness factor of radial vorticity
#	S(wt)	Skewness factor of azimuthal vorticity
#	S(wz)	Skewness factor of longitudinal vorticity
#
# y+           y+           S(wr)        S(wt)        S(wz)       
# (for S(wr))
 0.15588E+02  0.15075E+02 -0.21788E-02  0.65233E+00 -0.42940E-01
 0.14582E+02  0.14090E+02 -0.27806E-02  0.61976E+00 -0.44146E-01
 0.13617E+02  0.13145E+02 -0.28812E-02  0.59911E+00 -0.45590E-01
 0.12691E+02  0.12238E+02 -0.24533E-02  0.59183E+00 -0.47715E-01
 0.11804E+02  0.11369E+02 -0.14997E-02  0.59903E+00 -0.49455E-01
 0.10953E+02  0.10537E+02 -0.66946E-04  0.62038E+00 -0.48773E-01
 0.10139E+02  0.97404E+01  0.17499E-02  0.65335E+00 -0.44384E-01
 0.93591E+01  0.89778E+01  0.38467E-02  0.69437E+00 -0.36541E-01
 0.86128E+01  0.82478E+01  0.61279E-02  0.73819E+00 -0.25907E-01
 0.78985E+01  0.75491E+01  0.84762E-02  0.77977E+00 -0.13070E-01
 0.72145E+01  0.68800E+01  0.10741E-01  0.81644E+00  0.10934E-02
 0.65593E+01  0.62387E+01  0.12772E-01  0.84946E+00  0.15764E-01
 0.59312E+01  0.56236E+01  0.14457E-01  0.88302E+00  0.29422E-01
 0.53281E+01  0.50327E+01  0.15735E-01  0.92224E+00  0.38228E-01
 0.47484E+01  0.44641E+01  0.16594E-01  0.97139E+00  0.38372E-01
 0.41900E+01  0.39159E+01  0.17047E-01  0.10325E+01  0.30910E-01
 0.36508E+01  0.33858E+01  0.17139E-01  0.11049E+01  0.21822E-01
 0.31288E+01  0.28719E+01  0.16948E-01  0.11844E+01  0.16769E-01
 0.26218E+01  0.23718E+01  0.16595E-01  0.12640E+01  0.17117E-01
 0.21275E+01  0.18833E+01  0.16216E-01  0.13334E+01  0.20407E-01
 0.16438E+01  0.14043E+01  0.15911E-01  0.13811E+01  0.23865E-01
 0.11683E+01  0.93224E+00  0.15717E-01  0.13992E+01  0.26449E-01
 0.69860E+00  0.46494E+00  0.15615E-01  0.13871E+01  0.28099E-01
 0.23247E+00  0.00000E+00  0.15567E-01  0.13511E+01  0.28648E-01
