# azimuthal spacing
#  (rdt)+      (rdt)+        R_rr         R_tt         R_zz         R_pp
#            (for R_rr)
 0.16491E+03  0.16552E+03  0.68030E-02 -0.93503E-02  0.13289E-01  0.15541E+00
 0.17276E+03  0.17341E+03  0.90477E-02 -0.10754E-01  0.95091E-02  0.15139E+00
 0.18061E+03  0.18129E+03  0.99523E-02 -0.13170E-01  0.45607E-02  0.14759E+00
 0.18847E+03  0.18917E+03  0.88957E-02 -0.16318E-01 -0.13784E-02  0.14422E+00
 0.19632E+03  0.19705E+03  0.63110E-02 -0.19858E-01 -0.85481E-02  0.14113E+00
 0.20417E+03  0.20493E+03  0.34908E-02 -0.23334E-01 -0.17035E-01  0.13818E+00
 0.21203E+03  0.21282E+03 -0.61681E-03 -0.26427E-01 -0.26287E-01  0.13543E+00
 0.21988E+03  0.22070E+03 -0.54811E-02 -0.28723E-01 -0.34865E-01  0.13295E+00
 0.22773E+03  0.22858E+03 -0.98604E-02 -0.29848E-01 -0.41213E-01  0.13076E+00
 0.23558E+03  0.23646E+03 -0.12786E-01 -0.29684E-01 -0.44055E-01  0.12886E+00
 0.24344E+03  0.24435E+03 -0.13523E-01 -0.28387E-01 -0.42871E-01  0.12725E+00
 0.25129E+03  0.25223E+03 -0.11564E-01 -0.25859E-01 -0.37855E-01  0.12590E+00
 0.25914E+03  0.26011E+03 -0.72388E-02 -0.22156E-01 -0.29672E-01  0.12473E+00
 0.26700E+03  0.26799E+03 -0.16771E-02 -0.17597E-01 -0.19189E-01  0.12351E+00
 0.27485E+03  0.27587E+03  0.40153E-02 -0.12364E-01 -0.79759E-02  0.12211E+00
 0.28270E+03  0.28376E+03  0.87701E-02 -0.70007E-02  0.23648E-02  0.12057E+00
 0.29055E+03  0.29164E+03  0.10757E-01 -0.22569E-02  0.10780E-01  0.11914E+00
 0.29841E+03  0.29952E+03  0.96293E-02  0.14126E-02  0.16541E-01  0.11807E+00
 0.30626E+03  0.30740E+03  0.72787E-02  0.40367E-02  0.18499E-01  0.11737E+00
 0.31411E+03  0.31528E+03  0.51945E-02  0.56489E-02  0.16725E-01  0.11690E+00
 0.32197E+03  0.32317E+03  0.44448E-02  0.61659E-02  0.13454E-01  0.11661E+00
 0.32982E+03  0.33105E+03  0.47075E-02  0.57340E-02  0.10812E-01  0.11652E+00
 0.33767E+03  0.33893E+03  0.46917E-02  0.46657E-02  0.92810E-02  0.11649E+00
 0.34552E+03  0.34681E+03  0.45576E-02  0.30476E-02  0.78147E-02  0.11619E+00
 0.35338E+03  0.35470E+03  0.42186E-02  0.10147E-02  0.55317E-02  0.11547E+00
 0.36123E+03  0.36258E+03  0.28025E-02 -0.11744E-02  0.27079E-02  0.11444E+00
 0.36908E+03  0.37046E+03  0.19334E-03 -0.33110E-02 -0.29866E-03  0.11323E+00
 0.37694E+03  0.37834E+03 -0.28595E-02 -0.53658E-02 -0.30379E-02  0.11191E+00
 0.38479E+03  0.38622E+03 -0.52727E-02 -0.72461E-02 -0.43959E-02  0.11058E+00
 0.39264E+03  0.39411E+03 -0.59569E-02 -0.88452E-02 -0.37963E-02  0.10931E+00
 0.40049E+03  0.40199E+03 -0.38723E-02 -0.10174E-01 -0.14828E-02  0.10808E+00
 0.40835E+03  0.40987E+03  0.21515E-03 -0.11374E-01  0.17238E-02  0.10680E+00
 0.41620E+03  0.41775E+03  0.40510E-02 -0.12707E-01  0.40522E-02  0.10559E+00
 0.42405E+03  0.42563E+03  0.58320E-02 -0.14411E-01  0.40789E-02  0.10465E+00
 0.43190E+03  0.43352E+03  0.46845E-02 -0.16599E-01  0.15977E-02  0.10386E+00
 0.43976E+03  0.44140E+03  0.18006E-02 -0.19293E-01 -0.20048E-02  0.10292E+00
 0.44761E+03  0.44928E+03 -0.12965E-02 -0.22209E-01 -0.43362E-02  0.10174E+00
 0.45546E+03  0.45716E+03 -0.36204E-02 -0.24801E-01 -0.37940E-02  0.10052E+00
 0.46332E+03  0.46504E+03 -0.51597E-02 -0.26584E-01 -0.84468E-03  0.99613E-01
 0.47117E+03  0.47293E+03 -0.52680E-02 -0.27541E-01  0.26759E-02  0.99238E-01
 0.47902E+03  0.48081E+03 -0.37814E-02 -0.27881E-01  0.52179E-02  0.99356E-01
 0.48687E+03  0.48869E+03 -0.98281E-03 -0.27954E-01  0.59883E-02  0.99832E-01
 0.49473E+03  0.49657E+03  0.23611E-02 -0.28017E-01  0.56357E-02  0.10041E+00
 0.50258E+03  0.50446E+03  0.38586E-02 -0.28082E-01  0.53625E-02  0.10068E+00
 0.51043E+03  0.51234E+03  0.23611E-02 -0.28017E-01  0.56357E-02  0.10041E+00
