# azimuthal spacing
#  (rdt)+      (rdt)+        R_rr         R_tt         R_zz         R_pp
#            (for R_rr)
 0.00000E+00  0.00000E+00  0.10000E+01  0.10000E+01  0.10000E+01  0.10000E+01
 0.78528E+01  0.78821E+01  0.66010E+00  0.88998E+00  0.83673E+00  0.91776E+00
 0.15706E+02  0.15764E+02  0.16967E+00  0.68455E+00  0.52571E+00  0.74272E+00
 0.23558E+02  0.23646E+02 -0.11233E+00  0.47327E+00  0.23904E+00  0.57490E+00
 0.31411E+02  0.31528E+02 -0.20676E+00  0.29822E+00  0.31540E-01  0.45134E+00
 0.39264E+02  0.39411E+02 -0.20225E+00  0.16957E+00 -0.98104E-01  0.36765E+00
 0.47117E+02  0.47293E+02 -0.15767E+00  0.82575E-01 -0.16634E+00  0.31173E+00
 0.54970E+02  0.55175E+02 -0.10372E+00  0.27770E-01 -0.19143E+00  0.27396E+00
 0.62823E+02  0.63057E+02 -0.56713E-01 -0.42376E-02 -0.18864E+00  0.24799E+00
 0.70675E+02  0.70939E+02 -0.24059E-01 -0.21238E-01 -0.16972E+00  0.22965E+00
 0.78528E+02  0.78821E+02 -0.57952E-02 -0.28954E-01 -0.14345E+00  0.21601E+00
 0.86381E+02  0.86703E+02  0.33411E-02 -0.31409E-01 -0.11542E+00  0.20509E+00
 0.94234E+02  0.94585E+02  0.71741E-02 -0.31061E-01 -0.88624E-01  0.19582E+00
 0.10209E+03  0.10247E+03  0.71663E-02 -0.29342E-01 -0.64961E-01  0.18781E+00
 0.10994E+03  0.11035E+03  0.56148E-02 -0.26805E-01 -0.45028E-01  0.18104E+00
 0.11779E+03  0.11823E+03  0.44955E-02 -0.23547E-01 -0.28032E-01  0.17552E+00
 0.12565E+03  0.12611E+03  0.35089E-02 -0.19752E-01 -0.13394E-01  0.17117E+00
 0.13350E+03  0.13400E+03  0.14040E-02 -0.15898E-01 -0.13978E-02  0.16780E+00
 0.14135E+03  0.14188E+03 -0.27067E-03 -0.12530E-01  0.75267E-02  0.16502E+00
 0.14920E+03  0.14976E+03  0.22001E-03 -0.10197E-01  0.13105E-01  0.16230E+00
 0.15706E+03  0.15764E+03  0.31803E-02 -0.91337E-02  0.14912E-01  0.15915E+00
