#x SEM2
0.0791742 0.998545
0.212447 0.981145
0.530671 0.957934
0.848768 0.936173
1.29899 0.910055
1.85397 0.891176
2.35613 0.87375
2.85791 0.860672
3.46521 0.846138
4.04578 0.835953
4.65269 0.825766
5.23313 0.81703
5.78723 0.808296
6.47294 0.801003
7.13242 0.792261
8.0027 0.783506
8.74111 0.776208
9.53234 0.767458
10.4815 0.760146
11.3779 0.754287
12.3533 0.748423
13.355 0.744006
14.462 0.739582
15.6218 0.735154
16.623 0.735085
17.7824 0.735005
19.1002 0.730566
19.9958 0.733403
20.7598 0.734799
21.5505 0.731846
21.9716 0.737614
22.4199 0.733235
22.6564 0.740465
23.0784 0.736088
23.2096 0.741876
23.6313 0.740398
23.8685 0.740382


