#x SEM0
0.0528252 0.998547
0.501649 0.988371
0.951618 0.965152
1.37486 0.946282
1.85079 0.927409
2.37904 0.912879
2.90679 0.904147
3.38158 0.898317
4.11948 0.896817
5.04156 0.898203
5.9107 0.902491
6.38498 0.902458
6.83253 0.906775
7.67531 0.911065
8.12299 0.913932
8.62324 0.918245
9.51847 0.92543
10.4138 0.931165
10.8087 0.935486
11.8092 0.944113
12.6781 0.951299
13.5205 0.959936
14.4945 0.970014
15.3897 0.977199
16.2063 0.980041
17.2071 0.98432
18.0764 0.987158
18.9721 0.988546
19.7888 0.989939
20.2897 0.987006
20.7634 0.994219
21.2117 0.98984
21.6852 0.998503
22.0812 0.98978
22.5014 1.00569
22.9769 0.991168
23.4232 1.00998
23.925 0.9969
