#x delta2
0.131091 0.000403706
0.190474 0.000404141
0.291506 0.000478107
0.392783 0.000771755
0.476245 0.00106527
0.785607 0.00158012
1.10685 0.00209506
1.40441 0.00268305
1.68982 0.00301466
1.9991 0.00345629
2.30268 0.00411755
2.61807 0.00470567
2.89741 0.0049274
3.20047 0.00511268
3.52183 0.00573746
3.82505 0.0060692
4.12843 0.00654739
4.41396 0.00698884
4.71108 0.00717409
5.02646 0.00776221


