#x delta1
0.0477917 0.000256643
0.232327 0.00066074
0.268201 0.000880682
0.375417 0.00117437
0.476694 0.00146802
0.792239 0.0022026
1.10172 0.00282729
1.40531 0.00348855
1.68518 0.00418625
2.01252 0.00484769
2.31025 0.00558213
2.60188 0.00617008
2.90531 0.00668489
3.18465 0.00690662
3.52407 0.00775121
3.7978 0.0082658
4.1249 0.00870755
4.41636 0.00914904
4.70766 0.00944408
5.02329 0.0102519


