#BUDGET OF THE TURBULENT KINETIC ENERGY
#
#    y+         Prod.       Turb. dif.  Pressure    Visc. dif.  Dissipat.   Bal. diff.
  9.4687E+01  2.7372E+00  7.2691E-01 -1.2873E-01  6.3533E-02 -3.5038E+00 -1.0493E-01
  9.2813E+01  2.8525E+00  7.1167E-01 -1.2203E-01  7.6313E-02 -3.6248E+00 -1.0635E-01
  9.0938E+01  2.9720E+00  7.1495E-01 -1.1462E-01  8.5121E-02 -3.7517E+00 -9.4216E-02
  8.9062E+01  3.0927E+00  7.3626E-01 -1.1104E-01  8.6803E-02 -3.8824E+00 -7.7694E-02
  8.7188E+01  3.2118E+00  7.7020E-01 -1.1327E-01  8.3080E-02 -4.0157E+00 -6.3888E-02
  8.5313E+01  3.3278E+00  8.0935E-01 -1.1987E-01  7.6091E-02 -4.1506E+00 -5.7270E-02
  8.3437E+01  3.4413E+00  8.4223E-01 -1.2702E-01  6.8271E-02 -4.2881E+00 -6.3319E-02
  8.1563E+01  3.5542E+00  8.5685E-01 -1.3080E-01  6.4522E-02 -4.4312E+00 -8.6378E-02
  7.9688E+01  3.6680E+00  8.5290E-01 -1.2902E-01  7.2137E-02 -4.5837E+00 -1.1971E-01
  7.7812E+01  3.7831E+00  8.4577E-01 -1.2153E-01  9.0633E-02 -4.7473E+00 -1.4934E-01
  7.5938E+01  3.8996E+00  8.5320E-01 -1.0888E-01  1.0938E-01 -4.9198E+00 -1.6648E-01
  7.4063E+01  4.0177E+00  8.8717E-01 -9.2378E-02  1.1975E-01 -5.0985E+00 -1.6629E-01
  7.2187E+01  4.1384E+00  9.5351E-01 -7.5145E-02  1.2263E-01 -5.2842E+00 -1.4481E-01
  7.0313E+01  4.2644E+00  1.0546E+00 -6.0685E-02  1.2519E-01 -5.4801E+00 -9.6535E-02
  6.8438E+01  4.3992E+00  1.1919E+00 -5.1351E-02  1.3141E-01 -5.6881E+00 -1.6918E-02
  6.6562E+01  4.5440E+00  1.3560E+00 -4.6990E-02  1.3522E-01 -5.9071E+00  8.1025E-02
  6.4688E+01  4.6970E+00  1.5217E+00 -4.3777E-02  1.2955E-01 -6.1354E+00  1.6912E-01
  6.2813E+01  4.8566E+00  1.6673E+00 -3.7423E-02  1.1511E-01 -6.3738E+00  2.2769E-01
  6.0937E+01  5.0227E+00  1.7748E+00 -2.6767E-02  9.9300E-02 -6.6257E+00  2.4434E-01
  5.9063E+01  5.1982E+00  1.8358E+00 -1.3413E-02  9.5192E-02 -6.8949E+00  2.2088E-01
  5.7188E+01  5.3887E+00  1.8602E+00  2.7934E-04  1.1217E-01 -7.1844E+00  1.7703E-01
  5.5312E+01  5.6002E+00  1.8717E+00  1.1069E-02  1.4837E-01 -7.4935E+00  1.3788E-01
  5.3438E+01  5.8350E+00  1.9041E+00  1.6686E-02  1.8063E-01 -7.8177E+00  1.1871E-01
  5.1563E+01  6.0944E+00  1.9719E+00  1.7767E-02  2.0047E-01 -8.1550E+00  1.2957E-01
  4.9687E+01  6.3853E+00  2.0645E+00  1.3935E-02  2.1758E-01 -8.5085E+00  1.7280E-01
  4.7813E+01  6.7186E+00  2.1630E+00  2.1558E-03  2.2571E-01 -8.8853E+00  2.2417E-01
  4.5938E+01  7.1033E+00  2.2354E+00 -1.9878E-02  2.3034E-01 -9.2957E+00  2.5351E-01
  4.4062E+01  7.5472E+00  2.2622E+00 -5.2148E-02  2.4064E-01 -9.7453E+00  2.5261E-01
  4.2188E+01  8.0619E+00  2.2311E+00 -9.4921E-02  2.6066E-01 -1.0233E+01  2.2545E-01
  4.0313E+01  8.6651E+00  2.1295E+00 -1.4865E-01  3.0852E-01 -1.0760E+01  1.9405E-01
  3.8437E+01  9.3770E+00  1.9742E+00 -2.1380E-01  3.6004E-01 -1.1328E+01  1.6948E-01
  3.6563E+01  1.0218E+01  1.7446E+00 -2.8629E-01  4.1242E-01 -1.1935E+01  1.5313E-01
  3.4688E+01  1.1212E+01  1.4174E+00 -3.5814E-01  4.6196E-01 -1.2580E+01  1.5296E-01
  3.2812E+01  1.2395E+01  9.5303E-01 -4.2172E-01  4.9882E-01 -1.3261E+01  1.6374E-01
  3.0938E+01  1.3810E+01  2.8484E-01 -4.6625E-01  5.2103E-01 -1.3987E+01  1.6324E-01
  2.9063E+01  1.5506E+01 -6.1502E-01 -4.8502E-01  5.1600E-01 -1.4766E+01  1.5582E-01
  2.7187E+01  1.7526E+01 -1.7382E+00 -4.7717E-01  4.4363E-01 -1.5597E+01  1.5742E-01
  2.5313E+01  1.9906E+01 -3.0616E+00 -4.4177E-01  2.5411E-01 -1.6471E+01  1.8616E-01
  2.3438E+01  2.2666E+01 -4.5760E+00 -3.8197E-01 -8.1453E-02 -1.7376E+01  2.5031E-01
  2.1562E+01  2.5789E+01 -6.2610E+00 -3.0466E-01 -6.1972E-01 -1.8296E+01  3.0787E-01
  1.9688E+01  2.9194E+01 -8.0231E+00 -2.1472E-01 -1.4280E+00 -1.9200E+01  3.2757E-01
  1.7813E+01  3.2689E+01 -9.6383E+00 -1.1025E-01 -2.5965E+00 -2.0048E+01  2.9596E-01
  1.5937E+01  3.5917E+01 -1.0712E+01  2.1653E-02 -4.2289E+00 -2.0778E+01  2.1887E-01
  1.4063E+01  3.8268E+01 -1.0626E+01  1.8758E-01 -6.4320E+00 -2.1287E+01  1.1006E-01
  1.2188E+01  3.8830E+01 -8.6510E+00  3.7901E-01 -9.0970E+00 -2.1466E+01 -5.4436E-03
  1.0312E+01  3.6482E+01 -4.3639E+00  5.8300E-01 -1.1501E+01 -2.1313E+01 -1.1317E-01
  8.4375E+00  3.0374E+01  1.6171E+00  7.9192E-01 -1.1874E+01 -2.1086E+01 -1.7651E-01
  6.5625E+00  2.0907E+01  6.6704E+00  1.0034E+00 -7.2987E+00 -2.1363E+01 -8.1339E-02
  4.6875E+00  1.0639E+01  7.0801E+00  1.2215E+00  3.9441E+00 -2.2592E+01  2.9326E-01
  2.8125E+00  3.2913E+00  3.1544E+00  1.3704E+00  1.7199E+01 -2.4326E+01  6.8886E-01
  9.3750E-01  4.0231E-01  3.4405E-01  9.6776E-01  2.4854E+01 -2.6676E+01 -1.0853E-01
