# Energy budget of the u_r u_r normal Reynolds stress
#
#r/D     TD      PR      VP      VD      DS      SUM
.44271 .94985E+00 .18120E-05 .33522E+01 -.53725E-01 -.42094E+01 .38945E-01 
.44792 .12145E+01 .10916E-05 .26899E+01 .30973E-01 -.38758E+01 .59620E-01 
.45313 .13890E+01 -.20266E-06 .20609E+01 .11655E+00 -.34979E+01 .68514E-01 
.45833 .14492E+01 -.16923E-05 .14975E+01 .21229E+00 -.30806E+01 .78367E-01 
.46354 .13729E+01 -.29466E-05 .10318E+01 .32280E+00 -.26329E+01 .94628E-01 
.46875 .11709E+01 -.36529E-05 .66767E+00 .43709E+00 -.21695E+01 .10618E+00 
.47396 .88051E+00 -.34190E-05 .39240E+00 .54603E+00 -.17124E+01 .10658E+00 
.47917 .56096E+00 -.25111E-05 .18536E+00 .63647E+00 -.12877E+01 .95120E-01 
.48438 .27915E+00 -.14395E-05 .33502E-01 .67653E+00 -.91312E+00 .76060E-01 
.48958 .92164E-01 -.45855E-06 -.63999E-01 .59681E+00 -.57719E+00 .47784E-01 
.49479 .14815E-01 -.34524E-07 -.76866E-01 .33319E+00 -.25671E+00 .14427E-01 
.50000 .10115E-02 .00000E+00 .00000E+00 .10106E+00 -.10053E+00 .15398E-02 
