# Reynolds, viscous and total shear stresses
#
#r/D     <u_r u_z>      - nu d<U_z>dr   <u_r u_z> - nu d<U_z>dr
0.43229 0.68498679E+00 0.17264300E+00 0.85762979E+00 
0.43750 0.66841951E+00 0.19980162E+00 0.86822113E+00 
0.44271 0.64564223E+00 0.23323136E+00 0.87887359E+00 
0.44792 0.61507283E+00 0.27449815E+00 0.88957098E+00 
0.45312 0.57477714E+00 0.32547280E+00 0.90024994E+00 
0.45833 0.52269328E+00 0.38815396E+00 0.91084724E+00 
0.46354 0.45716030E+00 0.46423404E+00 0.92139434E+00 
0.46875 0.37774381E+00 0.55425641E+00 0.93200023E+00 
0.47396 0.28656029E+00 0.65617347E+00 0.94273377E+00 
0.47917 0.19007247E+00 0.76351119E+00 0.95358366E+00 
0.48437 0.10081534E+00 0.86366631E+00 0.96448165E+00 
0.48958 0.35596700E-01 0.93976093E+00 0.97535763E+00 
0.49479 0.49877913E-02 0.98112841E+00 0.98611620E+00 
0.50000 0.00000000E+00 0.99667431E+00 0.99667431E+00 
