# Energy budget of the u_t u_t Reynolds normal stress
#
# r/D     TD      PR      VP      VD      DS      SUM
.43490 .17611E+00 -.32559E-04 .11882E+02 -.45919E+00 -.11384E+02 .21538E+00 
.44010 .13247E+00 -.40373E-04 .12347E+02 -.70361E+00 -.11645E+02 .13090E+00 
.44531 .14477E+00 -.26457E-04 .12836E+02 -.97930E+00 -.11886E+02 .11478E+00 
.45052 .15851E+00 -.69616E-05 .13309E+02 -.12120E+01 -.12094E+02 .16118E+00 
.45573 .12654E+00 .25838E-05 .13700E+02 -.13769E+01 -.12217E+02 .23302E+00 
.46094 .37079E-01 -.44945E-05 .13893E+02 -.14928E+01 -.12155E+02 .28207E+00 
.46615 -.13759E+00 -.25252E-04 .13749E+02 -.15394E+01 -.11792E+02 .27911E+00 
.47135 -.38063E+00 -.47747E-04 .13156E+02 -.14983E+01 -.11032E+02 .24545E+00 
.47656 -.61399E+00 -.60021E-04 .12058E+02 -.13913E+01 -.98222E+01 .23017E+00
.48177 -.68033E+00 -.57562E-04 .10484E+02 -.12774E+01 -.83038E+01 .22228E+00 
.48698 -.47764E+00 -.38450E-04 .86023E+01 -.70100E+00 -.72389E+01 .18473E+00 
.49219 -.16928E+00 -.13855E-04 .65688E+01 .21385E+01 -.84090E+01 .12895E+00 
.49740 -.15240E-01 -.16775E-05 .36764E+01 .11062E+02 -.14615E+02 .10790E+00 
