# Energy budget of the u_r u_z Reynolds shear stress
#
# r/D     TD      PR      VP      VD      DS      SUM
.37500 -.12500E+01 .15169E+02 -.11415E+02 -.38836E-01 -.19930E+01 .47164E+00 
.38021 -.14768E+01 .15608E+02 -.11605E+02 -.44360E-01 -.19839E+01 .49792E+00 
.38542 -.17695E+01 .16056E+02 -.11762E+02 -.54015E-01 -.19625E+01 .50793E+00 
.39062 -.20970E+01 .16527E+02 -.11920E+02 -.77204E-01 -.19272E+01 .50528E+00
.39583 -.24706E+01 .17043E+02 -.12085E+02 -.10551E+00 -.18851E+01 .49698E+00 
.40104 -.28924E+01 .17620E+02 -.12260E+02 -.14040E+00 -.18351E+01 .49160E+00 
.40625 -.33324E+01 .18272E+02 -.12497E+02 -.17880E+00 -.17761E+01 .48748E+00 
.41146 -.37795E+01 .19004E+02 -.12814E+02 -.21046E+00 -.17129E+01 .48618E+00 
.41667 -.42205E+01 .19788E+02 -.13166E+02 -.25610E+00 -.16409E+01 .50451E+00 
.42188 -.46100E+01 .20583E+02 -.13540E+02 -.33339E+00 -.15565E+01 .54305E+00
.42708 -.49008E+01 .21354E+02 -.13967E+02 -.42667E+00 -.14669E+01 .59204E+00 
.43229 -.50446E+01 .22050E+02 -.14449E+02 -.53011E+00 -.13793E+01 .64678E+00 
.43750 -.49808E+01 .22594E+02 -.14960E+02 -.65989E+00 -.12980E+01 .69558E+00 
.44271 -.46447E+01 .22894E+02 -.15456E+02 -.83005E+00 -.12305E+01 .73201E+00 
.44792 -.39755E+01 .22844E+02 -.15869E+02 -.10382E+01 -.11918E+01 .76987E+00 
.45313 -.29218E+01 .22316E+02 -.16115E+02 -.12615E+01 -.12016E+01 .81581E+00
.45833 -.14681E+01 .21147E+02 -.16086E+02 -.14456E+01 -.12882E+01 .85962E+00 
.46354 .35095E+00 .19173E+02 -.15670E+02 -.15051E+01 -.14821E+01 .86667E+00 
.46875 .23632E+01 .16293E+02 -.14729E+02 -.13020E+01 -.18194E+01 .80570E+00 
.47396 .41189E+01 .12566E+02 -.13053E+02 -.64875E+00 -.23194E+01 .66348E+00 
.47917 .48852E+01 .83418E+01 -.10484E+02 .63705E+00 -.29511E+01 .42910E+00 
.48438 .40675E+01 .43319E+01 -.71183E+01 .23765E+01 -.34861E+01 .17140E+00 
.48958 .21126E+01 .14423E+01 -.36553E+01 .34918E+01 -.33431E+01 .48319E-01 
.49479 .53222E+00 .17429E+00 -.12325E+01 .26044E+01 -.19971E+01 .81285E-01 
.50000 .00000E+00 .00000E+00 .00000E+00 .00000E+00 .00000E+00 .00000E+00 
