# r/D;U;u'
-4.254000000000000004e-01;7.328718000000000732e-02;8.312737679999999962e-02
-3.721999999999999753e-01;1.726663104000000226e-01;9.079895879999999586e-02
-3.190000000000000058e-01;2.438791631999999987e-01;1.038877920000000066e-01
-2.659000000000000252e-01;3.457869156000000221e-01;1.219138668000000064e-01
-2.026999999999999913e-01;4.987899756000000462e-01;1.355598540000000074e-01
-1.594999999999999751e-01;5.793458724000000171e-01;1.245282048000000003e-01
-1.063000000000000056e-01;6.846394068000000166e-01;1.406770991999999887e-01
-5.320000000000002505e-02;8.018217504000000329e-01;1.333912392000000113e-01
0.000000000000000000e+00;8.571600000000000330e-01;1.241767692000000090e-01
5.320000000000002505e-02;8.077961555999999543e-01;1.338369624000000091e-01
1.062999999999999501e-01;7.110570780000000646e-01;1.371370283999999995e-01
1.594999999999999751e-01;5.838716772000001054e-01;1.250339292000000047e-01
2.026999999999999913e-01;4.808067588000000669e-01;1.201224023999999946e-01
2.659000000000000252e-01;3.744074880000000105e-01;9.991056959999999876e-02
3.189999999999999503e-01;2.889057780000000020e-01;9.094467600000000207e-02
3.721999999999999753e-01;2.020840416000000139e-01;9.128754000000000035e-02
4.254000000000000004e-01;9.334472400000000392e-02;8.545028040000000880e-02
