# r/D;g;g'
-5.000000000000000000e-01;0.000000000000000000e+00;0.000000000000000000e+00
-4.938000000000000167e-01;0.000000000000000000e+00;0.000000000000000000e+00
-4.877000000000000224e-01;1.665999999999999981e-01;2.620000000000000107e-02
-4.814999999999999836e-01;1.655999999999999972e-01;2.630000000000000046e-02
-4.753000000000000003e-01;1.647000000000000131e-01;2.680000000000000090e-02
-4.691000000000000170e-01;1.648000000000000020e-01;2.699999999999999969e-02
-4.630000000000000226e-01;1.647000000000000131e-01;2.730000000000000135e-02
-4.567999999999999838e-01;1.643000000000000016e-01;2.730000000000000135e-02
-4.506000000000000005e-01;1.655999999999999972e-01;2.809999999999999998e-02
-4.444000000000000172e-01;1.671999999999999875e-01;2.860000000000000042e-02
-4.383000000000000229e-01;1.683999999999999941e-01;2.850000000000000103e-02
-4.320999999999999841e-01;1.705000000000000127e-01;2.900000000000000147e-02
-4.259000000000000008e-01;1.729999999999999871e-01;2.970000000000000070e-02
-4.198000000000000065e-01;1.754999999999999893e-01;2.980000000000000010e-02
-4.135999999999999677e-01;1.774000000000000021e-01;2.989999999999999949e-02
-4.073999999999999844e-01;1.778000000000000136e-01;2.989999999999999949e-02
-4.012000000000000011e-01;1.786000000000000087e-01;2.939999999999999905e-02
-3.951000000000000068e-01;1.794000000000000039e-01;2.970000000000000070e-02
-3.889000000000000234e-01;1.786000000000000087e-01;2.920000000000000026e-02
-3.826999999999999846e-01;1.776999999999999968e-01;2.879999999999999921e-02
-3.765000000000000013e-01;1.743999999999999995e-01;2.850000000000000103e-02
-3.704000000000000070e-01;1.739999999999999880e-01;2.869999999999999982e-02
-3.641999999999999682e-01;1.756999999999999951e-01;2.850000000000000103e-02
-3.579999999999999849e-01;1.758000000000000118e-01;2.869999999999999982e-02
-3.518999999999999906e-01;1.761000000000000065e-01;2.910000000000000087e-02
-3.457000000000000073e-01;1.804999999999999938e-01;2.970000000000000070e-02
-3.395000000000000240e-01;1.799000000000000044e-01;2.939999999999999905e-02
-3.333000000000000407e-01;1.789999999999999925e-01;2.929999999999999966e-02
-3.271999999999999909e-01;1.801999999999999991e-01;2.939999999999999905e-02
-3.210000000000000075e-01;1.814999999999999947e-01;2.970000000000000070e-02
-3.147999999999999687e-01;1.812000000000000000e-01;2.939999999999999905e-02
-3.085999999999999854e-01;1.826000000000000123e-01;2.960000000000000131e-02
-3.024999999999999911e-01;1.824000000000000066e-01;2.900000000000000147e-02
-2.963000000000000078e-01;1.831000000000000127e-01;2.889999999999999861e-02
-2.901000000000000245e-01;1.842999999999999916e-01;2.900000000000000147e-02
-2.840000000000000302e-01;1.849000000000000088e-01;2.920000000000000026e-02
-2.777999999999999914e-01;1.874000000000000110e-01;2.980000000000000010e-02
-2.716000000000000081e-01;1.890999999999999903e-01;3.039999999999999994e-02
-2.653999999999999693e-01;1.910999999999999921e-01;3.070000000000000159e-02
-2.592999999999999750e-01;1.910999999999999921e-01;3.039999999999999994e-02
-2.530999999999999917e-01;1.935000000000000053e-01;3.070000000000000159e-02
-2.469000000000000083e-01;1.932999999999999996e-01;3.049999999999999933e-02
-2.407000000000000250e-01;1.943000000000000005e-01;3.049999999999999933e-02
-2.345999999999999752e-01;1.935000000000000053e-01;3.030000000000000054e-02
-2.283999999999999919e-01;1.950000000000000067e-01;3.070000000000000159e-02
-2.222000000000000086e-01;1.955000000000000071e-01;3.099999999999999978e-02
-2.160000000000000253e-01;1.963999999999999913e-01;3.139999999999999736e-02
-2.098999999999999755e-01;1.975000000000000089e-01;3.139999999999999736e-02
-2.036999999999999922e-01;1.981999999999999873e-01;3.139999999999999736e-02
-1.975000000000000089e-01;1.995000000000000107e-01;3.189999999999999780e-02
-1.914000000000000146e-01;2.008999999999999952e-01;3.209999999999999659e-02
-1.851999999999999758e-01;2.018000000000000071e-01;3.209999999999999659e-02
-1.789999999999999925e-01;2.033000000000000085e-01;3.239999999999999825e-02
-1.728000000000000091e-01;2.054999999999999882e-01;3.250000000000000111e-02
-1.667000000000000148e-01;2.066999999999999948e-01;3.200000000000000067e-02
-1.604999999999999760e-01;2.069000000000000006e-01;3.219999999999999946e-02
-1.542999999999999927e-01;2.071000000000000063e-01;3.209999999999999659e-02
-1.481000000000000094e-01;2.081999999999999962e-01;3.230000000000000232e-02
-1.420000000000000151e-01;2.088000000000000134e-01;3.259999999999999704e-02
-1.357999999999999763e-01;2.104000000000000037e-01;3.309999999999999748e-02
-1.295999999999999930e-01;2.116999999999999993e-01;3.320000000000000034e-02
-1.234999999999999987e-01;2.144999999999999962e-01;3.379999999999999671e-02
-1.173000000000000154e-01;2.139999999999999958e-01;3.330000000000000321e-02
-1.110999999999999766e-01;2.154000000000000081e-01;3.300000000000000155e-02
-1.048999999999999932e-01;2.147999999999999909e-01;3.259999999999999704e-02
-9.879999999999999893e-02;2.152999999999999914e-01;3.230000000000000232e-02
-9.260000000000001563e-02;2.144999999999999962e-01;3.180000000000000188e-02
-8.639999999999997682e-02;2.157000000000000028e-01;3.200000000000000067e-02
-8.019999999999999352e-02;2.169999999999999984e-01;3.189999999999999780e-02
-7.409999999999999920e-02;2.177999999999999936e-01;3.150000000000000022e-02
-6.790000000000001590e-02;2.180999999999999883e-01;3.119999999999999857e-02
-6.169999999999997708e-02;2.197000000000000064e-01;3.139999999999999736e-02
-5.559999999999998277e-02;2.207999999999999963e-01;3.109999999999999917e-02
-4.939999999999999947e-02;2.199000000000000121e-01;3.090000000000000038e-02
-4.320000000000001616e-02;2.200999999999999901e-01;3.059999999999999873e-02
-3.699999999999997735e-02;2.210000000000000020e-01;3.030000000000000054e-02
-3.089999999999998304e-02;2.205000000000000016e-01;3.049999999999999933e-02
-2.469999999999999973e-02;2.217000000000000082e-01;3.090000000000000038e-02
-1.850000000000001643e-02;2.227000000000000091e-01;3.099999999999999978e-02
-1.229999999999997762e-02;2.220999999999999919e-01;3.090000000000000038e-02
-6.199999999999983302e-03;2.228999999999999870e-01;3.139999999999999736e-02
0.000000000000000000e+00;2.230999999999999928e-01;3.130000000000000143e-02
6.199999999999983302e-03;2.220000000000000029e-01;3.150000000000000022e-02
1.229999999999997762e-02;2.230000000000000038e-01;3.119999999999999857e-02
1.849999999999996092e-02;2.240000000000000047e-01;3.150000000000000022e-02
2.470000000000005524e-02;2.235000000000000042e-01;3.169999999999999901e-02
3.090000000000003855e-02;2.243999999999999884e-01;3.160000000000000309e-02
3.700000000000003286e-02;2.257000000000000117e-01;3.119999999999999857e-02
4.320000000000001616e-02;2.255000000000000060e-01;3.139999999999999736e-02
4.939999999999999947e-02;2.260000000000000064e-01;3.119999999999999857e-02
5.559999999999998277e-02;2.263000000000000012e-01;3.109999999999999917e-02
6.169999999999997708e-02;2.263999999999999901e-01;3.119999999999999857e-02
6.789999999999996039e-02;2.245000000000000051e-01;3.119999999999999857e-02
7.410000000000005471e-02;2.252000000000000113e-01;3.150000000000000022e-02
8.020000000000004903e-02;2.258999999999999897e-01;3.150000000000000022e-02
8.640000000000003233e-02;2.260000000000000064e-01;3.119999999999999857e-02
9.260000000000001563e-02;2.265999999999999959e-01;3.090000000000000038e-02
9.879999999999999893e-02;2.288000000000000034e-01;3.109999999999999917e-02
1.048999999999999932e-01;2.286999999999999866e-01;3.099999999999999978e-02
1.110999999999999766e-01;2.283000000000000029e-01;3.119999999999999857e-02
1.172999999999999599e-01;2.280000000000000082e-01;3.139999999999999736e-02
1.235000000000000542e-01;2.270000000000000073e-01;3.130000000000000143e-02
1.296000000000000485e-01;2.268999999999999906e-01;3.059999999999999873e-02
1.358000000000000318e-01;2.258999999999999897e-01;3.049999999999999933e-02
1.420000000000000151e-01;2.245999999999999941e-01;2.989999999999999949e-02
1.481000000000000094e-01;2.248999999999999888e-01;2.980000000000000010e-02
1.542999999999999927e-01;2.247000000000000108e-01;3.009999999999999828e-02
1.604999999999999760e-01;2.233999999999999875e-01;2.989999999999999949e-02
1.666999999999999593e-01;2.225000000000000033e-01;3.030000000000000054e-02
1.727999999999999536e-01;2.232999999999999985e-01;3.009999999999999828e-02
