# r/D;U;u'
-4.254000000000000004e-01;8.406300000000001271e-02;2.461845000000000352e-02
-3.721999999999999753e-01;1.819243410000000172e-01;7.601096550000001340e-02
-3.190000000000000058e-01;2.869610595000000042e-01;1.178683350000000046e-01
-2.659000000000000252e-01;3.597596175000000174e-01;1.229721600000000109e-01
-2.026999999999999913e-01;4.346777640000000220e-01;1.076786985000000030e-01
-1.594999999999999751e-01;4.983795045000000701e-01;1.013379465000000118e-01
-1.063000000000000056e-01;5.533627110000000071e-01;9.847980450000000385e-02
-5.320000000000002505e-02;5.943073965000000847e-01;9.978878550000000458e-02
0.000000000000000000e+00;6.004500000000000393e-01;9.314780849999999834e-02
5.320000000000002505e-02;5.721507915000000333e-01;1.029171300000000094e-01
1.062999999999999501e-01;5.338480859999999995e-01;1.056972134999999979e-01
1.594999999999999751e-01;4.867908195000000826e-01;1.024487790000000037e-01
2.026999999999999913e-01;4.234493489999999749e-01;1.033974900000000086e-01
2.659000000000000252e-01;3.648994695000000177e-01;9.944052450000001597e-02
3.189999999999999503e-01;2.725982955000000318e-01;1.102606334999999965e-01
3.721999999999999753e-01;1.886013450000000036e-01;8.250182999999999822e-02
4.254000000000000004e-01;8.406300000000001271e-02;2.575930500000000317e-02
