# r/D;g;g'
-5.000000000000000000e-01;0.000000000000000000e+00;0.000000000000000000e+00
-4.938000000000000167e-01;0.000000000000000000e+00;0.000000000000000000e+00
-4.877000000000000224e-01;8.000000000000000167e-03;4.799999999999999580e-03
-4.814999999999999836e-01;7.300000000000000065e-03;4.599999999999999922e-03
-4.753000000000000003e-01;6.499999999999999702e-03;4.300000000000000003e-03
-4.691000000000000170e-01;6.400000000000000307e-03;4.300000000000000003e-03
-4.630000000000000226e-01;5.899999999999999863e-03;4.199999999999999740e-03
-4.567999999999999838e-01;5.700000000000000205e-03;4.199999999999999740e-03
-4.506000000000000005e-01;5.400000000000000286e-03;4.100000000000000346e-03
-4.444000000000000172e-01;5.499999999999999681e-03;4.199999999999999740e-03
-4.383000000000000229e-01;5.400000000000000286e-03;4.199999999999999740e-03
-4.320999999999999841e-01;5.899999999999999863e-03;4.199999999999999740e-03
-4.259000000000000008e-01;6.000000000000000125e-03;4.300000000000000003e-03
-4.198000000000000065e-01;6.499999999999999702e-03;4.400000000000000265e-03
-4.135999999999999677e-01;6.499999999999999702e-03;4.400000000000000265e-03
-4.073999999999999844e-01;6.700000000000000226e-03;4.400000000000000265e-03
-4.012000000000000011e-01;6.899999999999999883e-03;4.499999999999999660e-03
-3.951000000000000068e-01;7.100000000000000408e-03;4.400000000000000265e-03
-3.889000000000000234e-01;7.000000000000000146e-03;4.300000000000000003e-03
-3.826999999999999846e-01;7.000000000000000146e-03;4.300000000000000003e-03
-3.765000000000000013e-01;6.400000000000000307e-03;4.300000000000000003e-03
-3.704000000000000070e-01;6.000000000000000125e-03;4.300000000000000003e-03
-3.641999999999999682e-01;6.400000000000000307e-03;4.300000000000000003e-03
-3.579999999999999849e-01;6.199999999999999782e-03;4.300000000000000003e-03
-3.518999999999999906e-01;6.499999999999999702e-03;4.400000000000000265e-03
-3.457000000000000073e-01;7.300000000000000065e-03;4.599999999999999922e-03
-3.395000000000000240e-01;7.700000000000000247e-03;4.599999999999999922e-03
-3.333000000000000407e-01;8.000000000000000167e-03;4.499999999999999660e-03
-3.271999999999999909e-01;8.899999999999999925e-03;4.499999999999999660e-03
-3.210000000000000075e-01;9.199999999999999845e-03;4.499999999999999660e-03
-3.147999999999999687e-01;9.700000000000000289e-03;4.499999999999999660e-03
-3.085999999999999854e-01;1.020000000000000073e-02;4.499999999999999660e-03
-3.024999999999999911e-01;1.030000000000000013e-02;4.400000000000000265e-03
-2.963000000000000078e-01;1.050000000000000065e-02;4.400000000000000265e-03
-2.901000000000000245e-01;1.119999999999999989e-02;4.599999999999999922e-03
-2.840000000000000302e-01;1.159999999999999920e-02;4.599999999999999922e-03
-2.777999999999999914e-01;1.269999999999999948e-02;4.899999999999999842e-03
-2.716000000000000081e-01;1.379999999999999977e-02;5.400000000000000286e-03
-2.653999999999999693e-01;1.569999999999999868e-02;6.400000000000000307e-03
-2.592999999999999750e-01;1.700000000000000122e-02;8.300000000000000086e-03
-2.530999999999999917e-01;1.919999999999999832e-02;1.119999999999999989e-02
-2.469000000000000083e-01;2.160000000000000114e-02;1.540000000000000049e-02
-2.407000000000000250e-01;2.500000000000000139e-02;2.009999999999999981e-02
-2.345999999999999752e-01;2.829999999999999877e-02;2.460000000000000034e-02
-2.283999999999999919e-01;3.359999999999999792e-02;2.980000000000000010e-02
-2.222000000000000086e-01;4.019999999999999962e-02;3.570000000000000256e-02
-2.160000000000000253e-01;4.900000000000000189e-02;4.159999999999999809e-02
-2.098999999999999755e-01;5.990000000000000185e-02;4.719999999999999890e-02
-2.036999999999999922e-01;7.299999999999999545e-02;5.360000000000000181e-02
-1.975000000000000089e-01;8.920000000000000151e-02;6.049999999999999822e-02
-1.914000000000000146e-01;1.073999999999999955e-01;6.679999999999999827e-02
-1.851999999999999758e-01;1.272999999999999965e-01;7.249999999999999500e-02
-1.789999999999999925e-01;1.496999999999999997e-01;7.789999999999999702e-02
-1.728000000000000091e-01;1.738999999999999990e-01;8.150000000000000300e-02
-1.667000000000000148e-01;1.988999999999999935e-01;8.490000000000000324e-02
-1.604999999999999760e-01;2.235000000000000042e-01;8.740000000000000546e-02
-1.542999999999999927e-01;2.475999999999999868e-01;8.840000000000000635e-02
-1.481000000000000094e-01;2.746000000000000107e-01;8.949999999999999623e-02
-1.420000000000000151e-01;3.009000000000000008e-01;9.059999999999999998e-02
-1.357999999999999763e-01;3.299000000000000266e-01;9.120000000000000329e-02
-1.295999999999999930e-01;3.584999999999999853e-01;9.220000000000000417e-02
-1.234999999999999987e-01;3.901000000000000023e-01;9.400000000000000022e-02
-1.173000000000000154e-01;4.171000000000000263e-01;9.520000000000000684e-02
-1.110999999999999766e-01;4.464000000000000190e-01;9.610000000000000486e-02
-1.048999999999999932e-01;4.726000000000000201e-01;9.529999999999999583e-02
-9.879999999999999893e-02;5.019000000000000128e-01;9.510000000000000397e-02
-9.260000000000001563e-02;5.283999999999999808e-01;9.410000000000000309e-02
-8.639999999999997682e-02;5.565999999999999837e-01;9.329999999999999405e-02
-8.019999999999999352e-02;5.866999999999999993e-01;9.360000000000000264e-02
-7.409999999999999920e-02;6.148000000000000131e-01;9.329999999999999405e-02
-6.790000000000001590e-02;6.405999999999999472e-01;9.239999999999999603e-02
-6.169999999999997708e-02;6.691000000000000281e-01;9.120000000000000329e-02
-5.559999999999998277e-02;6.975000000000000089e-01;8.989999999999999380e-02
-4.939999999999999947e-02;7.184000000000000385e-01;8.820000000000000062e-02
-4.320000000000001616e-02;7.409000000000000030e-01;8.599999999999999312e-02
-3.699999999999997735e-02;7.629000000000000226e-01;8.319999999999999618e-02
-3.089999999999998304e-02;7.799000000000000377e-01;8.039999999999999925e-02
-2.469999999999999973e-02;7.973000000000000087e-01;7.850000000000000033e-02
-1.850000000000001643e-02;8.153000000000000247e-01;7.670000000000000429e-02
-1.229999999999997762e-02;8.256000000000000005e-01;7.459999999999999964e-02
-6.199999999999983302e-03;8.368999999999999773e-01;7.430000000000000493e-02
0.000000000000000000e+00;8.433000000000000496e-01;7.280000000000000360e-02
6.199999999999983302e-03;8.434000000000000385e-01;7.130000000000000226e-02
1.229999999999997762e-02;8.436000000000000165e-01;7.030000000000000138e-02
1.849999999999996092e-02;8.409999999999999698e-01;7.030000000000000138e-02
2.470000000000005524e-02;8.292000000000000481e-01;7.000000000000000666e-02
3.090000000000003855e-02;8.192000000000000393e-01;7.109999999999999654e-02
3.700000000000003286e-02;8.088999999999999524e-01;7.299999999999999545e-02
4.320000000000001616e-02;7.941000000000000281e-01;7.530000000000000582e-02
4.939999999999999947e-02;7.791000000000000147e-01;7.820000000000000562e-02
5.559999999999998277e-02;7.650000000000000133e-01;8.140000000000000013e-02
6.169999999999997708e-02;7.465000000000000524e-01;8.419999999999999707e-02
6.789999999999996039e-02;7.207000000000000073e-01;8.519999999999999796e-02
7.410000000000005471e-02;6.983000000000000318e-01;8.630000000000000171e-02
8.020000000000004903e-02;6.747999999999999554e-01;8.730000000000000260e-02
8.640000000000003233e-02;6.489000000000000323e-01;8.820000000000000062e-02
9.260000000000001563e-02;6.239999999999999991e-01;8.899999999999999578e-02
9.879999999999999893e-02;6.024000000000000465e-01;9.020000000000000240e-02
1.048999999999999932e-01;5.750999999999999446e-01;9.120000000000000329e-02
1.110999999999999766e-01;5.476999999999999647e-01;9.160000000000000087e-02
1.172999999999999599e-01;5.208000000000000407e-01;9.160000000000000087e-02
1.235000000000000542e-01;4.914999999999999925e-01;9.059999999999999998e-02
1.296000000000000485e-01;4.628999999999999782e-01;9.049999999999999711e-02
1.358000000000000318e-01;4.324999999999999956e-01;8.920000000000000151e-02
1.420000000000000151e-01;4.021000000000000130e-01;8.899999999999999578e-02
1.481000000000000094e-01;3.729000000000000092e-01;8.880000000000000393e-02
1.542999999999999927e-01;3.442000000000000060e-01;8.809999999999999776e-02
1.604999999999999760e-01;3.150999999999999912e-01;8.680000000000000215e-02
1.666999999999999593e-01;2.864999999999999769e-01;8.569999999999999840e-02
1.727999999999999536e-01;2.600999999999999979e-01;8.459999999999999465e-02
