# x/D;U0;u'
0;1.62423;0.075
0.1;1.61434;0.074
0.6;1.57422;0.081
1.1;1.46677;0.145
2.1;1.0781;0.156
3.1;0.85716;0.124
5.1;0.60045;0.093
7.1;0.4549;0.076
9.1;0.3832;0.052
