# r/D;U;u'
-4.254000000000000004e-01;1.609891100000000186e-01;7.899793400000000576e-02
-3.721999999999999753e-01;2.767020230000000192e-01;7.990318500000000157e-02
-3.190000000000000058e-01;3.212003410000000003e-01;7.636861200000000238e-02
-2.659000000000000252e-01;3.473707380000000122e-01;7.870224900000000190e-02
-2.026999999999999913e-01;3.719808280000000411e-01;7.926177600000000600e-02
-1.594999999999999751e-01;4.060983280000000084e-01;8.669029300000000160e-02
-1.063000000000000056e-01;4.330011140000000203e-01;7.967118600000000495e-02
-5.320000000000002505e-02;4.462387040000000415e-01;7.626853400000001282e-02
0.000000000000000000e+00;4.549000000000000266e-01;7.645049399999999384e-02
5.320000000000002505e-02;4.404114350000000178e-01;7.810178100000000900e-02
1.062999999999999501e-01;4.250494620000000445e-01;7.894789500000000404e-02
1.594999999999999751e-01;4.018495620000000490e-01;7.644139600000000867e-02
2.026999999999999913e-01;3.619684790000000096e-01;8.129063000000000261e-02
2.659000000000000252e-01;3.392280280000000148e-01;7.805174200000000728e-02
3.189999999999999503e-01;3.147998980000000224e-01;7.384846600000001537e-02
3.721999999999999753e-01;2.902580430000000211e-01;7.559983100000000622e-02
4.254000000000000004e-01;2.139485680000000334e-01;7.700092300000001277e-02
