# r/D;g;g'
-5.000000000000000000e-01;0.000000000000000000e+00;0.000000000000000000e+00
-4.938000000000000167e-01;0.000000000000000000e+00;0.000000000000000000e+00
-4.877000000000000224e-01;1.955000000000000071e-01;2.409999999999999989e-02
-4.814999999999999836e-01;1.925000000000000044e-01;2.369999999999999885e-02
-4.753000000000000003e-01;1.902000000000000079e-01;2.309999999999999901e-02
-4.691000000000000170e-01;1.890999999999999903e-01;2.299999999999999961e-02
-4.630000000000000226e-01;1.887000000000000066e-01;2.280000000000000082e-02
-4.567999999999999838e-01;1.869999999999999996e-01;2.249999999999999917e-02
-4.506000000000000005e-01;1.872999999999999943e-01;2.259999999999999856e-02
-4.444000000000000172e-01;1.879000000000000115e-01;2.290000000000000022e-02
-4.383000000000000229e-01;1.885000000000000009e-01;2.299999999999999961e-02
-4.320999999999999841e-01;1.899000000000000132e-01;2.280000000000000082e-02
-4.259000000000000008e-01;1.922999999999999987e-01;2.270000000000000143e-02
-4.198000000000000065e-01;1.943000000000000005e-01;2.230000000000000038e-02
-4.135999999999999677e-01;1.960000000000000075e-01;2.259999999999999856e-02
-4.073999999999999844e-01;1.957000000000000128e-01;2.280000000000000082e-02
-4.012000000000000011e-01;1.965999999999999970e-01;3.679999999999999938e-02
-3.951000000000000068e-01;1.970999999999999974e-01;4.349999999999999700e-02
-3.889000000000000234e-01;1.960000000000000075e-01;4.399999999999999745e-02
-3.826999999999999846e-01;1.940000000000000058e-01;4.429999999999999910e-02
-3.765000000000000013e-01;1.900000000000000022e-01;4.340000000000000108e-02
-3.704000000000000070e-01;1.884000000000000119e-01;2.440000000000000155e-02
-3.641999999999999682e-01;1.892999999999999960e-01;2.270000000000000143e-02
-3.579999999999999849e-01;1.882999999999999952e-01;2.220000000000000098e-02
-3.518999999999999906e-01;1.882999999999999952e-01;2.199999999999999872e-02
-3.457000000000000073e-01;1.923999999999999877e-01;2.239999999999999977e-02
-3.395000000000000240e-01;1.912999999999999978e-01;2.199999999999999872e-02
-3.333000000000000407e-01;1.905000000000000027e-01;2.170000000000000054e-02
-3.271999999999999909e-01;1.918999999999999873e-01;2.199999999999999872e-02
-3.210000000000000075e-01;1.927000000000000102e-01;2.239999999999999977e-02
-3.147999999999999687e-01;1.918999999999999873e-01;2.259999999999999856e-02
-3.085999999999999854e-01;1.927000000000000102e-01;2.270000000000000143e-02
-3.024999999999999911e-01;1.913999999999999868e-01;2.290000000000000022e-02
-2.963000000000000078e-01;1.910000000000000031e-01;2.309999999999999901e-02
-2.901000000000000245e-01;1.920999999999999930e-01;2.280000000000000082e-02
-2.840000000000000302e-01;1.913999999999999868e-01;2.249999999999999917e-02
-2.777999999999999914e-01;1.927999999999999992e-01;2.249999999999999917e-02
-2.716000000000000081e-01;1.942000000000000115e-01;2.299999999999999961e-02
-2.653999999999999693e-01;1.950999999999999956e-01;2.299999999999999961e-02
-2.592999999999999750e-01;1.935999999999999943e-01;2.290000000000000022e-02
-2.530999999999999917e-01;1.957000000000000128e-01;2.290000000000000022e-02
-2.469000000000000083e-01;1.955000000000000071e-01;2.330000000000000127e-02
-2.407000000000000250e-01;1.955999999999999961e-01;2.309999999999999901e-02
-2.345999999999999752e-01;1.945999999999999952e-01;2.290000000000000022e-02
-2.283999999999999919e-01;1.958000000000000018e-01;2.270000000000000143e-02
-2.222000000000000086e-01;1.953000000000000014e-01;2.270000000000000143e-02
-2.160000000000000253e-01;1.953999999999999904e-01;2.280000000000000082e-02
-2.098999999999999755e-01;1.958999999999999908e-01;2.249999999999999917e-02
-2.036999999999999922e-01;1.963999999999999913e-01;2.249999999999999917e-02
-1.975000000000000089e-01;1.975000000000000089e-01;2.249999999999999917e-02
-1.914000000000000146e-01;1.988999999999999935e-01;2.239999999999999977e-02
-1.851999999999999758e-01;1.995999999999999996e-01;2.280000000000000082e-02
-1.789999999999999925e-01;2.003999999999999948e-01;2.309999999999999901e-02
-1.728000000000000091e-01;2.013999999999999957e-01;2.330000000000000127e-02
-1.667000000000000148e-01;2.018000000000000071e-01;2.380000000000000171e-02
-1.604999999999999760e-01;2.011999999999999900e-01;2.350000000000000006e-02
-1.542999999999999927e-01;2.001999999999999891e-01;2.340000000000000066e-02
-1.481000000000000094e-01;2.001000000000000001e-01;2.319999999999999840e-02
-1.420000000000000151e-01;2.001999999999999891e-01;2.290000000000000022e-02
-1.357999999999999763e-01;2.010000000000000120e-01;2.280000000000000082e-02
-1.295999999999999930e-01;2.011999999999999900e-01;2.280000000000000082e-02
-1.234999999999999987e-01;2.028000000000000080e-01;2.309999999999999901e-02
-1.173000000000000154e-01;2.020000000000000129e-01;2.299999999999999961e-02
-1.110999999999999766e-01;2.021999999999999909e-01;2.290000000000000022e-02
-1.048999999999999932e-01;2.008000000000000063e-01;2.249999999999999917e-02
-9.879999999999999893e-02;2.008999999999999952e-01;2.210000000000000159e-02
-9.260000000000001563e-02;2.001999999999999891e-01;2.210000000000000159e-02
-8.639999999999997682e-02;2.003000000000000058e-01;2.220000000000000098e-02
-8.019999999999999352e-02;2.011000000000000010e-01;2.259999999999999856e-02
-7.409999999999999920e-02;2.016000000000000014e-01;2.230000000000000038e-02
-6.790000000000001590e-02;2.011999999999999900e-01;2.220000000000000098e-02
-6.169999999999997708e-02;2.021000000000000019e-01;2.220000000000000098e-02
-5.559999999999998277e-02;2.031000000000000028e-01;2.210000000000000159e-02
-4.939999999999999947e-02;2.016999999999999904e-01;2.179999999999999993e-02
-4.320000000000001616e-02;2.018000000000000071e-01;2.220000000000000098e-02
-3.699999999999997735e-02;2.023000000000000076e-01;2.210000000000000159e-02
-3.089999999999998304e-02;2.015000000000000124e-01;2.210000000000000159e-02
-2.469999999999999973e-02;2.021999999999999909e-01;2.220000000000000098e-02
-1.850000000000001643e-02;2.033000000000000085e-01;2.220000000000000098e-02
-1.229999999999997762e-02;2.021999999999999909e-01;2.199999999999999872e-02
-6.199999999999983302e-03;2.028000000000000080e-01;2.220000000000000098e-02
0.000000000000000000e+00;2.030000000000000138e-01;2.230000000000000038e-02
6.199999999999983302e-03;2.018999999999999961e-01;2.189999999999999933e-02
1.229999999999997762e-02;2.028999999999999970e-01;2.170000000000000054e-02
1.849999999999996092e-02;2.038999999999999979e-01;2.199999999999999872e-02
2.470000000000005524e-02;2.031000000000000028e-01;2.199999999999999872e-02
3.090000000000003855e-02;2.034999999999999865e-01;2.199999999999999872e-02
3.700000000000003286e-02;2.046999999999999931e-01;2.189999999999999933e-02
4.320000000000001616e-02;2.038999999999999979e-01;2.179999999999999993e-02
4.939999999999999947e-02;2.038000000000000089e-01;2.170000000000000054e-02
5.559999999999998277e-02;2.043000000000000094e-01;2.170000000000000054e-02
6.169999999999997708e-02;2.043999999999999984e-01;2.149999999999999828e-02
6.789999999999996039e-02;2.026999999999999913e-01;2.139999999999999888e-02
7.410000000000005471e-02;2.036000000000000032e-01;2.160000000000000114e-02
8.020000000000004903e-02;2.046999999999999931e-01;2.179999999999999993e-02
8.640000000000003233e-02;2.048000000000000098e-01;2.179999999999999993e-02
9.260000000000001563e-02;2.056000000000000050e-01;2.220000000000000098e-02
9.879999999999999893e-02;2.073000000000000120e-01;2.259999999999999856e-02
1.048999999999999932e-01;2.069999999999999896e-01;2.220000000000000098e-02
1.110999999999999766e-01;2.064999999999999891e-01;2.199999999999999872e-02
1.172999999999999599e-01;2.064000000000000001e-01;2.170000000000000054e-02
1.235000000000000542e-01;2.059999999999999887e-01;2.129999999999999949e-02
1.296000000000000485e-01;2.059999999999999887e-01;2.139999999999999888e-02
1.358000000000000318e-01;2.061000000000000054e-01;2.179999999999999993e-02
1.420000000000000151e-01;2.056000000000000050e-01;2.179999999999999993e-02
1.481000000000000094e-01;2.061999999999999944e-01;2.230000000000000038e-02
1.542999999999999927e-01;2.058999999999999997e-01;2.239999999999999977e-02
1.604999999999999760e-01;2.053999999999999992e-01;2.280000000000000082e-02
1.666999999999999593e-01;2.046000000000000041e-01;2.259999999999999856e-02
1.727999999999999536e-01;2.049999999999999878e-01;2.290000000000000022e-02
