# r/D;g;g'
-5.000000000000000000e-01;0.000000000000000000e+00;0.000000000000000000e+00
-4.938000000000000167e-01;0.000000000000000000e+00;0.000000000000000000e+00
-4.877000000000000224e-01;9.799999999999999684e-03;5.899999999999999863e-03
-4.814999999999999836e-01;9.299999999999999239e-03;6.000000000000000125e-03
-4.753000000000000003e-01;8.899999999999999925e-03;6.400000000000000307e-03
-4.691000000000000170e-01;8.800000000000000530e-03;6.499999999999999702e-03
-4.630000000000000226e-01;8.899999999999999925e-03;7.300000000000000065e-03
-4.567999999999999838e-01;9.299999999999999239e-03;8.500000000000000611e-03
-4.506000000000000005e-01;9.499999999999999764e-03;1.000000000000000021e-02
-4.444000000000000172e-01;1.009999999999999960e-02;1.159999999999999920e-02
-4.383000000000000229e-01;1.050000000000000065e-02;1.359999999999999924e-02
-4.320999999999999841e-01;1.159999999999999920e-02;1.580000000000000154e-02
-4.259000000000000008e-01;1.269999999999999948e-02;1.739999999999999880e-02
-4.198000000000000065e-01;1.460000000000000013e-02;1.909999999999999892e-02
-4.135999999999999677e-01;1.640000000000000138e-02;2.179999999999999993e-02
-4.073999999999999844e-01;1.839999999999999969e-02;2.400000000000000050e-02
-4.012000000000000011e-01;2.050000000000000086e-02;2.570000000000000062e-02
-3.951000000000000068e-01;2.280000000000000082e-02;2.790000000000000119e-02
-3.889000000000000234e-01;2.450000000000000094e-02;3.039999999999999994e-02
-3.826999999999999846e-01;2.639999999999999986e-02;3.219999999999999946e-02
-3.765000000000000013e-01;2.809999999999999998e-02;3.400000000000000244e-02
-3.704000000000000070e-01;3.070000000000000159e-02;3.670000000000000345e-02
-3.641999999999999682e-01;3.459999999999999881e-02;3.960000000000000325e-02
-3.579999999999999849e-01;3.819999999999999785e-02;4.220000000000000140e-02
-3.518999999999999906e-01;4.259999999999999898e-02;4.490000000000000241e-02
-3.457000000000000073e-01;4.819999999999999979e-02;4.870000000000000023e-02
-3.395000000000000240e-01;5.269999999999999685e-02;5.059999999999999915e-02
-3.333000000000000407e-01;5.779999999999999721e-02;5.279999999999999971e-02
-3.271999999999999909e-01;6.419999999999999318e-02;5.510000000000000314e-02
-3.210000000000000075e-01;7.019999999999999851e-02;5.750000000000000250e-02
-3.147999999999999687e-01;7.639999999999999569e-02;5.890000000000000097e-02
-3.085999999999999854e-01;8.350000000000000477e-02;6.099999999999999867e-02
-3.024999999999999911e-01;8.980000000000000482e-02;6.140000000000000319e-02
-2.963000000000000078e-01;9.710000000000000575e-02;6.279999999999999472e-02
-2.901000000000000245e-01;1.058000000000000052e-01;6.460000000000000464e-02
-2.840000000000000302e-01;1.134000000000000008e-01;6.629999999999999782e-02
-2.777999999999999914e-01;1.228000000000000064e-01;6.800000000000000488e-02
-2.716000000000000081e-01;1.322000000000000119e-01;6.930000000000000049e-02
-2.653999999999999693e-01;1.416000000000000036e-01;7.009999999999999565e-02
-2.592999999999999750e-01;1.496000000000000107e-01;7.059999999999999609e-02
-2.530999999999999917e-01;1.598999999999999866e-01;7.190000000000000557e-02
-2.469000000000000083e-01;1.691000000000000003e-01;7.280000000000000360e-02
-2.407000000000000250e-01;1.787999999999999867e-01;7.380000000000000449e-02
-2.345999999999999752e-01;1.867000000000000048e-01;7.430000000000000493e-02
-2.283999999999999919e-01;1.962000000000000133e-01;7.520000000000000295e-02
-2.222000000000000086e-01;2.043000000000000094e-01;7.570000000000000340e-02
-2.160000000000000253e-01;2.132999999999999896e-01;7.649999999999999856e-02
-2.098999999999999755e-01;2.225999999999999923e-01;7.689999999999999614e-02
-2.036999999999999922e-01;2.311999999999999889e-01;7.720000000000000473e-02
-1.975000000000000089e-01;2.414000000000000035e-01;7.770000000000000517e-02
-1.914000000000000146e-01;2.521999999999999797e-01;7.749999999999999944e-02
-1.851999999999999758e-01;2.615000000000000102e-01;7.729999999999999372e-02
-1.789999999999999925e-01;2.706999999999999962e-01;7.710000000000000187e-02
-1.728000000000000091e-01;2.807000000000000051e-01;7.729999999999999372e-02
-1.667000000000000148e-01;2.898999999999999910e-01;7.789999999999999702e-02
-1.604999999999999760e-01;2.980999999999999761e-01;7.760000000000000231e-02
-1.542999999999999927e-01;3.058000000000000163e-01;7.739999999999999658e-02
-1.481000000000000094e-01;3.154000000000000137e-01;7.760000000000000231e-02
-1.420000000000000151e-01;3.244000000000000217e-01;7.720000000000000473e-02
-1.357999999999999763e-01;3.345000000000000195e-01;7.679999999999999327e-02
-1.295999999999999930e-01;3.431000000000000161e-01;7.749999999999999944e-02
-1.234999999999999987e-01;3.542000000000000148e-01;7.710000000000000187e-02
-1.173000000000000154e-01;3.607000000000000206e-01;7.639999999999999569e-02
-1.110999999999999766e-01;3.690999999999999837e-01;7.649999999999999856e-02
-1.048999999999999932e-01;3.750999999999999890e-01;7.580000000000000626e-02
-9.879999999999999893e-02;3.835000000000000075e-01;7.530000000000000582e-02
-9.260000000000001563e-02;3.896999999999999909e-01;7.489999999999999436e-02
-8.639999999999997682e-02;3.980000000000000204e-01;7.370000000000000162e-02
-8.019999999999999352e-02;4.072999999999999954e-01;7.309999999999999831e-02
-7.409999999999999920e-02;4.153000000000000025e-01;7.220000000000000029e-02
-6.790000000000001590e-02;4.213000000000000078e-01;7.130000000000000226e-02
-6.169999999999997708e-02;4.297000000000000264e-01;7.059999999999999609e-02
-5.559999999999998277e-02;4.373000000000000220e-01;6.950000000000000622e-02
-4.939999999999999947e-02;4.414000000000000146e-01;6.869999999999999718e-02
-4.320000000000001616e-02;4.456999999999999851e-01;6.719999999999999585e-02
-3.699999999999997735e-02;4.511000000000000010e-01;6.629999999999999782e-02
-3.089999999999998304e-02;4.536000000000000032e-01;6.550000000000000266e-02
-2.469999999999999973e-02;4.583999999999999742e-01;6.560000000000000553e-02
-1.850000000000001643e-02;4.627999999999999892e-01;6.550000000000000266e-02
-1.229999999999997762e-02;4.643999999999999795e-01;6.569999999999999452e-02
-6.199999999999983302e-03;4.681000000000000161e-01;6.629999999999999782e-02
0.000000000000000000e+00;4.701000000000000179e-01;6.669999999999999540e-02
6.199999999999983302e-03;4.688999999999999835e-01;6.619999999999999496e-02
1.229999999999997762e-02;4.707999999999999963e-01;6.590000000000000024e-02
1.849999999999996092e-02;4.722999999999999976e-01;6.529999999999999694e-02
2.470000000000005524e-02;4.707999999999999963e-01;6.460000000000000464e-02
3.090000000000003855e-02;4.699999999999999734e-01;6.429999999999999605e-02
3.700000000000003286e-02;4.707999999999999963e-01;6.429999999999999605e-02
4.320000000000001616e-02;4.687999999999999945e-01;6.450000000000000178e-02
4.939999999999999947e-02;4.672999999999999932e-01;6.450000000000000178e-02
5.559999999999998277e-02;4.657000000000000028e-01;6.469999999999999363e-02
6.169999999999997708e-02;4.631000000000000116e-01;6.439999999999999891e-02
6.789999999999996039e-02;4.566000000000000059e-01;6.389999999999999847e-02
7.410000000000005471e-02;4.532999999999999807e-01;6.439999999999999891e-02
8.020000000000004903e-02;4.500000000000000111e-01;6.479999999999999649e-02
8.640000000000003233e-02;4.452999999999999736e-01;6.539999999999999980e-02
9.260000000000001563e-02;4.413000000000000256e-01;6.710000000000000686e-02
9.879999999999999893e-02;4.390000000000000013e-01;6.990000000000000380e-02
1.048999999999999932e-01;4.329999999999999960e-01;7.149999999999999412e-02
1.110999999999999766e-01;4.263000000000000123e-01;7.159999999999999698e-02
1.172999999999999599e-01;4.205999999999999739e-01;7.220000000000000029e-02
1.235000000000000542e-01;4.131000000000000227e-01;7.280000000000000360e-02
1.296000000000000485e-01;4.060000000000000275e-01;7.290000000000000646e-02
1.358000000000000318e-01;3.976999999999999980e-01;7.280000000000000360e-02
1.420000000000000151e-01;3.894000000000000239e-01;7.430000000000000493e-02
1.481000000000000094e-01;3.810999999999999943e-01;7.660000000000000142e-02
1.542999999999999927e-01;3.728000000000000203e-01;7.810000000000000275e-02
1.604999999999999760e-01;3.638000000000000123e-01;7.920000000000000651e-02
1.666999999999999593e-01;3.548999999999999932e-01;8.019999999999999352e-02
1.727999999999999536e-01;3.467000000000000082e-01;8.050000000000000211e-02
