# r/D;U;u'
-4.254000000000000004e-01;1.741055989999999998e-01;3.240094929999999540e-02
-3.721999999999999753e-01;2.533111789999999974e-01;5.055956190000000100e-02
-3.190000000000000058e-01;2.826465790000000089e-01;3.492379369999999705e-02
-2.659000000000000252e-01;2.918285592000000039e-01;2.929139689999999893e-02
-2.026999999999999913e-01;3.073029827000000047e-01;5.025154019999999305e-02
-1.594999999999999751e-01;4.706278221999999345e-01;1.374656843999999822e-01
-1.329000000000000181e-01;6.280562463000000095e-01;1.786965890999999695e-01
-1.063000000000000056e-01;7.884915488999999500e-01;2.023115860999999960e-01
-7.979999999999998206e-02;9.988410345999999551e-01;2.263372786999999775e-01
-5.320000000000002505e-02;1.213004122299999876e+00;2.294028280000000031e-01
-2.660000000000001252e-02;1.395528981100000010e+00;1.731228630999999962e-01
0.000000000000000000e+00;1.466769999999999907e+00;1.447261958999999931e-01
2.659999999999995701e-02;1.364022761500000014e+00;1.861037775999999644e-01
5.320000000000002505e-02;1.171406525099999874e+00;2.240344497999999795e-01
7.979999999999998206e-02;9.393341756999999959e-01;2.266453003999999716e-01
1.062999999999999501e-01;7.532744011999999989e-01;1.921762053999999942e-01
1.329000000000000181e-01;5.843171648999999634e-01;1.748536516999999735e-01
1.594999999999999751e-01;4.384028852999999337e-01;1.364242776999999851e-01
2.026999999999999913e-01;3.003798282999999847e-01;4.461914339999999840e-02
2.659000000000000252e-01;2.903031184000000042e-01;2.983410179999999856e-02
3.189999999999999503e-01;2.846560538999999834e-01;2.194287919999999767e-02
3.721999999999999753e-01;2.666881213999999778e-01;3.033280359999999953e-02
4.254000000000000004e-01;1.981166238999999829e-01;3.329567900000000163e-02
