# r/D;U;u'
-4.254000000000000004e-01;9.700343640000000378e-02;4.532179379999999591e-02
-3.721999999999999753e-01;2.296157291999999794e-01;3.941846879999999498e-02
-3.190000000000000058e-01;2.921752319999999514e-01;3.422354279999999943e-02
-2.659000000000000252e-01;2.965830480000000158e-01;2.446337879999999770e-02
-2.026999999999999913e-01;2.835485064000000111e-01;3.719881860000000262e-02
-1.594999999999999751e-01;3.640383750000000251e-01;1.170747414000000014e-01
-1.329000000000000181e-01;5.493240689999999704e-01;1.952505065999999845e-01
-1.063000000000000056e-01;7.997037599999999857e-01;2.422724579999999961e-01
-7.979999999999998206e-02;1.115885846999999931e+00;2.421780048000000130e-01
-5.320000000000002505e-02;1.392743918399999892e+00;1.858366710000000088e-01
-2.660000000000001252e-02;1.547678650800000000e+00;1.063543031999999861e-01
-1.329999999999997851e-02;1.574219999999999953e+00;8.113529880000000527e-02
0.000000000000000000e+00;1.569308433599999830e+00;8.711733480000000140e-02
1.329999999999997851e-02;1.545144156599999929e+00;1.011436349999999956e-01
2.659999999999995701e-02;1.478649103799999809e+00;1.521326208000000069e-01
5.320000000000002505e-02;1.227057263399999876e+00;2.556375858000000112e-01
7.979999999999998206e-02;9.484360656000000445e-01;2.593055183999999902e-01
1.062999999999999501e-01;6.549227466000000497e-01;2.289860411999999901e-01
1.329000000000000181e-01;4.335716723999999966e-01;1.510464089999999926e-01
1.594999999999999751e-01;3.201806057999999622e-01;7.570423980000000330e-02
2.026999999999999913e-01;2.926474980000000059e-01;2.088989940000000184e-02
2.659000000000000252e-01;3.014631300000000236e-01;2.389665960000000172e-02
3.189999999999999503e-01;2.951977343999999670e-01;3.041393040000000061e-02
3.721999999999999753e-01;2.747643587999999970e-01;3.795444419999999958e-02
4.254000000000000004e-01;1.324391285999999834e-01;4.573109099999999455e-02
