# r/D;U;u'
-4.254000000000000004e-01;5.749774200000000099e-03;4.336694100000000607e-02
-3.721999999999999753e-01;2.375923644000000057e-01;6.250037040000000488e-02
-3.190000000000000058e-01;2.993293467000000541e-01;5.827737240000000624e-02
-2.659000000000000252e-01;3.053227554000000343e-01;4.346439480000000022e-02
-2.026999999999999913e-01;2.889667593000000423e-01;5.644199250000001000e-02
-1.594999999999999751e-01;2.626379910000000151e-01;4.653418949999999638e-02
-1.329000000000000181e-01;2.043768609000000125e-01;9.048585330000000204e-02
-1.063000000000000056e-01;5.095534355999999931e-01;4.865543387999999858e-01
-7.979999999999998206e-02;1.343481844500000078e+00;2.216424258000000147e-01
-5.320000000000002505e-02;1.540354762800000055e+00;1.033335125999999965e-01
-2.660000000000001252e-02;1.611236160000000028e+00;7.921369710000000786e-02
-1.329999999999997851e-02;1.624230000000000063e+00;7.497445680000000556e-02
0.000000000000000000e+00;1.613526324299999981e+00;8.041562730000000048e-02
1.329999999999997851e-02;1.572059732400000076e+00;1.231328763000000132e-01
2.659999999999995701e-02;1.529569875600000017e+00;1.150442109000000129e-01
5.320000000000002505e-02;1.311240879000000081e+00;3.332919959999999793e-01
7.979999999999998206e-02;5.929251614999999642e-01;5.226772140000000011e-01
1.062999999999999501e-01;1.927473741000000074e-01;1.019366748000000017e-01
1.329000000000000181e-01;2.436669845999999973e-01;4.383796770000000093e-02
1.594999999999999751e-01;2.711651984999999820e-01;3.511585260000000402e-02
2.026999999999999913e-01;3.044456711999999898e-01;2.754694079999999920e-02
2.659000000000000252e-01;3.167248500000000022e-01;2.005924050000000222e-02
3.189999999999999503e-01;3.149381969999999753e-01;3.737353229999999804e-02
3.721999999999999753e-01;2.888043363000000197e-01;5.779010340000000079e-02
4.254000000000000004e-01;1.976687910000000242e-02;7.081642800000000071e-02
