# r/D;g;g'
-5.000000000000000000e-01;0.000000000000000000e+00;0.000000000000000000e+00
-4.938000000000000167e-01;0.000000000000000000e+00;0.000000000000000000e+00
-4.877000000000000224e-01;8.899999999999999925e-03;4.700000000000000185e-03
-4.814999999999999836e-01;8.300000000000000086e-03;4.599999999999999922e-03
-4.753000000000000003e-01;7.599999999999999985e-03;4.499999999999999660e-03
-4.691000000000000170e-01;7.300000000000000065e-03;4.499999999999999660e-03
-4.630000000000000226e-01;7.000000000000000146e-03;4.499999999999999660e-03
-4.567999999999999838e-01;7.000000000000000146e-03;4.499999999999999660e-03
-4.506000000000000005e-01;6.700000000000000226e-03;4.499999999999999660e-03
-4.444000000000000172e-01;6.799999999999999621e-03;4.499999999999999660e-03
-4.383000000000000229e-01;6.700000000000000226e-03;4.400000000000000265e-03
-4.320999999999999841e-01;7.100000000000000408e-03;4.300000000000000003e-03
-4.259000000000000008e-01;7.100000000000000408e-03;4.300000000000000003e-03
-4.198000000000000065e-01;7.700000000000000247e-03;4.300000000000000003e-03
-4.135999999999999677e-01;8.000000000000000167e-03;4.499999999999999660e-03
-4.073999999999999844e-01;8.200000000000000691e-03;4.499999999999999660e-03
-4.012000000000000011e-01;8.500000000000000611e-03;4.599999999999999922e-03
-3.951000000000000068e-01;8.999999999999999320e-03;4.799999999999999580e-03
-3.889000000000000234e-01;8.800000000000000530e-03;5.199999999999999761e-03
-3.826999999999999846e-01;8.699999999999999400e-03;5.599999999999999943e-03
-3.765000000000000013e-01;8.600000000000000006e-03;6.199999999999999782e-03
-3.704000000000000070e-01;8.899999999999999925e-03;7.300000000000000065e-03
-3.641999999999999682e-01;9.799999999999999684e-03;8.800000000000000530e-03
-3.579999999999999849e-01;1.039999999999999952e-02;1.039999999999999952e-02
-3.518999999999999906e-01;1.179999999999999973e-02;1.260000000000000009e-02
-3.457000000000000073e-01;1.379999999999999977e-02;1.499999999999999944e-02
-3.395000000000000240e-01;1.519999999999999997e-02;1.720000000000000001e-02
-3.333000000000000407e-01;1.729999999999999941e-02;1.990000000000000102e-02
-3.271999999999999909e-01;2.000000000000000042e-02;2.299999999999999961e-02
-3.210000000000000075e-01;2.239999999999999977e-02;2.610000000000000167e-02
-3.147999999999999687e-01;2.520000000000000018e-02;2.929999999999999966e-02
-3.085999999999999854e-01;2.860000000000000042e-02;3.300000000000000155e-02
-3.024999999999999911e-01;3.219999999999999946e-02;3.649999999999999772e-02
-2.963000000000000078e-01;3.679999999999999938e-02;3.960000000000000325e-02
-2.901000000000000245e-01;4.259999999999999898e-02;4.320000000000000229e-02
-2.840000000000000302e-01;4.870000000000000023e-02;4.710000000000000298e-02
-2.777999999999999914e-01;5.639999999999999875e-02;5.109999999999999959e-02
-2.716000000000000081e-01;6.460000000000000464e-02;5.480000000000000149e-02
-2.653999999999999693e-01;7.389999999999999347e-02;5.829999999999999766e-02
-2.592999999999999750e-01;8.250000000000000389e-02;6.090000000000000274e-02
-2.530999999999999917e-01;9.299999999999999933e-02;6.410000000000000420e-02
-2.469000000000000083e-01;1.034999999999999948e-01;6.669999999999999540e-02
-2.407000000000000250e-01;1.142999999999999988e-01;6.959999999999999520e-02
-2.345999999999999752e-01;1.246000000000000024e-01;7.209999999999999742e-02
-2.283999999999999919e-01;1.371999999999999886e-01;7.430000000000000493e-02
-2.222000000000000086e-01;1.489000000000000046e-01;7.580000000000000626e-02
-2.160000000000000253e-01;1.610999999999999932e-01;7.729999999999999372e-02
-2.098999999999999755e-01;1.748000000000000109e-01;7.879999999999999505e-02
-2.036999999999999922e-01;1.887999999999999956e-01;8.029999999999999638e-02
-1.975000000000000089e-01;2.041999999999999926e-01;8.210000000000000631e-02
-1.914000000000000146e-01;2.207000000000000073e-01;8.379999999999999949e-02
-1.851999999999999758e-01;2.368999999999999995e-01;8.490000000000000324e-02
-1.789999999999999925e-01;2.536999999999999811e-01;8.550000000000000655e-02
-1.728000000000000091e-01;2.711000000000000076e-01;8.599999999999999312e-02
-1.667000000000000148e-01;2.872000000000000108e-01;8.599999999999999312e-02
-1.604999999999999760e-01;3.024999999999999911e-01;8.590000000000000413e-02
-1.542999999999999927e-01;3.174000000000000155e-01;8.530000000000000082e-02
-1.481000000000000094e-01;3.337999999999999856e-01;8.519999999999999796e-02
-1.420000000000000151e-01;3.487999999999999989e-01;8.580000000000000127e-02
-1.357999999999999763e-01;3.658000000000000140e-01;8.699999999999999400e-02
-1.295999999999999930e-01;3.819000000000000172e-01;8.790000000000000591e-02
-1.234999999999999987e-01;3.998999999999999777e-01;8.849999999999999534e-02
-1.173000000000000154e-01;4.131000000000000227e-01;8.859999999999999820e-02
-1.110999999999999766e-01;4.279999999999999916e-01;8.780000000000000304e-02
-1.048999999999999932e-01;4.403000000000000247e-01;8.640000000000000457e-02
-9.879999999999999893e-02;4.554000000000000270e-01;8.519999999999999796e-02
-9.260000000000001563e-02;4.687000000000000055e-01;8.459999999999999465e-02
-8.639999999999997682e-02;4.842000000000000193e-01;8.469999999999999751e-02
-8.019999999999999352e-02;5.017000000000000348e-01;8.509999999999999509e-02
-7.409999999999999920e-02;5.163999999999999702e-01;8.490000000000000324e-02
-6.790000000000001590e-02;5.284999999999999698e-01;8.480000000000000038e-02
-6.169999999999997708e-02;5.423000000000000043e-01;8.480000000000000038e-02
-5.559999999999998277e-02;5.551000000000000378e-01;8.340000000000000191e-02
-4.939999999999999947e-02;5.625999999999999890e-01;8.229999999999999816e-02
-4.320000000000001616e-02;5.722000000000000419e-01;8.169999999999999485e-02
-3.699999999999997735e-02;5.825000000000000178e-01;8.029999999999999638e-02
-3.089999999999998304e-02;5.887999999999999901e-01;7.879999999999999505e-02
-2.469999999999999973e-02;5.978999999999999870e-01;7.820000000000000562e-02
-1.850000000000001643e-02;6.060999999999999721e-01;7.739999999999999658e-02
-1.229999999999997762e-02;6.095000000000000417e-01;7.580000000000000626e-02
-6.199999999999983302e-03;6.143999999999999462e-01;7.459999999999999964e-02
0.000000000000000000e+00;6.170999999999999819e-01;7.330000000000000404e-02
6.199999999999983302e-03;6.163999999999999480e-01;7.140000000000000513e-02
1.229999999999997762e-02;6.199000000000000066e-01;7.099999999999999367e-02
1.849999999999996092e-02;6.229999999999999982e-01;7.099999999999999367e-02
2.470000000000005524e-02;6.210999999999999854e-01;7.030000000000000138e-02
3.090000000000003855e-02;6.210999999999999854e-01;6.969999999999999807e-02
3.700000000000003286e-02;6.202999999999999625e-01;6.990000000000000380e-02
4.320000000000001616e-02;6.149999999999999911e-01;7.069999999999999896e-02
4.939999999999999947e-02;6.108000000000000096e-01;7.140000000000000513e-02
5.559999999999998277e-02;6.068999999999999950e-01;7.359999999999999876e-02
6.169999999999997708e-02;6.002999999999999448e-01;7.530000000000000582e-02
6.789999999999996039e-02;5.885000000000000231e-01;7.679999999999999327e-02
7.410000000000005471e-02;5.813000000000000389e-01;7.839999999999999747e-02
8.020000000000004903e-02;5.727999999999999758e-01;8.050000000000000211e-02
8.640000000000003233e-02;5.622000000000000330e-01;8.169999999999999485e-02
9.260000000000001563e-02;5.525999999999999801e-01;8.379999999999999949e-02
9.879999999999999893e-02;5.445999999999999730e-01;8.580000000000000127e-02
1.048999999999999932e-01;5.313999999999999835e-01;8.759999999999999731e-02
1.110999999999999766e-01;5.163999999999999702e-01;8.890000000000000679e-02
1.172999999999999599e-01;5.021999999999999797e-01;8.890000000000000679e-02
1.235000000000000542e-01;4.868000000000000105e-01;8.930000000000000437e-02
1.296000000000000485e-01;4.721000000000000196e-01;8.959999999999999909e-02
1.358000000000000318e-01;4.562999999999999834e-01;9.039999999999999425e-02
1.420000000000000151e-01;4.401999999999999802e-01;9.009999999999999953e-02
1.481000000000000094e-01;4.248999999999999999e-01;9.110000000000000042e-02
1.542999999999999927e-01;4.077000000000000068e-01;9.120000000000000329e-02
1.604999999999999760e-01;3.902999999999999803e-01;9.189999999999999558e-02
1.666999999999999593e-01;3.726999999999999758e-01;9.220000000000000417e-02
1.727999999999999536e-01;3.574999999999999845e-01;9.220000000000000417e-02
