# r/D;U;u'
-4.254000000000000004e-01;5.424182400000000619e-03;4.021320940000000510e-02
-3.721999999999999753e-01;8.581831439999999811e-02;5.327322000000000307e-02
-3.190000000000000058e-01;2.857058932000000051e-01;4.823647920000000144e-02
-2.659000000000000252e-01;3.030277613999999842e-01;3.322311720000000607e-02
-2.026999999999999913e-01;2.867229273999999939e-01;5.356380120000000383e-02
-1.594999999999999751e-01;2.640414504000000440e-01;3.390114000000000322e-02
-1.329000000000000181e-01;2.753095436000000396e-01;1.181051144000000164e-01
-1.063000000000000056e-01;6.638327514000000873e-01;4.040854453999999651e-01
-7.979999999999998206e-02;1.302013640199999989e+00;2.452989630000000087e-01
-5.320000000000002505e-02;1.509391756600000134e+00;1.171365104000000046e-01
-2.660000000000001252e-02;1.592449549600000180e+00;8.078157360000000342e-02
-1.329999999999997851e-02;1.614340000000000108e+00;7.427578340000000334e-02
0.000000000000000000e+00;1.603394774800000144e+00;8.213761920000001160e-02
1.329999999999997851e-02;1.566006660400000250e+00;1.163454837999999963e-01
2.659999999999995701e-02;1.523404227800000177e+00;1.083222140000000139e-01
5.320000000000002505e-02;1.309697898600000077e+00;2.949722048000000263e-01
7.979999999999998206e-02;7.667630698000000855e-01;4.118181340000000024e-01
1.062999999999999501e-01;3.220123998000000154e-01;2.062965085999999837e-01
1.329000000000000181e-01;2.548235690000000275e-01;3.950289979999999784e-02
1.594999999999999751e-01;2.700467952000000227e-01;4.156925499999999940e-02
2.026999999999999913e-01;2.936323026000000058e-01;2.702405160000000486e-02
2.659000000000000252e-01;3.066438830000000060e-01;1.903306860000000128e-02
3.189999999999999503e-01;3.046259580000000300e-01;2.523213420000000248e-02
3.721999999999999753e-01;2.838009720000000402e-01;4.374861399999999817e-02
4.254000000000000004e-01;1.748653088000000078e-01;4.447506700000000701e-02
